,document,score,label
0,유치하지만 유쾌함.  속도감 있고 위트가 넘치고 가벼워서 스트레스 제로. 시원한 극장에서 스트레스 없이 즐겁게 볼 수 있어서 매우 좋았음,10,1
1,"유치하고, 마지막으로 갈수록 더 유치해지는데 어이가 없어서 중간부터는 계속 실실 쪼개면서 봤다 근데 그게 나같은 공대생&게임 덕후&인터넷 지박령한테는 정통으로 먹혀서, 조금 분함 개연성을 생각할 뇌는 잠시 빼놓고, 가슴으로 보면 낄낄대면서 볼 수 있음 올해 본 오락영화중에는 가장 즐겁게 봄",10,1
2,재밌습니다~있는 그대로 보시면 후회없는 선택이 되실듯~평론 좋아하시는 분들은 비추,10,1
3,라이언횽 사랑해요ㅠㅠ,10,1
4,유쾌하게 볼 수 있음 만족,10,1
5,이한 영화를 만들수 있는 미국이 부러울정도 진짜 최고입니다 메세지도 연출력 기술적 센스 그리고 배우들 연기 👍 마지막으로 캡틴 아메리카와 스타워즈는 영원할지어다 ㅋㅋㅋㅋ,10,1
6,게임 좋아하시는분들은 잼있어요,8,1
7,보기보단  잼있음 정신없을지도 모르지만  게임 아바타 이해하시면 보는데 지루하진 않으실듯,10,1
8,4D로 봤는데 여름영화로 제격!. 게임싫어하는 분들에겐 비추!,10,1
9,예고편안보고 친구따라 가서 봤는데 개졸잼,10,1
10,굉장히 재밌어요 100점,10,1
11,잼나요,10,1
12,"기대도 안하고 봤는데, 너무 재밌었어요.!!! 이런류의 영화 뭔가, 신선했어요~",10,1
13,후회안함 믿고보는 라이언레이놀즈,10,1
14,"올 여름 최고의 영화. 정말 재미있게 봤는데요. 왜 이제 개봉했는지..단, 12세 관람인거 감안하고 보세요.",8,1
15,ㅎㅎ 또 보러가고싶을정도임ㅋ,10,1
16,메인 메뉴에서부터 작은 반찬들까지 여러 맛과 색들이 조화롭게 차려진 밥상 같았다. 오락 영화 중에 이렇게 웃고 감탄하고 즐겁게 봤던 영화가 있던가 싶다. 단순한 구성에 빈틈 없이 꽉찬 위트와 오마주와 기대하지 못했던 장면들 하나하나까지 즐겁게 보았다.,10,1
17,코코.토이스토리.인생은 아름다워 ...수많은 명작을 봤다. 그리고 훨씬 더 감동적인 최고의 명작을 발견했다. 프리가이는 지금껏 본 영화중 최고의 영화다. 수많은 평점 10점을 믿어라. 장담컨데 영화 역사상 10위안에 들어갈 영화다. 절대 후회하지 않을 것이다. 꼭 보길 추천한다,10,1
18,"오락으로 똘똘 뭉친 영화 초반엔 CG범벅이라 졸리움을 유발하지만 후반부터는 변주를 시작한다.  게이머들의 돈과 재미에 대한 고찰, 그리고 사랑에 대한 주제를 유쾌하게 풀어나간다",7,1
19,숨은 명작! 넘 유쾌하고 재밌습니다^^,10,1
20,깜짝 카메오는 빙산의 일각일 정도로 볼거리가 풍부한 영화,7,1
21,2시간이 어떻게 지나갔는지 모르고 봤어요 너무 재밌었어요~~,10,1
22,트루먼 쇼 리메이크작이라 해도 좋을 정도. 재미있게 봤음. 강추!,8,1
23,어떻게 이런 상상을 할까 싶을정도로 재밌어요 배우들 연기도 좋고 연출이며 음악까지 완벽합니다 그리고 영화가 주는 메세지도 좋아요,10,1
24,GTA와 메타버스의 콜라보,10,1
25,트루먼쇼+레디플레이어원+데드풀에 어벤져스와 스타워즈의 까메오,8,1
26,..,5,0
27,특이한 유형의 영화 재미지다ㅎㅎ,9,1
28,메타버스의 흥미롭고 유쾌한 묘사  기대보다 재미지다.,9,1
29,유쾌한영화.잼있음 해피엔딩도좋구요. 영화관에서보니더좋음 초딩도 으른도 보기딱좋음. 잼나게 보니아침보다 기분업,8,1
30,넘 기대했었는데 기대만큼 잘빠졌음! 라이언 레놀즈 걍 최고,10,1
