,document,score,label
0,"감독이 왜 이 영화를 만들었는지 그가 관객에게 전하고 싶은 메세지가 정확하게 읽히는 멋진 영화다!! 최민식과 한석규에 케미가 이리 잘 맞고 반짝반짝 빛나는 조연들의 감칠맛나는 연기도 돋보이는데 흥행에 성공하지 못한 것이 못내 아쉽다. 세종과 장영실의 브로멘스가 마구마구 부럽고,  사대부들 하는 짓이나 친일파 후손들인 관료들과 지금 보수의 가면을 쓴 야당 정치인들과 변화를 두려워 하는 관료들이  정치판에서 훼방을 놓고 있으니 문재인 대통령에게도 장영실과 같은 충직된 신하가 있었으면 좋겠다. ",10,1
1,그때도 나라를 키우고 국민을 위하는게 아니라 그들위에 군림하며 권력을 누리기위해 스스로 큰나라 밑에 기어들어가며 자국의 강성을 해하는 X같은 무리들은 지금도 똑같이 존재하고 활개치며 모략과 조작과 선동을 밥먹듯하고있다  ‘세종대왕도 지금 대통령자리에 있다면 종북좌파요 장영실이 지금 있다면 빨갱이로 몰렸다’에 그 X같은 무리들의 손모가지를 건다!,8,1
2,꽤 의미있는 영화다.내용은 단순하나 의미를 두고 2020년 지금과 비교해서 대입해 봐도 밎아 떨어진다.  당시 사대부의 한자에 대한 독점과 기득권 유지... 현대 법치주의에서 법을 이용하고 해석하고 그들만의 리그로 만드는 그들.... 또는 성경을 그들만의 해석이 맞다고만 고집하는 그들...코에 걸면 코걸이....,10,1
3,훌륭한 왕과 신하 기득권을 지키려는 부패한 권력 현대 정치를 보는듯합니다.정치를 자신의 영달을 위해 법권력 언론과 유착하여 국민과 국가의 미래에는 관심없고 오로지 기득권유지에만 목숨걸고 외세에 의지 하려는 세력 현대판 사대부들 그들이 국회에 100명이나 있습니다.,9,1
4,"한석규, 최민식이라는 배우의 연기력이 영화 전체를 꽉 채워주는 영화ᆢ 두분의 씬에선  저절로 몰입감에 빠져 듭니다ᆢ 역시 국민 배우분들 입니다ᆢ",10,1
5,자기들의 권력과 기득권을 절대 요만큼이라도 놓지 않으려는 세력이 적폐다  현재 누가 이에 해당히는지 알겠지?,10,1
6,김진명 작 직지에도 명의 편에 선 사대부의 반대로 세종대왕이 몰래 한글을 만들고 주자사로 하여금 산에 숨어 금속활자로 한글을 인쇄하고자 하나 사대부들이 죽여버리는 장면이 나옵니다  노재팬만이 아니라  노차이니즈 !! 외칩니다,10,1
7,"간만에 좋은영화 였습니다.  요즘은 왜 이런영화가  더 가슴깊이  다가오는지,. ....",10,1
8,윤제문이 뿌리깊은 나무에서 그리 한석규 괴롭히더만 여기서는 찍소리 못하네ㅋ 천문을 비록 티비에서 봤지만 너무 재밌게 봤습니다 딸애랑 같이 보다가 애기는 잠들었네요 장영실이 만드는게 자격루라고 막 신나서 보더라구요오랫만에 보는 허준호님도 반가웠어요,10,1
9,이런 멋진 영화가 200만이라니.. 안타깝다...,10,1
10,한 사람의 꿈..역사를 바꿨다.,10,1
11,"역사상 위대한 세종대왕도... 참 신하들땜에 힘들었을듯... 재미있게 보고 있지만,  왕도...극한 직업이라는걸 다시금 느낌...",10,1
12,모든국민이 꼭 보았으면 합니다 가슴속에 기억될역사입니다,10,1
13,한글이 얼마나 중요하고 소중한 글인지 새삼 다시 생각하게 합니다..,10,1
14,시간지날수록몰입도짱 명배우최민식한석규명불허전이다명품영화 닥치고봐야함~세종대왕과장영실..그리고 장영실의말년이 어땠을까 진짜궁금하다,9,1
15,감명 깊었습니다 전 국민이 봐야할 영화입니다 다시 영화관에서 상영 했으면 합니다,10,1
16,자신의 이익만을 생각하고 꾀부리고 취하는 인간들  욕망에 눈이 먼 좀비와 다를바없는 인간들이 이 영화를 보고 정신 좀 차려야될텐데,10,1
17,어마어마하다. 다시 한번은 꼭 더 볼 영화,10,1
18,재밌습니다 연기 정말 잘하십니다,8,1
19,남자들만의 명연기~ 가슴뭉클 눈물납니다~,10,1
20,역사를 다루는 이런 영화 많이 만들어졌으면 역사를 많이 왜곡하지않는범위에서,9,1
21,마지막에  정말 눈물 났어요ㅠㅠ  배우들 연기가 대단해요 10점 줍니다!,10,1
22,극장에서 보았으면 얼마나 더 좋았을까. . 아쉬움이 남아요.  너무 재미있게 봤어요,10,1
23,"명배우 한석규, 최민식의 연기 정말 좋아요~ 극장에서 못 봐서 미안 합니다.  두분이 같이 더 깊은 이야기가 담긴 드라마로 다시 만듬이 어떨지요~ 백성을 생각하는 그런  위대한 군주가 언제 우리에게 또 올까요?",9,1
24,이렇게재밌고감동적인영화를극장에서못봐서미안하고아쉽네요 희대의천재들이조선시대왕과노비로만나서얼마나다행인지...백성을위하는군주 군주를위하는 신하.그뜨거운마음에눈물이납니다 왕으로태어나지않았다면 지금우리나라우리글도없겠죠 신분차별의시대에...우리는정말하늘이사랑한나라와국민들인거아닌가생각했습니다,10,1
25,지금도 기득권은 똑같다. 개혁은 자신들의 밥그릇을 뺏는 것이니 싫은 것이지 그러나 그 밥그릇을 조금이라도 풀어준다면 더 힘든 삶을 살지 않을 백성들이 있다. 나한테 만큼은 명작이고 두 배우의 감정이 그대로 들어왔다.,10,1
26,양반들만 한문으로 글자 쓰는걸 보고.  세종이 평민. 양반 구분 없이 쓸  한글을 만들었다는 취지를 알게 되면서  세종이 더 존경스럽게 보이네.  그때 양반들이 반대를 무지 했다지?  있는 넘들이 더 한다고.  지금도 달라진게 없네ㅋㅋ  1442년 장영실은 안여 사건으로  형벌 80대를 맞은 뒤  더 이상의 생사 기록이 없다.  1446년 세종의 훈민정음 발표.  장영실이 형벌을 받은 뒤 신분 세탁을 하고.  남은 여생을 살았는지 아님  좌천시켜 귀향을 보냈는지 궁금하네.  평민 장영실이 있어 세종이 있어 보이는건 맞다. 조선의 보물. 장영실. ,8,1
27,이렇게 좋은 영화를 tv로 보는건 아쉽네요~,10,1
28,잘 만들어진 영화 한편 정말 감동 진한 영화 였습니다.,10,1
29,가슴이 아련 하네요 웬지....,10,1
30,하! 시나리오 누가 썼는지. ,2,0
31,눈물나요 ㅠㅠㅠㅠ,10,1
32,최고입니다.,10,1
33,"명배우, 명연기!",10,1
34,TV로 봤지만 연기 잘하고 감동적이였음..,10,1
35,세종의 대해 더 알고 싶어지네 . .,6,1
36,열린결말이네요~  두분의 브로맨스?의리?가  백성을 위한거라 참 따숩다ㅠ,10,1
37,가슴이 찡하고 감동깊게 보았습니다.,10,1
38,감동입니다,10,1
39,쉽고 재밌는 영화도 좋지만 이런 영화도 잘됐으면 작품성에 비해 생각보다 흥행은 안된듯,10,1
40,사대부 놈들이란 ,10,1
41,세종처럼 백성을 위한분도 위정자들에게  휘둘림을 당할뻔한... 진심 한글  감동 세종대왕과 장영실님 감사 국민 의무영화로,10,1
42,와  배우들의  연기에  가슴이  뭉클해지네.  1000만이  봐야할  영화네~~,10,1
43,이렇게 좋은영화를 이제야 보다니 창피하다,9,1
44,야누스님이 이글을 볼진 모르겟지만 신구선생님 이 앞전에 한석규에게 언지를 한게 잇습니다 한글 반포를 택할것인가 포기할것인가 신구선생님은 최민식을 살려줌으로써 한글을 포기하게 할 목적이엇지만 최민식은 이걸 알고 세종대왕님의 꿈을 이루게하기위해 자신을 희생한거죠 결국 4년뒤엿나 한글 반포를 하게되는 문구가 마지막에 나오구요 장영실같은 충신이 없엇다면 아직도 저희는 한문을 써야 하는것임 ,10,1
45,"고구려,백제, 고려,조선 멸망할때에도 국가는 바뀌어도 나만 내가문만 부귀영화를 누리면된다고 생각하는 기득권 세력이 있었다.  역사는 반복된다. 국가를 위해 헌신할 생각은커녕 권력자로 군림하며 사리사욕 채우기 바쁜 국민의 대표라 자칭하는 돈에 눈먼자들을 가려 뽑고 그들의 수장을 바로세우는 투표를 하지 않는다면 그런 기회주의자들에게 나라의 운명을 맞기는 꼴임을 잊지맙시다",10,1
