,document,score,label
0,1편이 너무 파격적이어서 2편은 뭐.. 그럭적이라고 느껴집니다 그래도 5년이 노력이 보이네요!,8,1
1,전 진짜 기대 했는데도 불구하고 너무 재밌게 봤어요. 어떤 사람들이 예고편을 보고 스토리 예상도 했지만 완전 반전 스토리에다가 너무너무 재밌어요. 전 요즘 Show yourself 에 빠져 있담니다. 노래들도 정말 멋져요. 그리고 엘사의  의상들이 너무 디테일하고 예뻐요♡♡♡ I LOVE DISNEP!!!!!!!!,10,1
2,"대박입니다 디즈니들이 3D애니를 엄청 연습하고 배우고,직접 프로그램도 만들고.... 발전이 대단해요 솜털까지 다 표현 했다는데.. 1화때 엘사 머라칼이 떡져 보였다고 하면 2화는 진짜 자연스러워요 한6번은 더봐도 안질릴것같아요  재미있게 잘 봤어요! 디즈니분들 앞으로도 좋은 영화 만들어주세욧",10,1
3,1년동안 존버 했는데 진짜 움직임도 부드러워졌고 그래픽도 좋았어요 노래도 되게 좋았구요!!  특히 엘사 마법 이펙트 맡으신 윤나라 애니메이터 안나 모션 총괄 슈퍼바이저는 이현민 슈퍼바이저 애니메이터라 한국인이 겨울왕국 2에 제작 참여 해서 기분이 좋았어요 :) 다른 한국 애니메이터 분들이 있으셨구요!! 겨울왕국 3 존버하고 있을게요!!,10,1
4,1편을 너무 잘만든게 실수,4,0
5,"1편 만큼은 기대 안했는데 좋아요, 재밌어요, 음~ 노래가 쉽게 따라 부를수 있었으면 더 좋았을듯하네요",8,1
6,자꾸 생각나는 명작 운전하며 ost들을때마다 울컥 (개봉첫날19.11.21보고 그후 우리말더빙 함더봄),10,1
7,인투디언논!!!!!!존잼,10,1
8,엘사 너무 이뻐욥,10,1
9,꿀잼,10,1
10,좋긴한데 중간에 크리스토프에서 조금 지루햇...,10,1
