,document,score,label
0,"돈 처들여 뻔한 스토리, 눈물 짜내려는 블럭버스터보다 이런 작품이 소중하다 신선하고 영리하고 배우들 연기 좋고",8,1
1,기대안하고 봤는데 재미있네요. 손이 평소 건조한편인데 땀이 났어요.,10,1
2,"여름 가족 오락 영화에 충실 재밌고, 폭력없고... 윤아 이쁘고 따따따 song ~ 좋고",8,1
3,"착하고 평범한 주인공들이랑 조정석 윤아의 이미지가 너무 잘 어울리고, 자극적인거 하나 없이 소소한 감동이 어우러져 재난오락영화로 가족들과 집에서 보기에 정말 부담없고 시간가는 줄 모르고 봤습니다. ",10,1
4,독특한소재 재밌게봤습니다,7,1
5,예상했던것보단 흥미진진하게 전개되고  킬타로는 꽤 괜찮은 영화입니다.  초반 턱걸이 장면 인상적입니다. 멋졌어요,7,1
6,"간단한 스토리에 긴장감, 휴머니티, 소소한 개그까지 잘 녹여 내어 재미있게 보았습니다. 손에 땀이 나서 영화 보는 중간에 손을 딲았습니다.  윤아는 매력적인 여배우가 되었습니다.",8,1
7,엉터리 코메디인줄 알았는데~~째밌어요,10,1
8,재밌어요. 윤아 연기가 생각보다 좋아요,10,1
9,재미있다,9,1
10,나름 재밌다 이 영화보고  운동화꼭 신고 다녀야겠다는 생각에.... 스릴영화를  코믹하게  ㅋ,8,1
11,"코로나 전에 만든  재난영화라는게 더 놀랍다. 조정석이 이래서 한국탐크루즈구나, 윤아도 저몸에 진짜 잘뛴다 그리고 세월호를 넌지시 얘기하는 감독,   평범하고 유쾌한 사람들의 이야기들..",9,1
12,아이돌 걸 별루 안좋아하는데 윤아보고 생각 바뀌었다. 연기도 잘하고 체력만빵이네.,8,1
13,두번봐도 볼만하다.,8,1
14,언제봐도 유쾌하고 지루하지 않은,8,1
15,한국 코미디가 나아가야할 방향,8,1
16,아주 잘 만든  영화^^,10,1
17,재밌다 ㅋㅋㅋㅋㅋ,7,1
18,기대없이 봤는데 재밌네요!,10,1
19,교육적임 재미도 굳,10,1
20,클라임인가..꼭 배우고 말겠어 ㅂㄷㅂㄷ..,10,1
21,너무너무 재미있게 봤습니다!! 스토리 전개가 예상이 안되는 너무 신선하고 유쾌한 영화👍,9,1
22,시간 가는줄 모르고 봤습니다.,8,1
23,..,10,1
24,연기면 연기 연출이면 연출 그야말로 수작秀作,10,1
25,재밌네요~~^^,10,1
26,기대 안하고 봤다 너무 재미있게 본 영화  가볍게 웃으며 보기 좋네요,10,1
27,재미있게 잘 봤네요!ㅎㅎㅎㅎ 은근히 손에 땀이 많이 났었네요 ㅎㅎㅎㅎ,9,1
28,이영화 강추다,8,1
29,영화가 짧게 느껴짐.,9,1
30,시간가는줄 모르고 봤네요 몰입감 최고~~~!!!,10,1
31,손에 땀이 나고 재미있어요,10,1
32,재미있어요,10,1
33,재난영화  재밌네요,9,1
34,재밌네요 학원앞에서는 탈수있지않았을까 싶지만   드론으로 묶어준 사람이 궁금했는데 ,8,1
35,코믹으로 설정하다보니 어느정도 무리수를 둔  재난영화지만  그럭저럭 볼만은 하다.,7,1
36,알바가 많네,1,0
37,시간이 아깝다,1,0
38,관람객수 많다고 해서 봤더니.. 좀 내용이 너무 단순하고 유치하네요.  그래도 영화찍느라 고생 많았습니다.,3,0
39,.,10,1
40,잼나게 봤습니다,9,1
41,코믹스럽고  재밌습니다 .  고두심ㆍ조정석 이  출연 해서  더욱  재밌습니다,10,1
42,최고,10,1
43,완전 재미있어요. 인간미 넘치는 액션~~~!!,10,1
44,난 조으다. ...,10,1
45,아이랑 봐두 괜찮겠다,10,1
46,10점이요^^,10,1
47,신선도0%.소리만듣고 노잼,1,0
48,..,5,0
49,손이 아프다. 손에 너무 힘주고 봤어.,9,1
50,시간 때우기용으로 딱 좋음.,7,1
51,잼나요 지금도 보고있어요  공사창립기념영화 액시트,10,1
52,기대없이 봤는데 재밋네요.,10,1
53,너무 재미있어서 5번봤습니다~~~~~~~~~~~~,10,1
54,.,6,1
55,"신선한 소재와 유머러스함 75 , 전개 과정 25 결국 평평해진 시소",7,1
56, 화재나 비상시 옥상탈출은 기본이지만  옥상문을 열고 있으면 아무나 담배 피러 오고.  각종 사건.사고를 달고 다니는게 문제지.  후반부에 둘이 뛰는거는 메이즈 러너 보는 줄 ㅋㅋㅋ 그리고 둘 다 악력이 대단 합니다요~,8,1
57,모방테러 있을까. 좀 걱정되네... 그냥 코믹물... ,7,1
58,코믹한것도 있고 빠른 전개가 재미를 더했음~,8,1
59,간만에 재미나게 봤습니다. 재난영화임에도 코믹스러움이 더해져 가족과 즐겁게 봤습니다.,10,1
60,종석배우님이랑 윤아 배우님 정말 대단 하십니다 암벽을 어디서 배우셨는지 참멋지십니다 ^-^♡,10,1
61,재미있네요,10,1
62,두번 봤는데 잼있네~~^^,8,1
63,저는 너무 너무 재밌게 봤습니다요~,10,1
64,너무너무 재밌네요 스크린으로 봤으면 스릴감만땅이였겠네요^^ ,10,1
65,다이하드를 뛰어넘는  스릴만땅 엑션영화 최고다~~,10,1
66,아이들이랑 재밌게 봤어요,10,1
67,와우 잼있네,8,1
68,유쾌한 영화네요 루즈함없이~ 무리한설정도있지만 영화니깐,9,1
69,재밌어요,9,1
70,충분히 재미있는 영화 였음. 가족끼리 보면서 웃고 마음 졸이고...,10,1
71,재밌네,9,1
72,넘 재밌다,10,1
73,산악동아리에 가입해야 하는 이유를 알려주는 영화,9,1
74,코믹재난영화네 ㅋ 유치하다,5,0
75,다시봐도 재밌네요,10,1
76,"재미 ,긴장, 웃음 , ~~ 믿고 보는 조정석 !!",10,1
77,ㅋㅋ 잼나요~조정석 굿~~~^^,10,1
78,진짜 재밌어요!! 간간히 나오는 개그가 또 하나의 재미네요~~^^ ,10,1
79,잼있게는 보고 있으나 이해가 안되는 부분이 많으네요ㅜㅜ,4,0
80,흥행한 이유를 알겠음 굳,10,1
81,       .,10,1
82,인생 최고 재난 영화!,10,1
83,시간가는줄모름,10,1
84,재밌다,10,1
85,조정석 짱 멋쪄요 진짜 잼나네요,10,1
86,.,10,1
87,9살때 근처 영화관에서 개방하자마자 봤어요 10억점 더주고싶을정도로 재밌었네요,10,1
88,시간가는줄 모르고 몰입해서 봄...조정석 역쉬 정석대로 잘하는 연기,10,1
89,역시 오랜만에 봐도 잼있음,10,1
90,ᆞ,8,1
91,웃음도 많이 나왔고 가볍게 보기 좋은 영화 같습니다. 조정석 특유의 연기도 재밌었습니다. 어찌보면 뻔한 영화입니다. 그러나 그 속에 재미가 있습니다.  여운이 남는 영화는 아닙니다,8,1
92,생각없이 봤는데 재밌네요~,9,1
93,최고입니다.. 와~~~ 와...!!! 용남 의주 최곱니다.. 역시 조정석입니다~ 사랑합니다~^^*♡,10,1
94,진짜 재미있게 봤어요!! ,10,1
95,.,10,1
96,",",10,1
97,.,10,1
98,구성좋고... 긴장감 좋고.. 코믹까지... ,10,1
99,재난을 소재로 했지만 조배우가 나오는 영화라 코믹한 요소가 많으리라 예상이 되었는데  역시... 각본이 마음에 든다.,9,1
100,정말 재밌게 봄,10,1
101,정말 재밌었다 맘껏 웃다가 영화관을 나왔던 기억,10,1
102,가족들이랑 다 모여 봤는데~재미있었어요~,10,1
103,너무 재밌더라구요 ㅎㅎ 요센 코로나 땜에... 여러분 힘내세요 ㅎㅎ 우리 모두 힘냅시다!!,10,1
104,잘만들었다. 재밌네요,10,1
105,다시봐도 재밋다,7,1
106,"깔끔하게 잘 만든 영화!!! 군더더기 없고, 긴장감 넘쳤다!!!",10,1
107,전형적인 오락성 재난영화로 제대로 재미있고 잘 만들었다,9,1
108,ㄸㄷㄸㄸㄷㄸㄸㄸㄸ,8,1
109,ㅋㅋㅋ생각보다 스릴 넘치고 잼,8,1
110,최고!,10,1
111,스토리가 별로 좋지 않지만 그래도 진짜 재밌고 좋은 영화입니다. 액션 장면들이 진짜 재밌고 배우님들의 카리스마는 최고였습니다. 재밌고 보기가 쉬운 영화를 보시려면 엑시트 강추합니다.   프로덕션: 9.0 스토리: 4.0  재미: 9.0,7,1
112,.,8,1
113,최고의 영화 엑시트,10,1
114,씩씩하고 재미있다ㆍ 근육이  필요해,8,1
115,재밋기만 하구만 평점 나쁘게 주는 사람은 졸린영화 좋아하는 사람들인가?  취향이니 ㅇㅋ,10,1
116,꿀잼! 은근 세월호도 생각나고ㅠ,10,1
