,document,score,label
0,윤짜장 잡아다 족쳐야 하는 이유,10,1
1,현재 진행형~ 론스타 아직도  국제재판에~  정부소송으로  막대한 세금이 나가고 있다   그때 금융위놈들 아직도 호위호식하며 잘사고 있다  최종구 김용범,10,1
2,SKYWALKER 전국민이 봐야할 영화~! 언제나 진행형~일 수 있는 우리 정치경제! 나라 팔아먹은 이완용과 뭐가 다르겠나?,10,1
3,울나라의 썩은 정치와 검찰을 적나라하게 보여준 영화 지금도 현재형인게 열불난다 ,10,1
4,mb야 지옥에 가서도 꼭 투기해봐라    ,10,1
5,"공수처가 필요한 이유. 건강한 사회를 위해, 타락한 권력과 특정소수의 불법적 이익에 대한 견제 장치가 작동해야 한다. ",9,1
6,주인공 검사 빼고 다 진실......,10,1
7,론스타 개갱끼. 그걸 승인한 개낑끼. 외환은행 헐값 매각 사건.,10,1
8,아무것도 바뀌지 않았다는게 진실이지~~,10,1
9,이 영화에서 다루고 있는 내용이 실화를 근거로 한 것이고 많은 국민들이 보고 그 사건을 알았으면 하는 마음에 10점을 준다. ,10,1
10,더럽다는 말이 너무나도 부족한 너희 위정자들에게 분노한다.,8,1
11,대한민국 검사중에 저런 검사가 있을리 없는데.. 허구 허구 너무 허구!,2,0
12,검찰개혁 언론개혁 반드시 이뤄내야 합니다 그래야 다시는 이런 일이 생기지 않습니다,10,1
13,실화를 바탕으로 만든 영화~!!!  우리 국민이라면 꼭 봐야하는 영화,9,1
14,실화를 바탕으로 해서 더 놀랍다.. 간만에 짜임새 좋은 한편 보았음,10,1
15,현실과 똑같은 썩은 정치인들 검새들...영화에선 그래도 기자들이 기레기가 아니네요ㅡㅡ 현실이 더 최악 ㅜ 이런 영화만들어주셔서 고맙습니다,9,1
16,"흙수저는 싸우고, 금수저는 침묵한다.",7,1
17,와...이  영화 보고  열받아서 잠이 안온다...실제 있었던 일이라 조금 과장대긴 했겠지만  대한민국 국민으로서 정말 화난다,10,1
18,영화를 보면서 각성을 해야할텐데... 방송으로 자주 보여주시길!,10,1
19,좌우똑같은 놈들이지 돈 권력앞에 기득권들은 끼리끼리 문화 지금도 변호사 언론 검찰 권력  거대한 힘 앞에 ,10,1
20,이 나라는 아직도 진행중~ 모피아와 사법부 거대언론 권력남용과 탐욕. 불평등한 부의 분배로 심화되는 빈부격차 등~ 영화에는 없지만 기업형 사기꾼 조직폭력과 부동산 폭등 주도하는 작전세력들과 비리 공무원~공매도로 개미 죽여 부의 분배를 방해하는  거대자본 뒤에서 꼬리치는 산자부 멍멍이들~등등,10,1
21,몰입감 좋았습니다! 조진웅님 연기 대단하시네요,10,1
22,허구라도 속션하다.  평점 좀 주고 허구라 해라! 모니카여~,10,1
23,소재는 좋았는데 영화가 재미는 없다. 이하니는 안어울리는 배역에 자주등장하네. 빽이 짱짱한가보군....  검찰이 남의집 무단침입해서 강제연행 해가는 모습은 어이가 없었다.  아무리 영화라도.....,5,0
24,"론스타,외환은행에 관심 없었던 젊은 날을 반성 합니다",10,1
25,이영화 강추다,8,1
26,감사합니다,10,1
27,하아~~~~,10,1
28,처먹은 놈은 목이막혀 말이없다.  막힌 목을 뚫기위해  물을 찾겠지.,8,1
29,현재진행형이라니...ㅜ,10,1
30,슬픈 현실,10,1
31,꼭 봐야할,10,1
32,최고의영화다 ,10,1
33,노예들 자본의,10,1
34,.,10,1
35,진작볼건데 어휴 ,10,1
36,힘내라 대한민국,10,1
37,그래도 이런영화가 있어 사이다~~~,9,1
38,나쁜 놈들!!,10,1
39,이런일이 있고도 이렇게나 조용했다고???? 헐 진짜 개탄스럽다 쪼쭝똥,10,1
40,아...짜증나...하지만 알아야 한다,10,1
41,나쁜놈들  조진웅 짱이네~,10,1
42,"너무 좋았어요. 저런 사건들을 계기로  국내 회계기준법,  외국인 투자자 기준법등을 더 보완 하고 앞으로 다신 저런 바보 같은 일로 국민세금이 낭비되지 않도록 노력 해야 합니다.",8,1
43,"보면서 열받음. 북쪽나라였음 전부잡아다 기관총과 박격포로 처형했을듯. 전재산 29만원인 전씨였음, 삼청교육대와 안기부로 끌고갈듯.",3,0
