,document,score,label
0,뮤지컬영화라서 스토리가 너무 판타지인 듯... 평점이 너무 높아서 더 놀랍다.,5,0
1,내 인생영화 뮤지컬 장르를 좋아하긴한데 이건 그중에서 원탑이다 노래를 너무 잘만들었음 영화 본지 1년이 넘어가는데 내플레이리스트엔 아직도 ost전곡이 있음 노래 미쳣음ㅋㅋ겁나좋음,10,1
2,"뭐 이딴게,,, 진짜 영화라고?  실제 인종차별,여성차별에 장애인,동물학대에 사기를 일삼은 인간을 단지 영화적 연출을 위해 어쩔수없다고 위선떠는 이게??? 솔직히 노래와 에너지는 좋다만 그래서 더욱 배신감이 크다. 어떤 예술도 인간 모멸과 위선으로 세워져선 안된다. 인간에의해 만들어져야지, 인간을 밟고 올라서라고 예술이 있는게 아니다.  고인이된 서커스 단원들이 뛰쳐나오겠다, 티켓값 올리려다 여가수랑 갈등이 나 순회공연 중단되놓고 뭐?? 여가수가 바넘을 좋아했다고?? 별... 영화 하나 만들자고 쓰레기를 위인 만들면 그 쓰레기한테 당했던 사람들은 대체 뭐가 되나?? 다수의 대중들에게 인기 얻고자 소수의 피해자들을 기만하는 영화 아니, 쓰레기. 쇼 머스트 고온? 쇼라는 이름으로 위선과 가식을 합리치지마라,",0,0
3,위대한영화  10번넘게 본듯..,10,1
4,뮤지컬로 보고 싶다. 이건 영화가 아닌 뮤지컬이다. DVD로 10번도 넘게 봤음. 물론 집중해서 본것은 아니지만 볼때마다 잘만들었다는 생각. 뮤지컬로 보고싶다. 바로 앞에서 노래하는 배우를 보면 느낌이 어떨까?,10,1
5,노래를 너무 잘 만들었어! ,9,1
6,당신이 원하는 모든 것이 이곳에,9,1
7,진짜... 모든것이 완벽했다.  내생에 최고의 영화중 한편~!,10,1
8,뮤지컬로 나오면 진짜 무조건 달려가서 볼영화.10번넘게 봐도 질리지않는다.,10,1
9,"뮤지컬 영화 원탑, 영화 한편의 감동이 가슴뛰는 에너지와 긍정 마인드를 일으킨다, 내면의 평등한 시선과 노력하는 삶과 자만의 어리석음 까지 많은 메세지는 덤",10,1
10,공짜로 뮤지컬본기분,10,1
11,"당신은 빛나는 사람입니다. 자신감 가득한 눈빛 예쁜 미소 용기 있고 멋진 사람, 그게 당신이죠. 자랑스러운!",8,1
12,최고!!,10,1
13,잊지못할 또 한편의 명곡 그리고 명작,10,1
14,잼따,10,1
15,노래는 참 좋아. 그런데 역사 및 인물 왜곡이 너무 심해서 좋은 영화라 할 수 없네,7,1
16,n차관람. 또보고싶음. 영상미. 노래와 춤. 뮤지컬영화의 최고봉이 아닌가. 이게 나야!!!,10,1
17,영진위 6000원 쿠폰으로 공짜로 오늘 보고 왔어요. 감동이 아직도 가시질 않네요. ,10,1
18,인생은 위대하다!!,7,1
19,멋진영화 ,9,1
20,재개봉되어서 좋습니다!! ,9,1
21,너무 좋네요 꼭보세요 완전 재밌어요,9,1
22,개인적으로 3번본 영화 ,10,1
23,저의 인생영화..,10,1
24,보는 내내 너무 행복했던 영화 최고,10,1
25,말은 필요 업고 꼭 보삼~그럼 왜 다시 재상영 했는지 알수 있음.,10,1
26,바넘 실존인물인데 휴잭맨이라니..너무한거아닙니꺄~?? 이거야말로 지상최대의 사기네요. ^^,10,1
27,..,9,1
28,너모 울어서 머리야플정도 재밌어요,10,1
29,"재미와 감동, 노래들 다 좋음",10,1
30,정말 재미있게 봤어요.  필리핀에서 봐서 뜻은 잘 알지 못했지만 감동있는 영화였어요. 오빠가 보러가자고해서 보러다녀왔는데 감동을 받아서 눈물찔끔거리며 봤어요,10,1
31,최구여ㅜㅜ,10,1
32,전문가평점의 전문가는 뭐하는 군상들인지 누가 설명 좀? ,8,1
33,최근 본 뮤지컬영화중에 최고!,10,1
34,매번 봐도 질리지않고 정말 많은 것을 느끼게 해주는 영화,10,1
35,내가 이걸 이제 보다니 .. 아니 지금이라도 봤으니 천만다행이네 .  감독이 레알 천재인듯 . 배우들도 정말 최고,10,1
36,Great!,10,1
37,"이건 영화관에서 봐야함. 사운드가 빵빵한곳,시야까지 확트인 청각,시각을  자극하는곳에서봐야   가슴이 쿵쿵소릴듣게된다.  ",10,1
38,믿고보는 휴잭맨. ,9,1
39,최고의영화 ,10,1
40,스토리도 좋지만 사운드트랙이 너무나도 좋다.,9,1
41,.,6,1
42,너무나도 멋진 영화,10,1
43,쿠팡맨 기대돼요,10,1
44,최곳!,10,1
45,제 생 최고의 영화입니다,10,1
46,최고의 뮤지컬 영화,10,1
47,귀족적은 서민적의 상위 개념이 아닌 다름일 뿐.,8,1
48,인생영화,10,1
49,6살 조카가 큰아빠 보라고 영상을 보내준다. 장난감 마이크 붙잡고 찬양하는 영상이었는데 보기만 해도 미소 가득해진다. 숨이 가뿐지 크게 한번 쉬느라 박자를 놓쳤지만 당황하지 않고 박수를 쳐달라고 한다. 참새가 짹짹하는 것 마냥 입술은 내밀고 몸을 앞뒤로 흔들고 표정까지 신경 쓰며 노래하는 게 정말 귀엽다. 최고의 단독 공연이였다. 보내준 사진과 영상을 전부 보관하고 있다. 그것만 보고 있어도 기운이 나고 행복해진다. ,6,1
50,"배우들 연기, ost가 아주 위대함!!",10,1
51,성인을 위한 동화. ,8,1
52,노래가 좋다,8,1
53,즐거움과 감동을 주는 작품,10,1
54,강렬한 인상이나 여운을 주지못함,6,1
55,인생작,10,1
56,This Is Me 우리는 모두 특별하다,9,1
57,노래좋음,10,1
58,우하하!,7,1
59,재미쪙,10,1
60,젠다야콜맨과 잭 에프론이 함께 rewrite the stars 를 부르는 장면이 매우 인상적입니다. 태양의 서커스 퀴담이  생각나더군요.,8,1
61,재밌네여,10,1
62,좀만 더 보여주지.. 끝나는게 참 아쉽게 느껴졌다. ,8,1
63,"음악 ,, 계속 흥얼거림 ",9,1
64,인생영화,10,1
65,재밌게 잘 봤어요 훌륭하네요,8,1
66,.,10,1
67,극장에서 못본게 한이다...  당시에 상영하는 시간대와 극장이 없어서 못보다 이제야 봤는데ㅜㅜ  노래와 영상미는 그냥 만점이다. 뮤지컬영화에 이 두개면 충분하지 않은가.,10,1
68,노래도 너무 재미있고 완전 대박!,10,1
69,매우 만족!! 춤과 음악에 관해선 미쿡놈들을 이기기가 어렵다. 진정한 쇼맨을 볼 수 있다,9,1
70,전개가 빨라서 내용이 끊기는 느낌이있지만  이해하는데는 문제가 없고  뮤지컬이 아주 좋습니다 다만 스캔들 해명이 없이 마무리되서 아쉽네요,10,1
71,굿,9,1
72,대.박,10,1
73,최고의 영화..,10,1
74,잔잔한 감동.....!,10,1
75,뮤직컬영화계의 한획을 그을 작품!!!,10,1
76,아 ~ 극장에서 봤어여 ~ ,10,1
77,"물랑루즈,오페라의유령,위대한쇼맨",8,1
78,"엄청난 수작은 아니지만 다양한 맛을 볼수 있는 영화예요. 짧은 런닝타임에도 적절한 전개와 구성, 소소한 감동, 화려한 영상과 ost 까지....  이 정도면 잘만든 영화라 봅니다. ",9,1
79,와 정말 시간이 어떻게 지나간지 모르겠다. 매번 때려부수고 화려한것만 보다가 눈과 귀가 이렇게 동시에 즐겁기는 처음이고 모든 음악과노래가 다 좋다.,10,1
80,내 인생영화 ㅠ 진짜 좋아서 눈물나올정도,10,1
81,최고의뮤지컬영화,10,1
82,아 미쳤네 전율돋아서 두번반복해서 봄,10,1
83,주인공이 좀 그렇긴 한데 그것만 빼면 완벽하다 생각함. 노래 하나하나가 전율 돋고 좋다 그냥 노래가 짜세,9,1
84,좋다 노래도 시원하고 적당한감동,9,1
85,음악과영상이 넘 좋아요,9,1
86,실제 인물 바넘이 *쓰레기라는 것만 빼면 영화 자체로는 흠잡을게 없는 수작! 극장에서 세 번을 봤어도 더 볼 걸.. 싶던 영화. 그래서 더 허구의 인물로 만들지 않은게 아쉬워지는 안타까움도... 박정희 같은 놈을 미화한 영화라면 아무리 잘 만들었다 해도 안 볼 테니 욕만 하시는 분들도 이해는 가네요. 바넘이 어떤 놈인지는 꼭 알고 영화 자체로만 즐기시길..,10,1
87,인생영화될만한작품맞는거같네요..ㅎㅎㅎ,10,1
88,인생 영화시다,9,1
89,3번이나 연속으로봤어요 음악과 영상 너무 좋내요^^ 저도 라라랜드보다 훨씬 좋습니다.,9,1
90,최고의 음악영화다,10,1
91,"최고감동. 미셀, 레베카에게서 눈을뗄수가 없다. 두여인이 감동적임. 쵝오임.",10,1
92,나에게는 라라랜드보다 더 잼밌고 음악도 좋았던 영화 오페라의 열창은 아직도 잊혀지지 않는다,9,1
93,평이하고 단조로울 정도로 쉬운 내용이지만 노래들이 상당히 좋네요 ,7,1
94,"비행시간이 13시간이라 푹 자려고 틀어 놓았는데, 이런 된장... 이렇게 재미있게 뮤지컬을 만들어 놓으면 어떡하나??? 중간의 Never Enough을 몇번이나 다시 보았던지... 덕분에 잠 다깨서 아주 힘들게(?) 한국 도착했습니다.  ",9,1
95,영화가 30분만에 끝나는거같은 기분.,9,1
96,약간의 희망이 사기는 아니잖아~~!!,10,1
97,"영화 ost는 지금껏 봐왔던 영화중에 거의 탑 수준. 그리고 빠른 전개와 역동적인 안무, 교훈적인 내용까지 진짜 오랜만에 보는 수준 높은 뮤지컬 영화였다. 하지만 생각외로 서커스 씬은 별로 없다. 그리고 너무 급 마무리한 느낌의 엔딩..?? ",9,1
98,"나름 재밌게 봐서 검색도 해보는데 다음 일 좀 똑바로하자. 제니 린드, 앤 휠러 배우가 바뀌어있는데도 고칠생각을 안하네 언제까지 냅두나 궁금해진다",8,1
99,...,8,1
100,극장에서 보지 못 한 것을 후회하게 만드는 작품. 일부러 대형 스크린에 6.1채널 음향이 구비된 친구네로 달려가게 만드는 그런 영화였다. 신나고 흥나고 적당한 깊이와 감동까지 갖춘 좋은 작품.,8,1
101,돈주고 보는 극장서 이런영화를 봐야 만족^^;ㅋㅋ,9,1
102,"라라랜드 팀의 음악이라 음악은 매우 좋음. 하지만 실재인물인 P.T. 바넘은 극의 내용과는 전혀 다른 인물임. 흥행과 쇼 비지니스를 위해 노이즈마케팅을 서슴없이 이용했고 별난사람들, 사회적 약자들을 동원하여 자신의 부를 채우고자 온갖 거짓말을 그럴싸하게 꾸민 사기꾼에 불과했음. 음악에 취하다 보면 본질이 가려질 뿐!!! 위대한 쇼맨이 아니라 서커스의 이면에 숨겨진 추악한 진실이라고 해야 어울릴 제목임. 인물의 일대기를 너무도 미화시켰음. P.T. 바넘은 인종차별/성차별/동물학대/성노예/등과 인간을 구경거리로 전시한 프릭쇼를 기획한 자임!!!  쇼맨과 홍보맨은 맞고 결코 위대한 인물은 아니며 백인들의 전형적인 사고방식(유색인 비하와 보호라는 명목의 차별과 각국 간섭)의 영화로 마이너스 평점을 받아야 하는 영화",5,0
103,우리는 모두다 자신만의 괴물이고 그것을 이겨내는 과정에 있다. 하지만 본인이 남들과 다르다는것을 인정하긴 힘들지. 틀린것이 아니라 다른것이다. 당당하게 다름을 인정하고 다른이에 인정보단 자신을 사랑하자. 논란의 거리가 있지만. 정말 좋은 영화다. ,10,1
104,.,10,1
105,큰 기대 안했는데 빠져듬...2시간이 길다는 느낌이 안드네요. 레베카 퍼거슨 노래부르는거 본인이 부른건지 정말 소름 돋았습니다.,10,1
106,오랜만에 10점주는 영화... 눈과 귀를 즐겁게 하면서 감동도 있고 교훈도 있어 좋다... 한마디로 레미제라블 + 스텝업  ,10,1
107,레미제라블 보다 이게 나음! 띠씨써그레릿쑈우~!,10,1
108,좋습니다,9,1
109,눈과 귀가 즐거운 영화. ,9,1
110,"진짜 뮤지컬 영화로 손색없는 영화!! 요 근래 본 뮤지컬 영화로 최고!! 자아성, 자존감 회복과 비젼을 이야기하는 OST는 그야말로 최고!! 다만 PT바넘을 너무 미화한 내용은 진짜 좀 아닌듯.. 바넘이 한 짓거리들 인터넷으로 찾아보면 섬나라 발정난 원숭이 쪽바리 일본놈들 같던데!! 그냥 스토리와 OST자체는 진짜 좋음!!!!",10,1
111,보는 동안 눈과 귀가 즐거운 그런 영화~,9,1
112,재미는 있었지만 너무 많은 기대를 했나보다.,7,1
113,내나이 40  3번봤는데 볼때마다 나도 모르게 눈물이 흐르네요 제인생최고의영화  이영화 보고 우울하거나 아침에 주제곡 들으면 행복해지네요 ,10,1
114,"인생의 밑바닥에서 시작하여 인종과 편견을 깬 쇼무대로 성공을 거두었지만, 상류층의 냉시와 조소 속에 더 큰 꿈을 달렸던 바넘의 성공과 좌절,, 그 속에  진정 친구가 되어준 서커스 단원들과 하늘의 별을 모두 가져도 얻을 수 없는 가족의 소중함을 일깨운 멋진 한판의 쇼~서사가 좀 뻔한 구조였지만, 화려한 군무와  음악도 좋았고 뮤지컬로 다시 돌아온 휴잭 맨도 반갑고 잭 에프론, 미셀 윌리암스등 주조연의 활약도 좋았다.  즐거움을 주는게 진정한 예술이란 말도 공감^^",8,1
115,참 가슴 두근거리는 멋진영화   끝나고 나도 브라보를 외쳤다,10,1
116,.,8,1
117,최고의 영화!!,10,1
118,화려하다. 음악좋고 화려한 무대 조명 카메라 다 좋다...  내용이 아쉽다.,6,1
119,아무기대 없었는데 뒷통수 맞은듯 ,10,1
120,완죤 최고의. 영화에요^^ 라라랜드를 뛰어 넘은듯,10,1
121,아 영화관에서 못 봤어 ㅠㅠ,10,1
122,개인적으로 뮤지컬 영화를 그다지 좋아하진 않지만 이 작품은 인정하지 않을 수 없다... 등장하는 배우들의 이름값도 음악만큼 화려한 영화...,9,1
123,"어른들의 더러운 삶을 어린 아이들에게 설명 하려니,  어처구니 없게 이런 예쁜 영화가 만들어졌다.",8,1
124,신나는 음악과 화려한 연출이 눈을 사로잡은 영화!,7,1
125,사운드오브뮤직.맘마미아와더불어 3대뮤직컬영화로기록되어도무방!!,9,1
126,첫 장면부터 쿵쾅쿵쾅 터진다. 두근두근 벅찬 느낌을 영화끝날때까지 유지하게 만드는 미친 연출. 진부한 스토리의 약점마저 커버해 버리는 마력의 음악과 연기자들의 끝장 연기. ,9,1
127,충분히 예측가능한 스토리지만 감동적이고 무엇보다 ost가 최고!! ,8,1
128,최고네요,10,1
129,"평범하다.  어찌보면 관습적이라 할만큼 수도 없이 봐왔을 스토리라인을 가지고 있다. 하지만 그 모든걸 덮을만큼의 볼거리. 노래와 춤과, 영상, 음악, 배우들의 열연까지....... 마법처럼 시작과 함께 깊이 빠져든다. 휴 잭맨은 로건이 아니더라도 여전히 빛나고 멋있다.",9,1
130,감동적이네요~ 어제 새벽에 2번 반복해서 봤네요~ OST. 휴잭맨 너무 멋져용~~~ ,10,1
131,10점 만점. OST 다 좋고 ~ 감동도 있고 ~ 너무 좋다 좋아 ~~!!! 강추 강추 ~~~!!,10,1
132,"좋은데,,",10,1
133,뻔한 스토리에 그저 그런 영화가 될껄 아주 좋은 음악으로 충분히 메꾸었고 지루할 틈이 없는 빠른 전개가 음악과 더불어 위대한 쑈를 탄생시킨듯,9,1
134,흥미진진했어요.위대한쇼맨!!,10,1
135,모처럼 감동어린 영화 한편 봤네요,10,1
