,document,score,label
0,이상하게 포드를 응원하게되는 기분 나쁜 마법,8,1
1,명작이네요,9,1
2,!!,10,1
3,오랜만에 보는 카레이싱영화의진수!,10,1
4,오랫만에 영화다운 영화 본 느낌 포드 대 페라리 9점 드림,9,1
5,한순간도 멈출수 없는 이 긴장감! 롱 러닝타임에도 순식간의 지나가는 몰입력! 강추합니다. 안보면 후회할 영화..,10,1
6,인생 영화. 정말 최고라고 말 할수밖에 없다. 특히 두사람의 연기는 정말 미친듯.,10,1
7,많이 울었어요. 두 배우 모두 좋아하는데 서로 나오면 본인도 출연한다고 했다는 재밌는 얘기도 들었습니다. 많이 울었어요. ,10,1
8,최고점에 도달하기 위해 극한의 7000rpm을 향해 달려가는 집요함과 광기의 두남자 끝내 역사에 이름을 남기고 쿨하게 퇴장한 그들 두려움의 마지막 순간을 웃으면서 돌진할수 있는 진짜 남자들  끈끈한우정 쿨한감동 보는내내 두근두근 단연코 올해 최고의 영화다 레이싱 장면에선 정말 심장이 터지는 느낌~ 극장에서 안보면 두고두고 후회할 영화,10,1
9,"두 장인이 빚어낸 빛나는 7000rpm 캔 마일즈의 대사 처럼 ""H A P P Y ""하게 일에 빠지는 열정, 심장이 흔들리는 배기음... 최고의 몰입을 선사한다",9,1
10,그냥 다큐멘터리 영화! 돈아까움,4,0
11,"⟨포드 V 페라리⟩는 소름끼치도록 잘 만든 영화다 보는 내내 감탄을 금치 못했다 영화의 완성도가, 드라마가, 멧 데이먼과 크리스찬 베일이, 포드와 페라리가, 레이싱과 자동차가 사람의 심장을 터지도록 만들기 때문이다  자동차를 모르는 사람도 재미있게 볼 수 있는 자동차 영화다  ⟨포드 V 페라리⟩라는 타이틀을 보는 순간에 나는 전통적인 장르 영화들, 양산형 작품이지는 않을까 하고 걱정했다 포드의 드라이버와 페라리의 드라이버가 라이벌이 되어 격돌하는 식의 촌스러운 이야기 말이다  하지만 그런 걱정은 그야말로 기우에 지나지 않았다 영화가 보여준 이야기는 상상을 넘어서는 깊이와 구조적 아름다움을 갖추고 있었으니까  중견 배우들의 안정감, 감독의 뛰어난 연출, 역사가 지닌 실화의 힘이 고스란히 살아있는 최고의 영화.",8,1
12,최고가 되기 위한 남자들의 집념 !!!! 자기 분야에서 최선을 다 해본 사람만이 느낄수 있는 감동 !!!!! 마무리가 아쉬웠지만 그것도 실화이니 받아들어야 하겠죠 .,10,1
13,이영화 강추다,9,1
14,"극장에서 봤는데, 지루한 면이 없지 않아 있어요. 근데 한번쯤은 봐도 괜찮을 것 같아요!",7,1
15,한 드라이버의 경주는 레이싱계뿐만 아니라 세상을 변화시키는 혁신이었다. 그들의 질주가 곧 기술이자 개혁이다. ,5,0
16,사업을 위해 레이싱을 하는 이들과 인생을 위해 레이싱에 뛰어든 이들 인생은 7000 rpm 의 순간과도 같다.,8,1
17,"멋지네요,  한세계를 제대로 아는 이들의 모습.. 맷데이먼 연기 역시 기대를 저버리지 않네요",9,1
18,기술과 탐욕의 소용돌이에서 빠져나오지 못한 드라이버의 영혼에 대한 경의.,8,1
19,"영화를 보고나니 왜 포드가 최고의 자동차 기업에서 추락했는지 알겠더라 ㅋ 자동차 디자이너와 카 레이서의 진한 우정도 멋졋고, 긴 런닝타임이지만 지루하지  않은 자동차 경주씬은 박진감 있었고, 그속에 대기업의 낡은 관료주의 횡포까지..  재미와 감동, 역사적 교훈까지 잘 다룬것 같다.  과연 실제 7000 rpm의 속도감은 어떤 느낌일까? 궁금해진다.",8,1
20,난 차에 대해서 잘 몰라서 레이스 할때 빼고는 그냥 그랬음,7,1
21,다들 할말이 많은것 같다.,8,1
22,레이싱장면은 진짜 손에땀을쥐게하네요! 캔마일스가 어이없게 죽은게 많이아쉽지만  긴 러닝타임에도 재미있게 잘봤음!  ,8,1
23,경기 장면이 압권이다. 나도 따라서 미친듯이 풀악셀 밟고 싶어짐.,6,1
24,포드의 레이싱카를 생기게 만든 역사 그 자체 ,9,1
25,극한까지 가서야 보이는 자기의 존재,6,1
26,자동차에 대한 로망을 갖는 남자들은 좋아할 만한 영화다. 포드의 멋진 승리였지만 난 왜 페라리에 더 눈길이 가는걸까  이 영화속 상황으로 들어가서 몰입하기엔 지금의 페라리에 대한 로망과 애정이 더 크다.   오직 한 길만을 걸어왔기에 지금의 페라리가 있고 그래서 영화속에서 우승한 포드보다 페라리의 신념이 지금까지 이어져 왔다는 생각에 지금 페라리 그들의 차가  더 빛나 보이는 영화였다.,8,1
27,"자동차에 목숨 건 남자들의 이야기. 이탈리아인들의 입장에서는 짜증나는 영화일지도 모르겠다. ㅋㅋ 어쨋거나, 너무 잘 만든 영화임에는 틀림없다. 엔딩이 마음에 들지는 않지만 어쩌겠는가, 그것이 현실이었는데...",8,1
28,포드,10,1
29,중국 국뽕 못지않은 미국 국뽕영화. 엄복동 비슷..눈요기가 있어서 별3개 ,6,1
30,"너가 만약 차를 한계까지 몰아붙이면서 차가 견뎌주길 바랄거면,  어디가 한계점인지 알고 있어야 해.",10,1
31,굿잡,10,1
32,.,6,1
33,이 영화보고 포드차는 못사겠다 제목도 마일스앤 셀비로 해야지,10,1
34,시간 때우기용으로 괜찮음.  최소 평균은 넘는 헐리우드 영화들은 대체로 때깔이 좋다. 한마디로 그림을 만들 줄 안다는 말이다.  ,8,1
35,포스터 보고 액션 영화인가 했는데 멋진 드라마였네요.,9,1
36,굿,9,1
37,.,8,1
38,"실화를 바탕으로 한 극본, 연출력, 배우들의 연기력 전부 좋음 레이싱 체이스도 멋지긴 한데  느린전개와 진부한 스토리가 싫으면 패스하는 편이",10,1
39,강렬한 임팩트 있었던 작품은 아니지만 배우들 연기 좋았구요. 자동차 레이스에 몸 바치는 사나이들이지만 가진자들 앞에서 어쩔 수 없이 자존심을 굽혀야 하는 이들의 모습을 보면서 인생이 참...,8,1
40,두배우의  캐릭터 소화력과 연기조합.. 실감나는 60년대 레이싱장면들.. 실화를 바탕으로 영화로 만드는데 감독과 제작진. 스텝. 배우들의 노력에 찬사를 보냅니다!,10,1
41,"긴 상영시간에도 불구하고 흥미진진하게 이야기를 끌어가는 극본의 힘, 연기의 힘",6,1
42,연기 각본 우정 능력 vs 무능 오만함...과하지 않는 레이싱 ... 영화관에서 못본게 한이되는 영화,9,1
43,두 배우가 전하는  포드의 역사,7,1
44,와...전율이..  그리고 먹먹함이..,8,1
45,앞으로 포드는 사지 않겠다,9,1
46,연기도 좋고 경주씬도 좋고... 어딜가나 꼰대들이 문제고...,8,1
47,빨리 보세요.,8,1
48,...,8,1
49,최고~,10,1
50,이 묵직함은 뭐지? 역시 이름 값을 하는 사람들이 만든 걸작!!! 사족) 모 영화관의 라스트 찬스 세일 참 바람직 함.. 계속 해 주길....,8,1
51,영화도 관객들의 심장도 터보엔진처럼 요동친다.,8,1
52,7000 RPM 사이로 사라지다,9,1
53,"특별한 스토리 전개랄 건 없고, 못되게 딴지거는 악역하나 넣어주었다.  12세가를 건지기위해 켄을 심금울리는  다감한 아버지로 만들었어야 했던걸까. 뭐, 월트 디즈니 스타일에 웬디가 나온들 어떠리.  특별히 박진감을 느낄 수 없는 밋밋한 자동차 경주. 그러나 그 모든 것을 채워내는 크리스찬 베일의  레드넥 연기는 신기(神氣)라도 들린 듯.. 오싹할정도 ",7,1
54,강추!!!!!!!!,9,1
55,별9개 강추합니다!!,9,1
56,"너무 소설같은 실화, 그래서 재미로는 별로, 속도감을 느낄 것같은 영상은 짱짱. '안녕하세요'",7,1
57,멋진 두사람 게다가 실화라니...,6,1
58,재미없고 지루하고 게다가 쌔드 엔딩이라서 화가 남,1,0
59,돈으로 살 수 없는 그 무언가 ,8,1
60,이게 왜 재밌지?  엄청 지루...평점이 너무 좋네요 ㅎ,2,0
61,...,8,1
62,아 극장에서 못본게 아쉽네요...사운드 좋은데서 봣더라면...,7,1
63,베일과 데이먼. 그냥 믿고 보자. ,9,1
64,맷 데이먼 ...크리스탄 베일 둘 다 멋있는 놈이라 생각하는 배우들이다..... 그러나 실화를 바탕으로 나오는건 사절이다....뭐 이리 평점이 높노.... 기대 이하 였다... ,3,0
65,최고~,10,1
66,실화를 바탕으로  잘 만든 수작 영화군요. 시간가는 줄 모르고 봤어요. 하도 평이 좋아서 막차로 가까스로 봤는데.. 그럴 가치가 있군요.,9,1
67,멋지다는 말밖엔!!!,9,1
68,크리스찬 베일의 열정과 맷데이먼의 절제가 돋보인 영화,10,1
69,굿,9,1
70,역시 평점 높은 영화는 재미가 없어,5,0
