,document,score,label
0,"넘 재미있게 봤다. 동물들의 풍부한 감정의 표정과 말하는 입모양이 딱딱 들어맞는게 신기하다. 알리와 미스터주의 아이콘택에 찡했다. 동물들에게  함부로 하면 벌받는다! 동네고양이들이 매번 집옥상에 올라와 우당탕탕 밤에 시끄럽게 떠들고 울고 똥오줌으로 영역표시하는게 힘들어서 야단도 치고  쫒아내도 고쳐지질 않았었는데,  어느날,  내가 아이콘택을 하고  진심으로 미안하다고 사과를 했다. 고양이는 멀리서 보고 있었지만 나를 계속 바라보고 있었다. 그뒤로 우리집을 넘어오지않았다. 집주변에서 가끔  잠깐씩 소리만 낼뿐, 신기한 일이다. 이 영화처럼 동물들은 수많은 말을 우리에게 건네고 있지만 감히 동물따위가! 무시한다. 영화는 한마디 한마디 동물들의 입을 빌어 우리에게 말을 건네고.있다. 동물들은 모든걸 다 알",10,1
1,그냥 아이들이랑 보기 좋아요  아이들이 좋아햇어요  요즘 너무 자극적인 내용만 많아서 아이들이랑 볼게 없엇는데 우리집에서는 다같이 웃으면서 잘봣어요 큰기대없이 그냥 가볍게 보셔요!!!  김서형 이성민 씨너무 좋고 배정남씨 고생 많이 하셧을듯 ㅎㅎ  박수를 보냅니다~~ ,8,1
2,이 영화에서  한국의 로빈 윌리엄스를 봤네요   아주 아주 유쾌한 영화.  재밌게 잘 봤습니다.   동물 목소리 연기 배우분들도  너무 반갑고 재밌었습니다~~^^,9,1
3,"가족들과 보기 딱 좋은 영화, 그리고 동물을 좋아하는 사람들에게 추천하는 영화",8,1
4,유치하긴 하지만 따뜻해서 좋으네요 초딩 아들이랑 같이 보니 더 좋고 울집 강아지랑 같이 보니 또 좋고 이성민배우는 로봇소리도 그렇고 도전을 마다하지 않는 멋진 배우이신것 같아요,10,1
5,재미난데ㅋ  훍속에진주 ㅋ,9,1
6,2019~2020에 본 영화 30여편 중 최저. 놀랍도록 유치하다.,2,0
7,어른들이 보기엔 좀 그렇구요ㅋㅋ  배우들 연기보는게 좋았어요 김서형님 이성민님 넘 좋아요 저희집 아이들은 진짜 재미있었다고 하네요ㅋㅋㅋㅋ ,10,1
8,아주제밌이고 옷을수 있는 영화입니다,10,1
9,"구정 특선 영화중에 아침에 해준 이유가 있었군요. 아이들과 함께 보기에 참 재미있는 영화 같습니다. 뭔가 순수하긴한데, 재미는 남기고 너무 순수하도록 나쁜 느낌은 전부 쳐낸 느낌입니다. 가볍게 웃으며 보기에 좋았습니다.",8,1
10,동물들의 감정을 느낄수 있어서 좋았음,9,1
11,이성민이 너무 아깝다;;,3,0
