,document,score,label
0,전도연은 역시 그리고 여전히 매력적이구나.,6,1
1,작품성도 있고 스토리도 재미있고 잼나게 봤음~,9,1
2,코로나만 아녔어도 최소 중박은 했을 영화,8,1
3,얼마만에 나온 걸작이냐   연기 스토리 집중도 모두 만점이다 개인적으로 훌륭한 영화였다,10,1
4,최소 300~400만 정도 나올 영화가 시대를 잘못 탔네... 다 연기력이 쩔어~ 스토리 구성 내용 전개도 좋고 간만에 끝까지 본 영화,9,1
5,크게 흠잡을 데가 없는데. 흥행이 안된 게 아쉽네요..,10,1
6,정우성이 너무 잘생겨 몰입이안되지만 못생겨서 몰입안되는거보단 좋아요 전도연씨는 정말 최고 ㅠㅠ 정말 재밌게 봤어요,10,1
7,모든걸 다 갖췄는데 왜 이리 평이 야박해...,10,1
8,보기드문 수작이네요...코로나로 막혀있던 가슴을 짧은 시간이나마 위로를 해준 영화,9,1
9,"스토리나 전개, 전체적인 구성은 좋았습니다. 스릴도 좀 있고.. 근데 정우성은 이 역에 좀 안어울리네요..",8,1
10,정우성 연기는 아쉽고 전도연 연기는 빛난다.. 돈 앞에서는 짐승이 되는 인간 군상을 너무도 잘 그림..,7,1
11,돌고돌아 돈이내 그나마 근로하는 사람에게 갔는데,8,1
12,기대 않하고 봤는데 와~재밌네요.  돈이 돌고돌고돌고... 과연 끝은 어디일지... 배우들 연기 구멍없고 스토리 짱짱하고 안보신 분들은 보세요.,10,1
13,재미 있음,9,1
14,큰 기대없이 봤는데 재밌게 잘 봤습니다  전도연 존재감 단연 쵝오!,8,1
15,이영화 강추다,8,1
16,간만의 수작,10,1
17,잔인하지만 기대이상으로 재밌는 작품 잘봤습니다,10,1
18,수작! 한국영화 정말 세련됐다,10,1
19,코로나 때문에 극장에서 못본 영화  대신 비디오로 몇번을 봤네요.  노동으로 힘겹게 살아가는 분에게 행운이 있어 다행이다 싶었어요 . 배우들의 명연기도 좋았구요!,9,1
20,정우성은 뭔가 보는 사람으로 하여금 불안하게 함. 진짜 연기 안느는 대표적인 배우. 전도연과 정만식 외 그 외 배우들은 괜찮았음. 특히 전도연... 와 정말 단연 압권. ,7,1
21,범죄 스릴러가 아니라 스릴러 범죄. 긴장의 흐름이 끊임없이 흐르는. 시간 흐름을 꼬았는데 자연스럽게 이어지는 좋은 영화였음. ,9,1
22,개꿀잼,10,1
23,"잘만든 영화인데, 평점이 왜 이 모냥?",9,1
24,재밌게 봤습니다,9,1
25,"스토리의 짜임새, 속도, 배우들의 연기 뭐 하나 나무랄데 없는 영화였다. 정우성 연기가 비로소 한단계를 넘어가는구나 싶었다. 이감독의 다음 작품이 기대된다.",10,1
26,이 영화가 7점도 안된다고? 일간벌레들이 정우성 나온 영화라고 벌점테러하는구만 그래서 10점 준다,10,1
27,정우성 전도연 너무들 재미있게 봄,10,1
28,재밌게봤네요,7,1
29,스토리 개쩐다,10,1
30,와 이거 도랐음. 최근 본 영화중에 제일 재밌다,10,1
31,불나방을 부르는 돈가방,7,1
32,와우 이런 걸작이~!,9,1
33,시나리오  배우연기 영화구성  매우 좋다.,10,1
34,블랙코미디 잼나게 봄 ㅋㅋㅋ,10,1
35,프랑스 영화를  보는 듯,10,1
36,가대안하고보면 오호라!,9,1
37,나름 재밋게 봤어요~,8,1
38,내가 좋아하는 스타일 영화입니다.... 잘봤어요...연기력들도 좋고...~,7,1
39,굿,10,1
40,스토리연계가  좋은영화.. 돈은 돌고돈다,9,1
41,최근에 본 영화 중 가장 잘 만든 영화같아요. 내용도 짜임새 있고.,9,1
42,시선한 내용전개. 재밌어요,8,1
43,괜찬네! 잘 만든 영화다. 감독이 누군지 확인해보게 하는 힘이 있다.,8,1
44,"좋기만 하구만, 뭔 있는 척들을 하는지.",10,1
45,제작사는 코로나가 웬수겠다 나름 수작인데 아쉽네,8,1
46,"간만 90년대 감성 영화 같은 맛이 있어서 좋았습니다.  90년대는 젊은이들의 방황이 많이 그려졌다면 이 영화는 현대사회 어른들의 탐욕을  잘 표현한 것 같아요, 배성우 연기 최고네요. 정우성도 이미지 변신 좋았다고 생각됩니다.  신현빈 캐릭터를 조금 더 끌고 갔더라면 하는 아쉬움이 있습니다.",9,1
47,"잔인하지만 잔인한 장면을 직접적이고 노골적으로 묘사하지 않아서 좋았음. 배우들 각각의 매력과 연기도 좋았고, 그중 역시 전도연. 전도연이 나오는 순간, 몰입감이 살아나며 극의 중심을 잡아줌.",10,1
48,잘 만들어진 영화인데 코로나 때문에 관객수가 적네,10,1
49,재밌네요,9,1
50,재밌음 시나리오도 이정도면 훌륭,8,1
51,한마디로 재밌다,10,1
52,그랜드부다페스트호텔을 느껴본다,9,1
53,담배는 끊어여  한다는  진리를 깯닫게 함!,10,1
54,전도연은 진짜 최고,6,1
55,난 재미있게 봤는데... 전도연 외 배우들 연기력만이라도 별7개는 된다.,8,1
56,"아기자기하게 오밀조밀 잼나고 ,은근히.웃김 돈가방 소재로 한 영화중 최고",8,1
57,대중적이지는 않지만  매우 잘만든 영화,8,1
58,탄탄한 플랏과 촘촘한 연출 연기도 몰입도도 굿,10,1
59,전도연 ㅜㅜ,8,1
60,솔직히 재밌었다. 다크한 분위기라 처음에 이게 대체 뭔 내용인가 싶었는데 배우들 캐스팅도 완벽했고 배우들 연기가 모두 좋았다. 잔인한 장면은 좀 나오나 킬링타임용으로 강추한다. 이렇게 묻히기엔 좀 아까운 영화다.,8,1
61,수작이네요. 오랜만에 재밌는 영화 한편 봤다.,8,1
62,한국영화라 또 뻔하려나하고 기대안하고 봤는데 생각보다 괜찮은데? 전도연이 그냥 캐릭터그자체 같다 매력이있네. 스토리라인도 있고 지루할 틈없이 끌고가서 흥미롭다.,9,1
63,재밌어요  잘만들었음,8,1
64,잔혹코미디  대사발 좀 웃겼슴   정우성은 살거라고 생각했는데  요번에도 죽네,8,1
65,솔직히 기대 이상,9,1
66,"졸잼.   시나리오 너무 독특하니좋고,  연기좋고  굿굿",10,1
67,진짜 근래 본 영화 중 최고였다 ㅋㅋ,10,1
68,돈을 따라 다니는 재미가 있네요.,8,1
69,재밌게봤어요,8,1
70,재밌구만,10,1
71,굿,9,1
72,무섭도록 어두운 코미디...,9,1
73,물고물고 좋아요. 진경의 마지막 장면은 유쥬얼서스펙트 같은 느낌을 원하셨던듯~,10,1
74,굿,10,1
75,재밌어요,10,1
76,근래에 본 스릴러 범죄영화 중 최고!!!,10,1
77,"배우들 연기, 연출, 작품성 좋았어요. 이런풍영화 잘 안봤는데, 간만에 괜찮은 느와르 인듯요!!",9,1
78,완전 재밌게 봤어요. 평점이 짜네요.,10,1
79,별점이 짜네... 여러 인간군상들을 볼수있음 꽤 재미있음 시간가는줄 모르고 봤네요~,10,1
80,"참 점수들 짜다. 별점주러 로그인함. 잘만들고 코로나로 흥행실패 안타깝지만, 순자 마지막 대사처럼..",10,1
81,평점 1점이 많아서 재미 없는지 알았는데 코로나 시기에 영화도 많이 없어서 봤는데  잼납니다. 정우성 연기도 잘하고 스쳐가는 화면 하나하나에 복선도 있고 잼있어요.,8,1
82,돈을 갖고 튀어라의  아수라 버전. 새로울 것 없고 배우들의 특색도 못살리고. 그럼에도 ....전도연만 남는다,6,1
83,신선하지 않치만  피향기가 나는  그저그런  저  배우들을  모아 놓고 너무들 했네,8,1
84,전도연은 무롸한에서 그대로 왔네. 이 영화에서 쿠엔틴 타란티노 작품이 떠오르고,1,0
85,좋지도 그렇다고 그렇게나쁘지도않은 그저그런영화  전도연의 매력때문에 5점,5,0
86,"캐릭터 하나하나 딱히 버릴 사람이 없고 연기가 좋다. 시나리오랑 연출도 좋고 지루하지않게 잘 만들었다. 다만, 내용이 하도 ㅈㄹ같아서 보는 내내 짜증과 불안을 유발한다. 안풀리고 안풀리고 안풀리는 쪽으로만 흐르니깐  흥미진진하게 보는 재미가 없다. 이런 영화도 있어야지. 싫어하는 사람에게 추천하면 좋은 영화.",9,1
87,끝까지 봐야 함,7,1
88,"연기가 늘지 않는다는 건 기본적으로 머리가 나쁘다는 뜻. 자기는 자수성가해서 좋은 동네  살아도 되고, 난민은 나쁜 동네 살아야 되고, 우린 모두 사랑 해야 하지만 같이 살 수는 없는  처참한 능지가 연기에 그대로 나온다.",1,0
89,배우들 빵빵 짐승 노노  쓰레기들 이야기,7,1
90,굿,8,1
91,재미있게 잘봄,9,1
92,.,10,1
93,재밌어요 ㅋㅋ,10,1
94,스토리 전개가 무척 신박했어요! 재밌었어요^^,10,1
95,난 괜찮았음,10,1
96,스토리 몰입도 좋아요 다만 잘생긴 정우성님 연기력이  걷도는  느낌이 드는건 왜지...,8,1
97,재밌고만,10,1
98,Rotten tomato에선 98% 신선도라. 극명하게 갈린 평점... 도대체 뭐가 문젤까? 걍 궁금...,9,1
99,잘봤어요,8,1
100,시나리오가 탄탄하고  믿고보는 배우님들이라   코로나로 빛을 못봐 안타까움,10,1
101,간만에 너무 재밌음. 자극적인 장면으로 시선 끌기하지않고 스토리로 승부를 거네.,10,1
102,막힘 없이 깔끔하게 잘 만들었다.   그런데 너무 잔인해...  세상에서 제일 무서운 건 역시 인간이다.,8,1
103,ᆞ,7,1
104,"정우성이 극중에서 8촌간인 박지환(붕어)에게 니 얼굴에서 내가 보여라고 대사하는 장면에서 두 배우 모두 웃음을 참는 듯한 장면이 재미있었고,  싸이코 살인마 행동대장 메기 역을 맡은 배진웅 배우는 정말 무서워서 지림.",8,1
105,전도연   쵝오,8,1
106,재밋네요,10,1
107,원작 소설을 떠나 잘 만든 작품 다만 주연 배우가 어울리지 않아서.....,8,1
108,올~~~,8,1
109,개봉시기가 좋지 않아 흥행을 못 해 아쉽네요 멋진 작품입니다,9,1
110,아 진짜 좀 잔인해요  무서워서..ㄷㄷ,9,1
111,로또 함 맞는게 쉽진않지 ㆍㆍ,7,1
112,ㅡㅡ,6,1
113,가볍게 볼만한데 쓸데없이 수위가 높음 영화는 그냥저냥,7,1
114,그놈의 돈,6,1
115,재미있게 잘 봤어요 ~~  캐릭터와 에피소드의 향연~~,9,1
116,재미짐,10,1
117,볼만함,6,1
118,기대 안하고 보니까 재밌었음.,8,1
119,노잼쓰,2,0
120,기대안했는데  나름   재미있군... 쿠엔틴의  펄프픽션을  재미있게  봐서  그런가...,7,1
121,"잔인한 장면이 있어서 쬐끔 눈 감고 봤지만, 부족한 서사가 없이 꽉 짜여진 느낌이 드는 영화!",10,1
122,나름 볼만함,6,1
123,쿠엔틴 영화를 좋아한다면,8,1
124,단점을 상쇄하는 장점의 시퀀스.,8,1
125,"다시 영화관으로, 재상영 고고~~!!",8,1
126,크게 무거운 장면도 없고 가볍게 볼만하다. 현실성은 좀 떨어지지만,7,1
127,초반엔 삼류영화삘이 났는데 보다보니깐 얽히고 엮이는 스토리가 재밌었다 ,6,1
128,수작 ,10,1
129,등장 인물들의 사연이 서로 연결되는 스토리가 재밌다. ,8,1
130,한국영화 치고 짜임새 있음..,8,1
131,시간순삭 재밌네요,9,1
132,잘봤어요 8점 드림,8,1
133,긴장감을 놓치지 않고 봤습니다.  ,7,1
134,잼나게,8,1
135,깐느가자.,10,1
136,틀어놓고 보다가 자려고 했는데   졸음을 참으며 끝까지 봄   그 얘기는 쓰레기는 아니란 말임   이 정도면 잘 만들었음,9,1
137,점수낮은게 이해가안되네,8,1
138,재밌게 봤어요 배우분들 연기 보는 재미가 쏠쏠~ 마지막 결말도 Good ㅋㅋ,7,1
139,재밌게봄,9,1
140,재밌음,10,1
141,견물생심,7,1
142,굿,10,1
143,GOOD,10,1
144,재밌는데,10,1
145,중박은 얼어죽을..  드럽게 재미없다,1,0
146,재밌음,10,1
147,써쏘,8,1
148,완전 코메디.ㅋㅋㅋ전도연 ㅋㅋㅋ,7,1
149,돌파구없는 답답함에 한숨만 나왔지만 극이 진행하면서 점점 강화되는 몰입감이 좋은 작품인것 같다. 극전개가 어느정도 예측가능하지만 이런 구성이 좋다. ,8,1
150,So so,1,0
151,별생각없이 봤는데.. 재밋네요 기대하지말고 보면 정말 뜻밖입니다 명품연기들은 당연 쵝오,8,1
152,돈을 쫒는 사람들..결국엔 아무것도 남지 않네.,7,1
153,볼만했어요  시간가는줄 모르고. 근데 어디서 많이 본듯하고 예측이 가능하다는게 그런게 있네요,8,1
154,.,0,0
155,우리나라에서  흔치 않은 구조...  가이리치감독에 락스탁 앤 투스모킹 베럴즈   비슷한... 재밌게 봤네여 ,10,1
156,출연료에만 몰빵한건지...연출 영상 전부다 엉망이다 집중이 안된다 간만에 한국영화를 건너뛰기 방식으로 보게 만들다니... 과연 묻고싶다 당장 내 배가 갈라질 판에 어디서도 도움받을 길도 물러설곳 없는 낭떠러지 앞에서 우리는 저들보다 나을까? 탐욕이 아닌 살기위해 필요했던 그것이 과연 짐승인걸까,1,0
157,전도연은 참 매력있게 나이가 드네요. ㅎ  정우성은 역시 아수라가.. ㅋㅋㅋㅋㅋㅋ,10,1
158,각색한 사람 지푸라기라도 잡고 묻고 싶은 마음,4,0
159,연기도 좋고 나쁘진 않은데 시기를 잘못 만난듯,8,1
160,박** **,0,0
161,생각보다 볼만했고 흥행에 실패한건 아쉽네요 다들 연기는 잘해서 몰입도는 좋아요 근데 잔인해요~,8,1
162,재밌다,10,1
163,볼만했어요...,5,0
164,돈에 미친사람들의 이야기.... 뭐 결국에는 다 죽으니...어설프게 어떤놈들은 살고 어떤놈들은 죽는게 아니라 싸그리 죽여버리니 나름 끝맛이 나쁘지는 않네.. 마지막 전도연 일자머리 만나 죽기전 표정 엄청 매력적이고 섹시하게 느껴짐..ㅎㅎ,6,1
165,코로나만 아니면 흥행과 화제를 몰고 왔을듯. 다만 베테랑 배우는 많지만 참신한 이미지 발굴엔 아쉽..,9,1
166,하나하나 케릭터들이 정나게 웃긴다....ㅋ  연희와 미란이도 은근 성적 매력이......~,10,1
167,"원래는 6.5~7점 정도? 하지만 한국영화라서 8점 작년, 올해 한국영화 나온것들 보면 이정도로 평범하고 노말한 완성도로 나온게 몇편이나 될까? 내 기준 6편이었다.  적당히 재밌고 쫄깃하게 만든 '볼만한' 수준인 이 영화가 내기준 올해 한국영화 탑3안에 들것같다.",8,1
168,"돈 돈 돈 돈의 돈 돈 악마의 금전, 제아무리 쥐려고 해도 잡히지 않는 허상.",6,1
169,볼만합니다. 조금 아쉽지만!,8,1
170,아 진짜 코로나만 아니면..ㅋㅋ 나름 재미난 영화라고 생각되네요.,10,1
171,처절하게 살아가는 모습을 잘 담아냈다,10,1
172,우한패렴때매 망했지만 영화는 꾀 볼만했다,10,1
173,배우분들 연기가 빛납니다. ,7,1
174,돈은 돌고 도는 법 ,5,0
175,이 따위 영화를  끝까지 봤네   반성한다  ㅜ,1,0
176,최근작 중 가장 재미남.  ,9,1
177,볼만해요~~~~~~,8,1
178,와우 올킬이네...정우성하고 전도연도 죽다니...어설프게 악당도 살리는 그런 영화보다 나쁜 짓하면 반드시 죽는다...캬 감독 맘에 드네..,10,1
179,조금씩 예상을 벗어나서 좋았다 볼만함,10,1
180,아직도 저급한 스토리로 영화찍냐. 그리고 그런영화를 전도연이 찍었다는게 더 실망. 정우성이야 그렇다치고 연기폭 넖힌다고 치고.,1,0
181,재밌다,8,1
182,너무 시간 아깝다.  록스타 앤 스모킹 더 배럴즈 비슷한 느낌 그러나 너무 재미없다. 제발 이런 영화 만들지마 ,1,0
183,여러분 사채는 절대 쓰지 마세요,8,1
184,반전에 반전을 거듭하는 재미가 있음,8,1
185,보면서 전도연을  응원하게 되네. 황해 때 김윤석  보는 줄.ㅋㅋ,8,1
186,그냥 저냥 볼만함 어차피 기대를 안했기에 생각보단 재미있었음,6,1
187,"장르는 틀리지만 예전에 돈을 갖고 튀어라였나 그 영화 좀 생각났었음. 이리저리 꼬인.. 이 영화는 믿고 보는 화려한 배우진들때문에 봤는데, 독특한 형식의 연출도 나쁘지 않았고 우선 연기들이 되는 배우들이니... 전도연은 언제부터인가 비슷한 이미지의 역할만 하는거 같고, 정우성 연기가 차라리 인상 깊었음. 이제 멋있는 역할 같은건 손을 놓은건지 연기력이 점점 좋아지는거 같음. ㅋㅋ 정우성 여기서 역할 좀 소심한듯 하면서, 뻔뻔스러운 말투에 익살스러운 연기 진짜 새로웠음. 이 영화는 의외로 정우성이 가장 득보지 않았을까 함. 좀 잔인해서 그렇지 코로나 직격탄 안 맞았으면 300만 정도는 넘었을 듯...",9,1
188,한국영화...꼭 잘 만들수만은 없지 뭐......,1,0
189,한국영화 화이팅 재밋게  봤어여~~♡♡♡,9,1
