,document,score,label
0,방금 유료시사회 보고 나옴. 관객들 반응은 '이게 끝이야?'  홍진이형 이거 나가리야.  재촬영을 하건 편집을 다시 하건 뭐라도 좀 해봐. 정말 진부한 페이크 다큐 형식의 공포영화...어디서 뭐가 벌어질지 너무 뻔함. 저거 무섭다고한 평론가들은 맨날 코미디 영화만 보던 사람들인가봄. 하도 무섭다고 난리들을 쳐대서 잔뜩 기대하고 와이프한떼 쌍욕 먹어가며 겨우 나와서 본건데 고작 이거라니. 영화내내 관객들 비명도 안들림. 초반부터 너무 지루하게 얘기를 끌고가서 지겹기도 함. 돈은 둘째치고 유부남의 황금같은 주말을 날려버렸음.  대제 돈을 얼마나 뿌렸길래 평점이 이리 높음? 별 1개가 최저라 어쩔수없이 1개나 줬음.,1,0
1,감독님이 여자 월경에 무슨 환상 있으신거같아요 여자입장에서 보기 불쾌한장면 너무많고 화장실 몰카구도도 싫었음 맥락없는 관계씬에서 여자만 잡는것도 그렇고…마케팅 왜 열심히 했는지 알거같아요 아니 감독님이 제일 잘 아시겠네요 보면서 하품 이렇게 많이 나온 영화는 내인생 처음,1,0
2,여성을 스토리를 위한 도구로만 쓰는 불쾌한 영화 나홍진 감독 영화는 김기덕 감독  영화의 불쾌감과 맞닿아있다,1,0
3,나홍진감독팔아서 홍보하는  수준떨어지는 c급영화입니다 절대로 영화관에서 보지말고  tv에서 공짜로 보세요 무서지도 않고 더러운영화입니다,1,0
4,딱 돈 버리기 좋은 영화 랑종이 아니라 빡종임,1,0
5,약자에 대한 잔인한 묘사는  공포가 아니라 고어영화. 왜 우리나라에서 제작 거부해서 태국가서 찍었는지 알겠음.,2,0
6,기대없이 갔다가 어이없이 나오는 영화 정식 상영전 각종 시사회등 많고 심지어 대형체인극장 토요일부터 개봉이라 봤는데. 이건 그냥 마케팅에 낚인거야. 영화 결말도 없이 그냥 끝남. 왜 19금인가했더니 갑자기 정사씬이 거지같이 나옴.      만들곳이 없어서 동남아 가서 만들었는지 한심 그자체.,7,1
7,영화가 끝나고 생각이 든건 나홍진도 끝났다,1,0
8,선전에 속지마요 재미도 없고 무섭지도 않다,1,0
9,정말 돈이 아깝다는 생각이 듭니다... 나홍진 타이틀만 때면 EBS에서 가끔 틀어주는 동남아 다큐 수준이에요. 거기에 뒤는 삼류 동남아 호러무비 수준.. 어처구니가 없는 개연성.. 납득이 안되니 몰입도 안되요,1,0
10,댓글 처음써본다. 홍보사기다.  이걸 영화라 해야 하나 쓰레기수준 남는건 밍 밍.밍~~,1,0
11,이게 공포영화야?  판타지야? 뇌절을 정도껏 쳐야지 겁나 치네 ㅡㅡ  기대하지 마세요 돈 아깝습니다. ㄹㅇ,1,0
12,우리 강아지를 집에두고 랑종보러 온게 속상하고 화난다 평론가들 말 절대 믿지마셈. 나홍진은 믿고 거른다 이제 …,1,0
13,유료시사회 봤습니다. 영화인생 36년. 처음 후기남깁니다. 화면이 너무 산만하고 집중하기도힘들어요. 잔짜로 멀미해서 토할뻔했지만.  올라오는거 꾹참고 주변시로 봤습니다. 무섭지도 않고 재미고없고 멀미 토쏠림만 남는 영화입니다. 욕하고싶네요,1,0
