,document,score,label
0,"개인적으로 오랜만에 잘 만들어진  한국영화를 본 기분이 들어서 좋았습니다.  가장 돋보이는 건 액션씬이였고,  그 외에 훌륭한 배우들의 연기랑 제작진의 연출 그리고 해외 로케이션으로 모로코에서 촬영했기 때문에 CG로도 표현할 수 없다고 생각이 들었습니다.  하지만, 유일하게 아쉬웠던 점이  스토리에서 아쉬운 전개랑 생략된 장면이 있는 것 같아서 추후에 감독판이나 미개봉편으로도 더 보고 싶어지더라고요...  그 외에 상황에 맞는 ost도 훌륭했습니다.  오늘 긴장감있게 몰입하면서 영화를 시청했어요ㅎㅎㅎ",9,1
1,어제 밤에 극장에서 보면서 다른 걸 떠나서 다시 한번 '이게 가능해?'라는 생각이 들었습니다. 이게 감독의 역량이구나 라는 생각말이죠.. 그만큼 스케일이 크다는 것이죠. 물론 내용도 볼만 하구요. 한번 꼭 보시기 바랍니다. 당시 상황을 너무나 실감나게 잘 재현했다고 생각됩니다. 대부분의 사람들에게 제작비 10배 주면서 똑같이 만들어 보라고 하면 절대 못할 것 같습니다. 배우들의 연기도 훌륭하지만 무엇보다도 류승완 감독님의 역량에 찬사보내 드립니다.,10,1
2,딱히 좋아하는 배우는 안나오지만 류감독님 영화라 믿고 봤어요 보고나서 김윤석 배우님 허준호 배우님 반했음 ㅎ 허준호 배우님은 진짜 당뇨환자처럼 보였어요 이제 좀 찌세요 화면으로도 전해오는 아프리카의 열기를 담기까지 얼마나 노력했을지 음악도 넘 좋아서 놀랬네요 음악감독 누구신지 선곡 장난아님 한국배우만 아니었으면 한국영화인줄 모르겠어요 갠적으로 신파빼고 탈출에만 집중한 스토리라 더 좋았어요 군함도는 진짜...  이렇게 잘 하시면서...  최근 본 캐시트럭 크루엘라 블랙위도우 모두 제치고 전 모가디슈가 원톱이에요 시기만 좋았으면 천만 들것 같은데 좋은 결과 있길 바랍니다 한국영화 엄청 발전했네요 모가디슈가 한 획을 그을듯,10,1
3,"오늘 아이맥스에서 봤습니다. 정말 마지막 장면에 와이프하고 같이 울컥했습니다.  1990년에 학창시절을 보낸 분들은 남과 북의 관계에 대해 잘 알고 계실거라고 생각하며, 많은 것을 생각하게 만든 영화입니다. 액션도 헐리우드 영화에 뒤지지 않을 정도네요. 어렵고 힘든  시기에 좋은 시간을 가져서 행복합니다.",10,1
4,오늘 조조로 보고 왔는데 영화 잘 만들었어오. 시종일관 긴장감을 잘 이끌어가고  마지막은 과장되지 않게 뭉클합니다. 류승완 감독다운 영화입니다. 코로나로 흥행이 아쉬울뿐이네요. 평소였으면 천만은 거뜬하게 넘었을 영화입니다.,10,1
5,"코로나19 터지고 극장관람 첨입니다ㅠㅠ 류승완 감독님 넘 반갑고 감윤석, 조인성, 허진호 배우님 등 모든 배우님 연기 완전 좋았습니다! 군데기없는 시나리오, 연출, 연기 3박자 멋졌습니다!! 코로나19 4단계 최악의 상황이지만 모가디슈처럼 끝내 이겨냈으면 합니다. 어렵지만 많이 관람하시길 추천드립니다^^",10,1
6,실화 소재는 뭘 더하고 뭘 뺐는지 실제 사건과 얼마나  일치하고 얼마나 다른지는 잘 알수 없다.  모가디슈는 현재까지 이어지는 소말리아의 내전상황과 우리 분단의 현실을 관통하는  동질감에서 오는 섬뜩함 속에서 오히려  절제하며 말없이 위로하는듯한 느낌을 준다.,10,1
7,마지막탈출씬 정말압권이었읍니다 돈마니 들었겠다 생각했었는데  200억대작이라깜짝놀랐네요 조인성 김윤석배우님  좋아요~!!^^,10,1
8,그렇게 재밌는것도 아니고 재미없는것도 아니고  유튜버 라이너의 평이 좋아 기대가 컸는지   좀 심심하게 봤습니다  신파가 없는건 좋은데  담담하게 그려서인지  스릴 박진감 감동 없고 맹물같은 영화,6,1
9,굳이 각색하면서 발암적 요소는 왜 넣었는지... 비슷한 영화로 호텔르완다란 영화가 있는데 훨씬 재미나고 괜찮은 영화임.,5,0
10,"아,, 조인성 욕하는건 아니지만   연기는 내 기준엔 안습인데",6,1
11,미리 광고자들이 별점 후하게 줘서 밸런스를 위함 평점.,1,0
12,베를린.모가디슈 이제 도시 시리즈냐?,4,0
13,기대가 너무 컷나....,4,0
14,조인성과 류승완 조합이면 일단 99점 먹고 들어가는거죠ㅎㅎ 그리고 김윤석까지ㅎㅎ 아.. 하루라도 빨리 보고 싶어요ㅠ.ㅠ,10,1
15,재밌네요..몰랐던 역사적 사실도 알게 되구요!!,9,1
16,뜬금없고 재미없는 유머와 뻔한 긴장과 갈등 구조 구축으로 늘어지는 전반부... 엉성한 설정과 막가파 총격과 추격전의 개연성 상실로 헛웃음나는 후반부.. 얼렁뚱땅 병은 진정 고질병인가...,1,0
17,뭐? 탈출신은 아르곤이 생각나고 자량주격신은 매드맥스가 생각난다고? 에라이,1,0
18,조인성병맛연기는목소리가원인인듯 김윤석몰입연기도목소리와표정의일체인듯 감독이공을많이들인영화인데조인성이 말아드심  전에사극보고 기절하는줄 딱 더킹까지만.. 얼굴아까워도배우는아님,6,1
19,진부하다,1,0
20,고생은 하셨겠네...근데 강한 한방은 없네,6,1
21,장르적 만족감을 높이자는 감독의 의도는 알겠으나…  소말리아 내전을 다루는 방식도 소말리아인을 그리는 방식도. 긴장감과 불안감을 고조시키기 위해 아이들을 볼모로 잡고 여성 인물들의 쓰임이 구색맞추기 에 지나지 않는 것도 다 별로. 더욱이 영화에 내재된 감독의 시선은 식민자의시선에 교묘하게 편승하여 소말리아 내전이라는 역사적 사건을 납작하게 짓뭉게 버리는데. 군함도 논란에서 그는 정녕 아무 것도 배우지 못한 것 같다.  무엇보다 제집도 엉망인 주제에 남의집 난리통만 내려다 보면서 우리집은 그래도 저정도는 아니라며 위안삼고 싶지는 않더라.,6,1
22,육중한 배우들이 총알 사이로 막 가서 살아남는 현실감 넘치는 영화,1,0
23,재난탈출 영화인데 뻔한 스토리라 별기대안됨. 결국 탈출했잖어?,4,0
