,document,score,label
0,좋아요,10,1
1,스트레스 안받고 맘 편하게 보기 좋네요.  재밌어서 평점 평균 좀 올려드릴게~~ ㅎㅎ,10,1
2,김아중 우락부락하고 어두운 남자들 사이에서 감초같은 역할을 잘하네~~^^ 현실에서 저렇게 몇 명이 시원하게 악을 제압할 순 없지만 영화로야 뭘 못할까??ㅋㅋ 그래도 저정도 국제 규모 마약조직이 총한자루 없다는건 좀......,7,1
3,이영화 강추다,8,1
4,딱 내스탈인데.. 아무리 나쁜놈들이지만..  우리나라 특성상 어린친구가  지나치게 반말하는것이 영 거슬려~,5,0
5,킬링타임으로 그럭저럭,5,0
6,이송 중 죄수들이 탈옥  하는데 멍청하게 여경이 권총을 가지고  공포용으로만 쓰고 몸으로 때우니 🔪맞지!!! 왜? 한국영화의 경찰들은 권총을 가지고도  몸으로만 때워  칼침을 맞는지 모르겠다.,3,0
7,2편 나온나... 마동석 미국 촬영 끝났잖아? 미친개 풀라고 했잖여,7,1
8,그것이 알고샆다가 자꾸...,5,0
9,Ocn용,6,1
10,다시봐도  통쾌,10,1
11,잼 나게 잘 봤어요~,10,1
12,마블리~~짱,10,1
13,믿고 보는 마동석표 액션 언제봐도 실감나네요 부족한 10프로에도 차기작을 기대하게 만든다면 재밌는 영화 아닌가요? 2편 나오면 꼭 영화관서 보고 싶네요,9,1
14,와전 졸잼 ~ 드라마 서부터 완전히 강팬됨.,10,1
15,재밌게 잘 봤어요^-^,10,1
16,냥 마동석의 싸우는것만 보이네. 다음편부터는  보다 시원한 스토리에 액션겸비 해주세요.,7,1
17,1:17은 기본!!  칼도 안박히는 강철몸통  직진 무대포 4총사   통쾌한 맛이 있는 영화,8,1
18,그럭저럭 쓸만해OCN,9,1
19,재미있게 잘봤습니다.,10,1
20,애매한 영화는 두 번 보면 재미있는지 재미없는지 아는데 처음 볼 때보다는 재미있었다...,8,1
21,시간 떼우기 조아요. ,10,1
22,마동석 그리고 김아준 재발견 씌원한 액션이 전편을 흐른다,8,1
23,난잼있던데3~~~,10,1
24,개꿀쟁,10,1
25,엥 난 개잼있음 사는거도 빡빡한데 권선징악 개굿,10,1
26,볼만한 영화다,8,1
27,ㅋㅋ  걍드라마 다시보기가......좋을듯,5,0
28,이런 영화에서 무슨  예술을 찾냐? 그냥 스트레스 해소용이지  잘 봤습니다,8,1
29,음.. 액션 빼고 다른 건 모르겠네요. 도대체 스토리가 뭔지?,6,1
30,극장에서 봤는데 괜찮았어요. 집에서 봐도 괜찮을듯~~ 김아중이 이뻤어요.,8,1
31,좀 식상하고 오글거림,6,1
32,심심풀이 땅콩,4,0
33,앞으로 영화 만들지 마라.  21세기 우뢰매!,1,0
34,.,0,0
35,감독이 중딩인가...? 이런 배우들 데리고 만들어낸게 고작 이런거라니...  어이가 없다.,0,0
36,생각없는 놈들이 시간 돈이 남아 돌아 만듦,0,0
37,"이래서 각본 연출이 중요한거지. 좋은 배우들 데리고 참, 중간중간 어이없었음",5,0
38,드라마로만 보자.,4,0
39,범죄도시.. 악인전은 재미있게 봤는데..  나쁜녀석들은 조금 아쉽네요..  TV 드라마로는 보지 않았는데..  드라마를 먼저 볼걸 그랬나 싶기도 합니다..    서민들 세금으로 월급받는 높으신분들.. 최소한 나쁜짓은 하지 맙시다..  T.T ,5,0
40,빈약한 스토리. 그럼에도 불구하고 그냥 속시원하다. 뭐 그걸로 댔지...머,7,1
41,마땅히 할 일 없을 때 보면 좋을 만한 킬링타임용 오락 영화...,6,1
42,망작. ,4,0
43,유치찬란,2,0
44,재미없다~드라마와 차별점이뭐냐?돈이라도 더 들어간티도안남~,2,0
45,극장에서 안봐서  그나마1점 준다,1,0
46,굿,10,1
47,잼씀,10,1
48,"캐스팅에 돈을 다 썼나,,cg도 그렇고 덤프트럭이와서 차 폭발장면보고 와,, 티비드라마인줄 알았네,,  스토리도 그렇고,, 살인마 연기도,, 개연성도,, ",0,0
49,액션 스토리 개연성 캐릭터 코믹... 모든게 최악이다,2,0
50,중간에 보다 말았는데..............아중이는 너무 섹시한듯~  나쁜 지지배~,5,0
51,6점 영화,6,1
52,이 영화보고나서 깨달았다. 인터넷 평점은 믿을게 못된다. 그냥 인터넷 평점 보지말고  자기가 재밌을거 같으면 보시길 난 이 영화 ㅈㄴ 재밌었는데 평점이 낮네요.. 만약 평점먼저 보고 이 영화 안 봤으면 후회했을 듯,10,1
53,김아중 자기관리가 최고구만ㅋㅋ 연기도 잘하고 많은 영화에서 자주 봤음 좋겠다ㅋㅋ 마동석이는 좀 액션영화 쉬어야 할듯 캐릭터가 너무 겹쳐 ,7,1
54,배우들이 아깝네요. 연출 너무한거같음,2,0
55,마동석  김아중  캐미가  좋네,7,1
56,각본이나 전체적인 전개가 모두 저급입니다. 배역들도 억지스러운 설정과 연기였고 마동석씨의 연기는 안타깝게도 이젠 다같아보입니다. 이 작품은 TV드라마 버젼이 더 낫다는 결론입니다.,1,0
