,document,score,label
0,전편 보다 항상 나을거라는 생각없이 본다면 재미있는 작품입니다,8,1
1,서로 몸 바뀔때마다 말투며 행동들 다들 완젼 찰떡소화하고 연기들 다들 잘하네요 끝이나지 않은듯 끝나서 다음편도 기대하게 됩니다~,7,1
2,너무 재밌었은대...,10,1
3,재밌다,10,1
4,전작에 비하면 아주 실망스럽다. 발암도 발암이지만 보스를 잡는 과정이 너무 허무하다. 스토리도 뭔가 부족한 느낌. 어벤져스: 엔드게임과 비슷한 느낌이다. 다만 이쪽은 시퀄인 쥬만지: 새로운 세계에서 종결된 시리즈를 억지로 후속작을 만드려고 했다는 점에서 엔드게임보다도 억지스럽고 뭔가 없는 느낌이다.,6,1
5,전작에 비해 많이 아쉬움. 할배들 발암짓을 너무 오래 끌고가서 짜증이 남... 목숨도 너무 쓸데 없이 소모함. 보스전도 좀 허망...,5,0
6,드럽게 답답한 할방구들 영화 개판ㅋ,0,0
7,후속작을 억지로 만들어 끼어 넣기 위한 초반 설정이 그냥 전체를 불편하게 했다,5,0
8,최악,2,0
9,괜춘,10,1
10,아~ 답답해~ 할아버지들 땜에 고구마 100개 먹는 느낌이다~ 쉽게 적응하는 꼬마들을 넣었어야지..,6,1
11,"리부트된 1,2편 모두 은근 흥미롭다. 근데 20년전 개봉한 오리지널 쥬만지는 진짜 더더욱 대박이다",6,1
12,"⟨쥬만지: 넥스트 레벨⟩은 다소 황당한 설정의 영화다  물론 중반부의 흐름은 나쁘지 않고 그럭저럭 재미있게 볼 수 있는 수준은 된다 코미디도 나쁘지는 않다  온가족과 함께 보는 영화로서 적정한 수준은 지키고 있다는 생각이 든다  핵심은 이야기가 너무 구식이라는 거다 쥬만지라는 세계의 특징도 전혀 드러나지 않고 있다 율겐은 너무나 평면적인 악당이다  좋은 배우들의 열연이 있고,  여전히 보는 재미는 있다 하지만 그게 전부다  이 영화는 실패작이다",4,0
13,굳이  할배들을 넣은 이유가 뭘까?? 너무 아닌듯!,2,0
14,.,5,0
15,전편에 비해 나아진 점이 없다. 캐릭터를 보는 재미는 반으로 줄었다.,6,1
16,..,7,1
17,나름 창의적으로 잘 만든 속편이었습니다. ^^,8,1
18,1편에는 비교불가 2편보다 너무 못한 3편. 로빈 윌리엄스가 그리울뿐이다.,5,0
19,명절 특선영화 한 편 추가요.,6,1
20,하.. 그냥 보다 말았습니다. 왠만해선 중간에 안끊는데..,5,0
21,별로 흥미롭지 못한 액션 어드벤처 영화,6,1
22,중간중간 재밌고 코믹한 요소들도 있지만 전체적으로 좀 유치한 느낌? 중국여자 캐릭터도 별로 매력적이지 못하고 굳이 할아버지 두분을 넣었어야 했나 생각도 들고... 초딩 중딩 울 애들은 재밌었다고 하네. 그래도 어쨌든 스릴과 박진감 넘치는건 1편이 최고.  하긴 첫편은 쥬만지 시리즈뿐 아니라 비슷한 장르의 다른 영화중에서도 단연 돋보이는 수작이다.,6,1
23,재밌음.,8,1
24,뭐. 그럭저럭... ,6,1
25,왠지 전작보단 못한듯.,3,0
26,재미있었당!!~~,10,1
27,"영화는 별로... 재미 없었음.... 그러나, 콜린행크스... 지 아버지 젊었을때랑 똑같네..... 와우...",5,0
28,.,5,0
29,ㅋ 아주 만족함!!,10,1
30,나에겐 아주 만족스러운 영화!,10,1
31,"어떻게 갈수록 별로인지. 1편이 10점이라면 2편은 8점, 이번 편은 5~6점이다. 비슷한 영화인 자투라는 9점. 이번 편은 캐릭터 구성이 좋지 못하고 답답한 면이 있다. 새 캐릭터들도 별로. 스토리가 전반적으로 억지 같고 중국 여자랑 할아버지들은 왜 등장시켰는지... 정말 답답했다. 감동도 없고 2편처럼 저속한 유머 코드도 재밌지도 않고 별로. ",6,1
32,억지로 만든 속편,4,0
33,요즘같이 아무대도 못가고 일도 못하고 집에만 하루종일 틀혀박혀 있는 시국에 시간떼우기 킬링타임용으로는 상당히 괜찮다. 하지만 1편에서의 보드게임이 훨씬 낫다. 왜 이렇게 엉뚱하게 바꿨지? ,6,1
34,언제까지나 우려 먹으려나....그래도 2보단 낫다.....코믹함도 있고.....심심할때 땅콩으로 좋고..... 그냥 게임이니까.....그냥 모험 즐기는용으로.....마지막은 또 속편을 예고하는듯.....사골은 사골이여..,7,1
35,2편에 이어지는 내용으로 킬링타임용으로는 꽤 괜찮습니다.,9,1
36,생각보자는 괜찮은데... 킬링타임용으로 굿,8,1
37,25년이면 충분하지 않을까?,7,1
38,.,0,0
39,다음편이 나올껄 기대한다.,8,1
40,...,7,1
41,아 ㅋㅋㅋㅋ 재밌어 ,9,1
42,주연이 알파고?,10,1
43,너무 재밌있다,10,1
44,1편보다  그무엇도 나아지지않고 후퇴했다 등장인물이  더 늘었다,3,0
45,중국 여자 등장하고 할배 둘 때문이 축축 다운 되는 느낌... 대놓고 중국 투자금 받았다고 홍보 하는듯.. 도저히 끝까지 못보겠다...,1,0
46,이전 작품에 비해 등장인물도 늘어났고 내용도 더 화려해졌으나 시작부터 이미 결말이 예상되는 건 어쩔 수 없다.,6,1
47,킬링타임2,4,0
48,Stage 2 Cleared 이 정도면 오락영화로 준수한데 12세 관람가 영화에 뭘 더 바라나,7,1
49,"전형적인 가볍게 보기에는 좋지만 남는건 하나 없는 영화. 전 편이랑 내용 거의 똑같지 않음?? 조금 변형만 주고 재탕.... 그래도 지루하지도 않고, 보기에는 괜찮다. ",7,1
50,그래도 옛날 생각나니 좋네...,6,1
51,역시...,3,0
52,굳,10,1
53,소중함이 없다. 보석같은 장면이나 액션 보다는 말장난. 얼간이 들을 희화화해서 영화를 만든다. 정말 졸리운 영화,3,0
54,전편에서 느낀 부족함을 확실하게 업그레이드 시킨 '엄청' 부족함으로 돌아왔네.,4,0
55,대니드비토 와 대니글로버는 반갑지만... 자기복습은 여전하다 아 참! 가족영화 ... 재미있는 놀이동산으로서의역활은 여전한듯..,7,1
56,똑같은 모험,5,0
57,중간까지 할배들 때문에 좀 답답했지만 그럭저럭 볼만은 했네요. 3편이 나오려나,7,1
58,배경이 좋아서 4점준다.,4,0
59,기대 이상으로 좋았네요 나름 마음에 울림이 있고 게임도 좋아해서 그런지 몰입하며 봤습니다!!,8,1
60,할아버지 말귀 못알아먹는게 유머코드라니.. 우리나라였으면 할아버지들 게임속에서 날고기고 위트 오지게해서 더 재밌게 만들었을건데.. 그 끝에 나이는 숫자에 불과하다 교훈까지.. 이 소재로 마블에서 제대로 만들어줬으면 좋겠다. 1에서는 진짜 동물종류도 엄청 많았는데 후속작이라고 나오는게 한편당 몇가지 동물들로 돌려막기..배우들과 CG가 아깝다.,1,0
61,카렌길런. 배꼽♥ 아쉬워서 더 적으면. 잭블랙 케빈하트 때문에 깨알. 웃음 터짐. 드웨인존슨 연기 늘었지만 여전히 쓸모없는 알통.  출연료 수백억은 몸무게대비근육값인가.  ,5,0
62,이 정도면.. 한국에서 이런 작품 나오기도 힘들지..   복에 겨워서 그려~,8,1
63,오락영화에 발암캐릭터들이 필요한가 모르겠네.. ,5,0
64,이전 내용이 생각이 안나서 연결이 잘 안되었지만. 볼만했어요. 이전꺼 보고 다시 봐야겠어요,10,1
65,할배들이 나와 갑자기 영화가 느려지면서 맥이 빠짐. 그나마 볼거리를 제공하던 네뷸라가 중반이후 옷을 껴입으면서 그것 마저 사라짐. 총체적 난국.,5,0
66,"뭐, 나쁘지는 않는데 단지 바로 전작에 기억이 없어져서 캐릭터 연결에 다소 혼란을 겪기는 했음. 원작이었던 보드게임용 쥬만지는 뇌리속에 박혀 있었다면 전자오락용 쥬만지는 그런 점에서 잊어지고 있는 것이 아쉽기는 하지만, 적절한 오락성 영화임에는 확실하다 생각됨.",8,1
67,마음 편하게 감상한 영화.,6,1
68,음... 쥬만지 시리즈가 계속 늘어지면 안되는데.,5,0
69,성인이 보기엔 유치한 감이~~~  가족영화로는 괜찮을듯...,6,1
70,"역시 가족오락영화로 손색이 없는 영화다. 특히나 어드벤처 게임 설정을 구현해낸 미장센이나 특수효과, 연출 등은 박수칠만 하다. 헌데 무난하다 못해 심심한 각본과 헐리웃을 망치는 다양성 캐릭터는 좀 지양해도 되지 않을까 싶은 마음. 암튼, 소소하게라도 웃으며 즐길 수 있는 영화.",6,1
