,document,score,label
0,진짜 과거의 나를 꼭 보는 기분이었어요 그래서 웃음도나고 제 과거와 영화가 겹쳐 보였어요 진짜 최고입니다 지금은 가정이 있고 애도 있어서 과거의 나같다고 가족한테 추천은 못하겠어요 ㅋㅋ 영화속 김래원 씨가 저랑 똑같아서 너무 놀램용 ㅋㅋ가장  현실 보통 우리네 현실판 영화 너무 재밌게 만들어 주셔서 감사합니다 공효진씨 사랑받는이유 이제 알거같아요 제일 사랑스러워요,10,1
1,연애의 상처를 씻지 못한 자들이 한 번 쯤은 꼭 봤으면 하는 영화 유쾌하면서도 여운이 남는 그런 영화,9,1
2,연기가 아니고 실제인거같은 기분인데 연기가 너무좋았네,10,1
3,재밌는데   아프다,8,1
4,완전 잼나요~,10,1
5,"정말 재밋게 본, 20대-30대라면 너무많이 공감될 로맨스코미디.",8,1
6,  딱 거기까지만 재밌는거야 그 다음부턴 노동같은 노력이 필요해  거기서부터가 진짜야,9,1
7,김래원(재훈)은 거의 알콜중독자 아니냐? ㅋㅋㅋ,5,0
8,술로 시작해서 술로 끝나는 영화.,3,0
9,공블리  ,8,1
10,굿,10,1
11,최근 넷플릭스에서 가장 재미있게 본영화,10,1
12,굿~~,10,1
13,자연스러운 연기가 포인트인 이 영화. 내용은 현실같은데 현실에는 김래원씨나 공효진씨같은 분들이 없어서 판타지인 영화 ㅋㅋㅋㅋ 이 영화속의 유머코드도 잘 맞고 너무 재밌게 잘 봤어요 ❤,10,1
14,굳.. 파스텔톤같은 깔끔한  영화,10,1
15,공효진은 다큐멘타리를 보는 듯한 자연스러움을 연기에 녹여내는 면에서는 최고의 배우.  김래원은 존재 자체가 밝은 에너지를 주는 배우라서 이런 로맨스에 정말 잘 어울림.,9,1
16,배우들만 아니면 빵점,2,0
17,즐겁다,8,1
18,"공효진 역할이 너무 좋고, 현실적인 로코물로 사람들에게 현실성 있게 다가간 영화이다. 항상 다 좋은 연애, 좋은 사람이랑만 만날수 없다는 이야기를 하는 부분이 인상깊다.",10,1
19,시간도 적당하고 재미씀,10,1
20,"좋은 영화에 감사...10여년 전 나의 30대로의 여행...많이 미숙했던 연애와 서툴러도 진심만 가득했던 그시절, 내 사랑에게 안부를...",10,1
21,꽤 좋은데요~~~ 영화~ 여성감독이라 역시 섬세^^ 추천,9,1
22,연애의 목적 리마스터  우린 왜 연애를 하는가?,8,1
23,재밌어요,10,1
24,너무 재밌게 봤어요.그리고 김래원씨 연기 반했어요♡,9,1
25,진짜 공감하면서 내 30대 독신시대가 그리워지는 영화였네,10,1
26,.,8,1
27,저는 재밌게 봤어요~공효진도...김래원도 좋아요~막판에 공효진이 뒷담화한 여직원들 디스하는 장면이 유쾌~통쾌~,10,1
28,.,0,0
29,조그 전 티비에서 하길래 봤는데 너무 재밌게 봤어요,10,1
30,기대 보다 훨씬 잼있네~~ ,7,1
31,김래원 공효진 둘다 좋다!!!,9,1
32,김래원 공효진이 원래 이렇게 매력적인 배우였던가... 깨닫게 되는 영화 제목처럼 가장 보통의 연애이기에 쉽게 공감할 수 있었던 영화.,8,1
33,그냥 저냥 볼만은 했어요 근데 맨날 술만 마시나 젊어서 체력들이 좋으시나 보다,7,1
34,두 주연 배우의 진가를 느낄 수 있다. 과음이 극을 이끄는 주요 소재라는 점이 누군가에게는 너무나 큰 단점일 수도 있을 듯. 19금 말장난은 혼자 보면 아주 즐겁다.,9,1
35,영화 음악이 연애의 목적이랑 너무 비슷해요...,5,0
36,너랑 세수 하고 싶어ㅋㅋㅋㅋ 간만에 재미난 로맨스 영화를 봤음 김래원 공효진 너무 잘어울림 ,10,1
37,이걸 이제야 봤네 ㅎㅎ 정말 가장 보통의 연애라는 제목이 훅 꽂힘,8,1
38,잼있네 김래원 멋있고 섹시  공효진은 누굴 옆에 놔둬도 조화롭다 ,10,1
39,연애의 목적이 많이 생각나는 영화였다 ost 도 그렇고 뭔가 스토리를 이어가는 부분이... 좀 더 맘에 들었던건 공효진 송별식 자리에서 사람들에게 한 방 먹이던 씬이 통쾌했다,8,1
40,저렇게 쿨하려면 머리 좋아야겠어 착하면 불가능,6,1
41,김래원 공효진 최고,10,1
42,진짜 잼나 래원 멋찌다 낸 왜 눈물이 나지 ,10,1
43,시종일관 즐겁네요,8,1
44,아 술땡겨...,8,1
45,너무 재미나게 봤어요. 김래원  매력쩔고 공효진 역시고요.ㅎ,10,1
46,넘 잼났다 영화관에서 볼걸 ,10,1
47,영화관에서 봐야하는건데  티비로봤지만 재밌었다 ,9,1
48,현실 그대로.... 수정인가?? 딴놈이랑 바람피고 떡까지 치고  어딜 기어 들어와서  ,9,1
49,매력적인 두 배우의 연기를 보는 것만으로도 만족스런 영화였어요  ,9,1
50,오. 진짜 기대 안 하고 봤는데. 기대 이상이었어요^^ 김래원 공효진 넘 귀엽고 사랑스럽고. 현실적이고. 중간 중간 깨알 개그요소가 있어서 더 사랑스러웠던 영화였어요. ^^ 잘 봤습니다~~~♥♥♥♥,9,1
51,누구나 한번 쯤은 경험 해봤던 이야기.강추.ㅋ,7,1
52,환상을 걷어낸 현실적인 연애이야기.. ,8,1
53,김래원귀엽닼ㅋㅋㅋㅋ 지극히 현실적이고  완벽한타인이랑 극한직업보다 훨씬 낫다. 그 2개는 영화관에서 보고 후회막급이었다. 완벽한타인은 예고편이 전부였고 극한직업은 조잡,7,1
54,공효진 역시 로코퀸 너무 매력적이에요 김래원과의 케미도 최고 연기가 리얼해서 간만에 재밌게 본 로코,10,1
55,잔잔하고 사실성 있고 재밌었어요.,8,1
56,연휴동안 두번 봤네요. 재밌었어요.  실제연애에 가까운듯  ㅋㅋ  주연들의 연기가 볼만함 ,8,1
57,연애의 목적이랑 비슷한 점이 있네요. 그때도 재미있었는데 이 영화도 넘 재밌게 봤어요 ^^,9,1
58,맞는지는 모르겠는데~ 아주 예전 '나의사랑나의신부'를 처음 봤을때 같은 풋풋함? 아닌가? ^^,10,1
59,재밌다. 평범한 듯하지만  질리지 않은 진행...,10,1
60,"이별은 참 슬프다. 더 이상 볼 수 없어서, 더 이상 사랑하지 않아서, 더 이상 함께 할 수 없어서, 이별의 마침표를 찍는다. 누구나 이별은 힘들고 익숙하지 않다. 모든 이별이 좋게 끝이나면 좋겠지만 그렇지 못한 경유가 많다. 누군가는 헤어지지 않겠다고 버티고, 누군가는 나랑 만날래? 아님 같이 죽을래? 협박하고, 또 다른 누군가는 헤어지면 너의 치부를 동네방네 떠들겠다고 협박을 한다. 쉽게말해 약점 잡고 끝까지 물고 늘어지겠다는 것이다. 몰래 사진이나 영상을 찍거나 여자의 치부를 들머거리면서 파멸할때까지 쫓아다니겠다는 것. 그것은 사랑이 아닌 폭력이다.",5,0
61,너무재밋게봣어요 인터넷으로보고 티비로 한번더 봣네요 실제연애영화로 추천ㅋ,9,1
62,공블리 연기 때문에 10점. ,10,1
63,너무 재밌어요~~~,10,1
64,김래원오빠 진짜짱이예요 엄청잼있어요 이번에 안방극장언제 나오나요?,10,1
65,공블리.. 김래원 믿고보는 배우들.. 재밌게  잘봤어요,8,1
66,웃으며 봤어요. 현실 자각 로맨스 타임.,10,1
67,"개봉한 지 얼마 안되고, VOD서비스 된지 얼마 안된 걸로 아는데 케이블에서 해서 보게 되었음. 평가를 할것도 없고 그냥 어느 정도 볼 만한 영화로 판단됨. 영화 제목처럼 가장 보통의...느낌과 가장 부합하다고나 할까?",7,1
68,난 괜찮은거같은데??너무억지스럽게웃길려는 로코보다 어느정도 현실성도 있고 재밌었는데,8,1
69,예고편만 그럴싸하고 실제는 허접 이렇게 내용 부실하기도 힘들다,1,0
70,볼만했음,9,1
71,로코가 잔잔한 웃음주면서  해피엔딩으로 끝나면 그만이지 재미만 있구먼,9,1
72,이걸 영화라고 진짜  돈이 아깝다,2,0
73,추석특집 영화용,6,1
74,김래원 어색. ,1,0
75,김래원 캐릭터 진짜 짜증남. 일단 회사에서 부하직원이라고 반말찍찍대는 인성부터 쓰레기임. 공효진 왜 똑부러지게 말 못하고 싫어하면서 질질 끌려다니냐 공짜영화라 티비로 보고 있는데 끝까지 봐야되나 진지하게 고민되네 회사 탕비실에서 전담피우는 씬도 있음 하아.. 미친거아니냐,1,0
76,뒷다마까는 재수없는 직원들한테 복수해주는 씬이 통쾌해서 8점 줌 ㅋㅋㅋㅋ 재미있게 본 영화. 정말 뭔가 평범한 연애이야기,8,1
77,이 영화를 돈주고 볼 필요가 있겠나 싶다. 돈 아깝다,2,0
78,예고편이 더 재미있었다.,6,1
79,술 한잔 안먹고도 술에 취한다^^;;; 중간중간 유머코드가 나랑 잘 맞아서  가볍게 쏘쏘!!!,10,1
80,맙소 똥같은 영화 ,1,0
81,뻔하고 드럽다. 이게 15세. ,1,0
82,유쾌상쾌통쾌로코판타지,10,1
83,왜  연예의 목적이 떠오를까?  닮은 구석이 없는 듯 하면서도 닮아있다. 흔하디 흔한 닭살돋는 로맨틱 코미디인 줄 알았는데  조금 다른 느낌. 좀 밋밋한게 흠이지만  사랑은 사랑으로 치유한다는  이야기.,8,1
84,"현실적! 마지막 심쿵 대사 보고싶었어,,,ㅜㅜ ",9,1
85,재밌고 이별에 대해 생각하게 된다,8,1
86,재밌당~,9,1
87,그나마 현실뿜뿜 포스터쌩뚱,9,1
88,보통이하의 영화!!,0,0
89,광고쪽이라서 개방적인듯 남녀 아무도 모른다만 어떤면은 현식적 어떤면은 말도 안되는듯~~ 근데 200만 봤네 동백이가 ... 으메,5,0
90,적당히 가볍고 적당히 취한 영화 술로 시작해서 술로 한방 먹이는 느낌 주인공 둘의 케미가 영화를 달달하게 만든다. 술 깨고 보면 좋은 영화,7,1
91,진짜 보통의 연애를 해보고싶다.,8,1
92,가장보통의 연애,10,1
93,so so한 듯 하지만 그것이 우리네 사는 보통의 연애일지도..,6,1
94,잠이안와서  좋ㅇㅏ하는 배우들이지만 스토리에 대한 기대는 안하고 봤는데 재밌네요. 보통의연애라 보긴 어려울수도 있지만 공감되는 내용도 많아요,9,1
95,흠..누가 재밌다고 해서 봤는데.. 이렇게 공감안되는 영화는 몇년사이에 진짜 처음이에요ㅠ 보통의 연애라고 하기엔 보통이 아닌 상황들 천지... 어디서 웃어야될지도 모르겠고 주인공남녀 모두 한심하고..그냥 그러네요 많이 실망했어요,1,0
96,오랜만에 연애 감정을 느꼈어요. 즐감했답니다. 동백이 공효진씨 왕팬 되기로 했어요. 팬싸인회 하시면 꼭 참석하고 싶습니다~~~!,8,1
97,상사라고 첫대면에 반말짝찍....ㅠㅠ  우리 회사에 ㅇ과장...이혼당했는데 남편이 집에 있는 것처럼 평소말함 남직원들 아무도 모름 0이사님 딸낳고 바람펴서 이혼 두번째 결혼후 아들 둘낳음. 다들 개인사  공사다망하지만 단톡으로 사적인 대화 전혀 안함.,4,0
98,이게 호불호가 강하네유~~~!! 난 잼나게 봣는데  30대중반에 헤이지고 2달동안 쉬지 않고 술마신것도 생각나고 ~~공감만잘가고만 ~~호불호 엄청 나네유 ㅎㅎㅎ,9,1
99,요즘은  이렇게  연애하나? 너무  1차원적이라  생각되지  않냐? 배우자를  너무  쉽고 가볍게  고르는거 같다 패널트킥  찬스에 쿨한척 함부로 똥볼 차지  마라,5,0
100,중간쯤까지 정말 참고보다 그냥 꺼버렸다. 더 심한말은 차마.. 안하고 싶다. ,0,0
101,재밌네~~~~,9,1
102,정말 어제 포인트 결제하고 봤는데.. 아.. 진짜 쓰레기네요 직장생활하면 다 저렇게 암투하고 욕하고 헐뜯고 하나요? 연애를 저딴식으로 하나요? 내 포인트 돌리도,0,0
103,그다지 과장되지 않은 과장된 보통연애.,7,1
104,로코는 잘 안봐서 몰랐는데 이번 계기로 자주 볼래요 김래원 공효진 믿고 본 영화 최고네요~♥,10,1
105,"20대 초반 실연의 상처를 술로 달랬떤 시절 35살 정도 나이를 먹으면  사랑에 대해 좀 알게되지 않을까 하는 생각을 했다.그러나 이 영화의 주인공처럼 사랑은 여전히 미스테리하고 헤어짐의 씁쓸함과 분노는 여전하다. ㅋ 이별 후에 만난 현실적 사랑, 직장 생활의 뒷담화의 웃음 포인트. 그리고 김래원, 공효진 등 주조연의 조합이 큰 기대 안하고 봤지만 소소한 재미를 줬다.",6,1
106,"연애를 해본 사람이라면 누구나, 자신 혹은 주변 누군가의 이야기로 공감될 만한 소재. 김래원과 공효진 조합은 화룡점정. ",8,1
107,간만에 재밌게 본 로맨스 영화 30대 취향저격인듯,10,1
108,소소하게 재밌음. 제목을 왜 이렇게 지었는지는 모르겠음. 솔직히 말해 제목대로 '가장 보통의 연애'는 아니고  '보통의 연애'도 이 정도는 아닐 것 같음.,7,1
109,존잼 ㅋㅋㅋ,10,1
110,매우 재밌음^^,10,1
111,김래원 실감나는 가끔찌질남 연기 짱,8,1
112,겁나 웃김~ ㅋㅋㅋ 김래원 짱!~ ㅋㅋ 공감 못하는 애덜은 음... 면상이 폭탄들이라... 아마도 연애를.. 흐흐흐흐...,10,1
113,시대의 연애상. 마음 아픈 남자들의  시대. 그냥 가볍게 가볍게 살아야 하나... 2019.12.10.,5,0
114,몇번을 봐도 잼나다,10,1
115,집에서 vod로 햄맥하면서 봤는데 재미있었다,10,1
116,남주인공은   술만 먹으면 도벽이 있고 여주는 술만먹으면 아무나한테 뽀뽀하고 자자고 하는 아주 이상한 영화.망하는데는 이유가 있음,1,0
117,넘 시시하네여  주제가  없는게 주젠가여 내돈 돌리도!! ㅜㅜ,2,0
118,이런것도 영화라니 공감 0%,0,0
119,현웃 터지고 재밌었는데 / 돌구신맨님은 마음에 여유가 없으신가봐요^^ 니 인생 무능한거나 신경쓰세요 부모님한테 좀 잘해드리고 ,10,1
120,재밌었어요 ,10,1
121,편안하게 재밌었어여~,10,1
122,정말 잼없어요.. 지루..,1,0
123,너무 재밌게 봤어요 ㅎㅎ,9,1
124,김래원하고 공효진 너무 웃겼음..극장에서 못봤던게 아쉬움..VOD로 잘봤습니다..그외에 조연분들도 코믹연기 너무 재밌게 봤네요 특히 강기영씨 팬입니다 앞으로도 화이팅 하시길...,9,1
125,가장 보통의 연애가 가장 어려운 연애 인것 같내요,8,1
126,잔잔함,10,1
127,김래원 너무 멋짐ㅠ  즐거운영화!!!!!!,10,1
128,아쉬움이 많네요~~~,7,1
129,SOSO 현실적이지만 현실적이지 않는...재밋게 잘봣어~,7,1
