,document,score,label
0,재밌네요~ 굳이 따져가며 보지않으면 그냥 스토리에 녹아듬. 웹툰에서 인기 있는 스토리인데 재미 없다는 사람들이 더 이상하네..,10,1
1,언제봐도 최만수는 개새끼 입니다!!!,9,1
2,김래원 진짜 좋은 배우다.,10,1
3,나쁘지 않아요.  앤딩이 좋음 ㅋㅋㅋ,8,1
4,참신하고 재밌네 왜 100만밖에 안봤을까 생각해보니 마켓팅이 잘못한거같아,8,1
5,유치한 조폭영화가 아니네.. 짜임새 있고 충분히 재밌다,8,1
6,재미있네요~~,9,1
7,잼나,10,1
8,잼있음~ 추천,9,1
9,딴건 몰라도 버스가 강물에 추락하기 전 상황 기가 막혔다. 스토리도 좋고 영화 재미있음~ 추천함,9,1
10,기대만해서 그런가 은근하게  재밌네여 ㅋㅋ,9,1
11,재밌는데 평점 와이러누,9,1
12,배우들 연기 다좋고 진짜 재밌네요. 요건 500만이상 갔어야 했는디... 아숩네요. ㅜㅜ,10,1
13,"정래원씨,전라도 사투리 정말 잘하시네요... 전라도에서 태어나신줄 알았는데 강원도 네요... 영화 재미있게 잘 봤습니다.",9,1
14,ㅎㅎㅎ잘 봤습니다,9,1
15,영화가 볼만합니다^^,10,1
16,만화가 원작인데 차라리 드라마로 제작했으면 좋았을껀데.만화는 참 재미있게 봤는데 영화는 아쉬운점이 너무 많아요,6,1
17,나쁘지 않은데 여 주인공이 뭔가 억지 스럽다고 할까요? 흐름이 자꾸 끊기고 그렇다고 연기가 좋으것도 아니고. 아쉽습니다.,7,1
18,무겁지만 가벼운 영화가 있고 가볍지만 무거운 영화도있다!,10,1
19,역시 김래원,9,1
20,배우 김래원 믿고보는 감동과 출연진의 합이 오랫동안 기억될 작품이네요 아 누적 관람수가 109만이라니 참 아쉽네요^^,10,1
21,범죄도시팀 모두 모였네 ~ 기대 않고 봤는데 엄청 재미난디 ,10,1
22,넷플릭스에 따끈하게 올라왔다. 김래원 연기가 좋았다. 잘 만든 영화인데 흥행은 저조했네. 아쉽. ,8,1
23,짠하고 웃게 만드는 영화,10,1
24,보고나면 기분이 좋아진다는 평 정말 기분 좋아요 ^^,8,1
25,배우들도 모두 좋고 보고나면 기분 좋아지는 영화였습니다!,10,1
26,기분 좋아지는 영화에요. 정말 김래원이 맡은 장세출같은 분이 정치하면 좋겠어요. ,10,1
27,집에서 방콕하며 VOD로 봤는데 시종일관 긴장하면서 봤습니다. 잼나네요.,9,1
28,꿀꿀이삼형제~~~ㅋ  저런 병신이 어찌 국회의원을 두번씩 해쓰까잉,8,1
29,역시 믿고보는 배우 김래원,10,1
30,김래원 연기 잘한다~ 허우대도 좋구~,10,1
31,재밌게잘봤어요 배우분들 연기도 좋았고 앤딩도 재미있었습니다.,9,1
32,아까운 영화 감동적인 장면마다 조금만 더 디테일을 살렸더라면 만화 못지않게 감동이 있었을 텐데. 하지만 그래도 꽤 수작이다.,9,1
33,지금 보는데 재밌네,9,1
34,생각보다  재미,10,1
35,원진아 배우 이쁘다는걸 느낌  앞으로 기대할께요,10,1
36,처음에는 별로였으나 볼매였네 원진아...그냥 뭐 그런대로 괜찮았다...그런데 세출이가 후보가 될 줄은 몰 랐다....그래서 이름이 세출이었군...그 다음은 뭐 뻔하지...우여곡절 끝에 당선되는 거...조선영화의 전통적 골격을 보여준다...그나마 선규의 연기가 양념을 제대로 쳐주었기에..아주 재미없지는 않았디...래원이는  역시 좀 건달로 나올때 포스가 나오는 것 같고..선규는 범죄도시 이후에...거의 뭐 쌩양아치나 폭력배로  이미지가 굳어지는게 아닐까 싶다..암턴....솔직히 이게 어떻게 10점 짜리더냐......,7,1
37,재미있게 봤던 만화를 진짜 재미없게 만들었네,1,0
38,2000년대 감성에 머물러 있는 20프로 이상의 한국 영화.,3,0
39,너무 평점이 높은 듯 합니다.,7,1
40,재밌다,10,1
41,.,7,1
42,엔딩 장면에서  노래 하는 모습들  넘  유쾌하고 영화도 잼났어요,10,1
43,별로,5,0
44,가벼운 긴장감과 웃음 각 캐릭터들 감살하는 재미 그리고 원진아의 재발견,8,1
45,전라도 배우들이 들러리구마잉,7,1
46,잘봤어요 ,10,1
47,2편은요?,10,1
48,"전혀 기대 안했는데, 나름 재밋게 봄 ㅋㅋㅋ 스토브리브 출연진들이 총출동해서 반가웠고, 다른 출연진들 연기도 좋았음",8,1
49,그냥 심심풀이로 보기 괜찮은 정도? 여자 변호사가 다른 배우였으면 몰입이 잘 됐을지도 모르겠네요.  범죄도시 만든 감독이 만든 거라고는 조금 믿기지 않는 영화지만.,6,1
50,.,1,0
51,내용이 너무 약하고 여자변호사는 진짜 미스 캐스팅~!!굳이 여자배우를 캐스팅 했어야 했는지~와 닿는게 하나도 없었다~특히 그것도 연기라고 하는건지...그 외 다른 배우들은 연기 다좋음~그리고 대사가 전부 욕이야~내용도 약하고 짜임새도 없고 대사도 없고....,6,1
52,재밌게 봤습니다!,10,1
53,그런대로...,9,1
54,재밌고 코믹하고 감동적이고 ,10,1
55,현실적이진 않지만 연기자들 연기는 재밌었는데.... 암튼 난 좋았음  막판 노래보다 빵 터졌음,8,1
56,개인적으로 나름 잼있게 봤어요!!!,10,1
57,김래원  워낙  연기 잘해서  잘봤음!!!   멋찜폭발!!!,10,1
58,김래원 영화는 감동이 있네…,9,1
59,김래원 연기짱! 영화 좋네요.,10,1
