,document,score,label
0,.,8,1
1,잘만든 영화에요. 한편의 멋진 뮤지컬을 본것 같네요,9,1
2,외면만 보고 좋아하는게 아니고 내면이 제일 중요시 하는게 느낀다 ㅜㅜ,10,1
3,겨울에 어울리는 사랑 이야기~♡ 힐링하고 갑니다 평점에 너무 놀람;;,10,1
4,Good,10,1
5,헐ㅋㅋ엠마왓슨이라니ㅋㅋ완전 기대됩니다 ㅋㅋ 미녀와야수 빨리 개봉하면 좋겠네용,10,1
6,엠마 언니 영화 기대할게요~!!,10,1
7,미녀와 야수 실사판이니 재미있을것 같은 느낌,10,1
8,"첫인상은 생각보다 강렬하고 오랜기간 영향을 미친다. 흔히 3초 만에 첫인상이 결정된다는데, 이렇게 속전속결로 결정된 첫인상은 쉽게 바뀌지 않는다. 첫인상이 좋다는 이유만으로 쉽게 친해지는 경우도 있고, 반대로 첫인상이 좋지 않았다는 이유로 상대와 교류를 차단하기도 한다. 상황이 이렇다보니 소개팅에서든, 면접에서든 좋은 인상을 남기고 싶다. 그래서 남에게 보이는 첫인상에 신경을 많이 쓰게 된다. 하지만 아이러니하게도 나의 첫인상을 스스로 알 수 없다.",5,0
9,몇번을봐도 판타스틱,10,1
10,난 재밌게 봤는데 평점이 왜그러나 연기력때문에 말이많네 더빙판 봐서 그런가 연기력이 문제되진 않던데 성우가 넘 잘해서 ㅎㅎ  엠마왓슨 식사할때 그래픽 보고 감탄함 진짜 애니메이션느낌나서,8,1
11,스토리는 원작을 따랐으니 문제가 없는데 엠마왓슨이 벨 캐릭터에 안어울림 어렸을때부터 디즈니 애니메이션으로 많이 봐서아는데 원래 벨은 선하고 천진난만하면서도 여성스러워야 하는데 엠마왓슨은 눈매가 뭔가 어둡고 표정도 다양하지 못하고 계속 같은 표정이고 외모적으로 비율도 미성숙한 어린애 같음,1,0
12,미녀와 골동품들,5,0
13,악당이.이렇게 멋지다니 . . ,10,1
14,볼거리는 풍족하지만 ‘엠마왓슨’과 ‘벨’의 싱크로율은 글쎄,6,1
15,Well made movie and captured every minute and second while watching this film! ♥,9,1
16,옛날 그대로 리메이크 실사판으로 정말 깔끔하고 잘만듬.,9,1
17,나름대로 잘 해석한 영화  다만 디즈니 특유의 느낌이 불쾌하다,7,1
18,아직 안봤는데 너무 아름다운영화인것 같아서 미리 10점 드립니다!!!,10,1
19,완성도높은영화,10,1
20,엠마왓슨 벨 캐릭터 소화를 잘 못함... 연기 원래 이렇게 못하는 배우였나 ,1,0
21,야수치고는 꽤나 잘생겻음..여자들 좋아할 야수임.ㅎ,9,1
22,너무 재밌게 잘봤어요~~,10,1
23,엠마왓슨 이쁘다,10,1
24,넘 예뻐요 영화가,8,1
25,구식의 디즈니 스타일,0,0
26,너무 스탠다드했음...뻔하더라,6,1
27,미녀와 야수는 사랑입니다 ,9,1
28,❤️,10,1
29,Good,10,1
30,젠틀하고 매력있는 촛대에게 맘이 뺏겼는데 마지막 이완 맥그리거인거 보고 완전 심쿵,9,1
31,에니랑 다른 감동이 있네요~ ^^,9,1
32,엠마왓슨 연기 어쩔...과장된 표정 연기 보는 내내 거슬림 엠마스톤이랑 너무 비교된다 ㅠㅠ,1,0
33,좋아요,9,1
34,"한번보고 두번봐도 엠마왓슨이 벨이랑 안어울림, 야수역도 안어울리는 느낌",7,1
35,매우 좋은 영화,10,1
36,넘 재밌고 영상이 넘 아름다워요.,10,1
37,에니메이션에 비한다면,1,0
38,미안하지만 엠마왓슨 연기에 몰입이 되지 않고 어울리지 않은 옷을 입은 느낌.,5,0
39,이런 영화를 이제 보나디..넘 감동있고 재밌어요. ,10,1
40,주인공 둘 사이에 케미가 없음.. 엠마 왓슨보는데 엠마 스톤이었으면 더 생기발랄하지 않았을까 생각.,5,0
41,호우 재밌음,10,1
42,영화가 전체적으로 넘 예쁘고 엠마 왓슨의 연기력이 돋보이는 영화입니다~~!!,10,1
43,재밌음,10,1
44,연말이면 보고싶어지는 미녀와 야수. 실사판 별로 기대하지 않았는데 너무 좋네요.  재개봉하면 극장가서 보고싶어요. ,10,1
45,"스톡홀름 증후군이라는 비난을 받은 원작을 보완할 에피소드를 많이 넣었으며 캐릭터의 성격을 형성하게 된 에피소드도 추가하여 개연성을 부여하고 있습니다. 벨이 단지 책만 좋아하는 딸이 아닌 아버지의 오르골 조립 일도 보조하는 공학적 소양을 갖춘 능동적 STEM 인재임을 보여주고 있습니다. 여자를 밝히고 갈아치우던 왕자가 야수가 된 경위도, 가스통이 제대 후 전쟁터를 그리워하는 일종의 후유증으로 성격이 공격적이고 개차반이 된 것도 말입니다.  엠마 왓슨의 연기는 대체 불가능한 벨의 모습을 보여줍니다. 빵빵한 조연들의 멋진 연기도 좋습니다. 컴퓨터 그래픽의 발전과 정점에 다다른 뮤지컬 연출은 벨의 마을 장면, 벨과 야수의 무도회 장면, 가스통의 술집 장면, 마지막 전투 장면 등에서 눈을 뗄 수 없게 만듭니다. ",7,1
46,"애니보다 재밌네, 헤르미온느도 이쁘게 잘컸고. 개봉당시 극장서 볼걸 그랬구만 아쉽다.",8,1
47,개봉시 영화관에서 관람하고 오랫만에 다시 봤지만 여전히 좋은 기분이다. 어른아이인 내겐 감성을 건드 리는 행복감과 즐거움을 선사한다.  엠마왓슨은 사랑이다. 특히 웃을때가 가장 매력적이고 예쁘다. 해리포터부터 역주행으로 그녀의 영화를 다 보면서 너무 예쁘게 잘 커가는 성장의 시간이 즐겁다.,9,1
48,유치할줄 알았는데 전혀 그렇지않았다.  스토리도 탄탄하고 색채도 예뻤다,6,1
49,여주님 너무 예뻐요.. 전체적으로 영상 분위기도 예쁘고.. 의상도 열심히 준비한 느낌이 물씬..,9,1
50,댄 스티븐스.....,10,1
51,영화연출이나 그래픽 음악 대체로 좋았으나 엠마왓슨의 연기가 넘 아쉽 ㅠ 특히 야수붙잡고 오열하는 장면....로봇이 연기하는 느낌..,6,1
52,애니보다 더 좋네요 ost도 훌륭합니다 21세기 명작 뮤지컬의 반열에 올립니다,10,1
53,엠마와썹 평맛연기!! 병맛감독이 만들면 명작도 병맛이 된다는 깨우침의 영화,1,0
54,재밌고 감동적이다,7,1
55,디즈니 만화에비해 먼가부족해..,7,1
56,저는 실망 벨이 나와 서점 가며 노래 부르던 씬은 발랄하고 사랑스러운 벨을 한개도 느낄수 없었음 몰입감 없는 뮤지컬 씬 사랑 감정 일도 전달해 주지 못하고 야수 등치 따라 가느라 쫑쫑 거리던 댄스 씬 마음 아픔,1,0
57,너무 감동적이었어요~ 엠마왓슨이랑 연기도 좋고 노래도 좋은데 왜 이렇게 사람들이 까다로운지 모르겠네요. 재밌게봤습니다,10,1
58,그래픽이 좋아요,8,1
59,그냥 전체적으로 2% 부족했다. 다만 이완 맥그리거의 루미에르는 원작 싱크로 100%였다..,5,0
60,아름답다. 언제봐도 명작은  감동을 준다. 크리스마스 기분이 드는 영화.,10,1
61,엠마왓슨 연기 부족.. 노래도 부족.. 마지막 왕자 임팩트도 부족..   이 영화 덕에 다시 애니메이션 보러감 ㅠ,4,0
62,최고,10,1
63,감동적입니다.,10,1
64,85/1,9,1
65,제일 중요한 음악이 왜 빠졌나요ㅠㅠ.. 배우도그렇고 감독도 애니메이션을 좀 더 디테일하게 봤음 좋았을텐데...... ,3,0
66,.,10,1
67,휴...~ 엠마 왓슨. .. 제 점수는요...,4,0
68,애니를 그냥 기술이 발전으로 cg기술이 발전한것 뿐이 모르겠다 특히 엠마왓슨의 노래실력이나 표정은 참담하다 해리포터의 후광일뿐 연기는 더 배워야할듯 싶다 아역출신이지만 나탈리 포트만과 너무 비교된다,5,0
69,실사화하여도 애니메이션 미녀와 야수에서 받았던 감동만큼은 못 미치더라. 오히려 계속 애니메이션 장면이 떠올라서는 그리워졌다.   ,7,1
70,기대이상. 눈물 많이 났습니다. 볼만했어요!,8,1
71,울었음,10,1
72,가장 애니메이션을 잘 표현했다는 생각입니다. 스토리를 알고 봐도 동화속 이야기 같은 아름다움을 받은것 같습니다.,10,1
73,미녀와 야수에 대한 새로운 해석/ ,7,1
74,영화 자체는 즐겁게 봤는데..딱히 할말은 없다. 만화 원작다웠다 정도?,6,1
75,ㅎㅎㅎㅎ,10,1
76,영화관에서 두번봤다. 처음봤을때는 내내 졸았다. 근데 어쩌다보니 두번을 보게 되었는데 뜻밖에(?) 재밌었다.,8,1
77,애니에서 봐서 익숙한 ost와 장면들을 실사와 CG로 잘 표현했다.,7,1
78,.,8,1
79,감동적임,8,1
80,화면이 예뻐서 의외로 지루하지 않았음. 스토리는 뭐...,6,1
81,할리우드 애니같은말 그대로의 느낌,7,1
82,한 편의 이솝우화  잘생긴 사람은 어디서나 대우받음,6,1
83,애니와 코드 하나까지 똑같다면 그냥 애니만 봐도 충분했는데.. ,6,1
84,.,7,1
85,하고싶어요제발보내드립니다!,10,1
86,애니메이션 장면들이 생각나 몰입을 방해하지만.... CG가 가미된 멋진 실사 영화로 재탄생!,8,1
87,엄청 재밌게 본 영화,10,1
88,옛날 추억이 새록새록 생각나게 해주는 좋은 영화!,10,1
89,"나의 소임, 신념, 사랑, 명예, 희열, 양심, 연민, 진실과 진심. 감정의 희노애락 속에서 2시간 동안 충만하게 파묻혔다. 행복한 영화야.",8,1
90,1991년작 미녀와 야수를 충실히 재현하면서도 91년작에 없던 양념도 새롭게 쳐서 재탄생한 2017년작 미녀와 야수.,8,1
91,"더이상 말이 필요없다!!!!! 그 아름다운 명작인 미녀와야수를 실사영화로 만든것도 최고인데, 거기다가 벨 역활이 나의 영원한 헤르미온느 여신 우리 엠마 왓슨 인데 도저히 그 감동을 어찌 표현하리요!!!!! ",10,1
92,재미없는거도 아니고 억수로 재밌는것도 아니고 그저 그랬슴,5,0
