,document,score,label
0,재미도 있고 시의성도 있는데 평점이 왜 이렇게 된거죠...,10,1
1,나는 재미있었는데 #살아있다 이딴 영화에나 2점을 줘야지 ㅋㅋㅋ 사람들 보는 눈이 참 어이가,7,1
2,훌륭해.. 개연성 있는 스토리..,10,1
3,단종죽이고 권력차지한 세조를보니  박정희와 전두환이 연상된 영화  재미도주고 시사하는바가 큰 잘만든영화 한명희귀 어설픈게 함정 김슬기는 딱맞는 케릭터라 몰입 잘됐음 앞으로 더 많이 보고싶은 여배우,9,1
4,이 정도면 신과 함께 보다는 낫다.,10,1
5,요즘 몇달때 극장1도 못가보고 애껴둿던 영화 애껴놓길 잘햇네  애껴둿던 영화라선지 더 꾸르잼 (20.5.14 집),9,1
6,재미있게 보았다!오늘날 시대를 반영하는 것 같다  내 생각에는 150~200만 정도는 나올 수있는 영화였을꺼같은데 내용이  비판적인 부분이 있어 홍보가 잘 안된듯 싶은 생각이든다! 재미있게 잘봤다!,8,1
7,영화 '극한직업'과 큰 차이 없는데 평점이나 관객수는 왜 차이가 나는지 의아하네요. 코믹요소도 있고 기발하기도 하고 전반적으로 아주 좋습니다,10,1
8,영화  아깝네. 개봉한지도  몰랐네.  참 재밌네 오~~~,9,1
9,재미있네요~배우들 연기도   훌륭하네요 ~,10,1
10,별로 기대하지 않고 봤는데 생각보다 재미있게 봤음~~^^,8,1
11,재밌어요 ㅋㅋㅋ   다들   연기 너무 잘해,10,1
12,세조와 한명회를 너무 가볍게 다뤄서 망했구나.,7,1
13,영화소개채널보고 시청했는데 스토리 좋아요,10,1
14,가짜 뉴스는 이리하여 탄생하였다 ... 날선비판 보다는 순박한 아이디어로 이끌어가는게 조금아쉽다 배우들 연기야 모~~ 최고~,7,1
15,완전재밌게봄.ㅎㅎㅎㅎ 광해 관상 보다도 난 재밌게봄!!!!,10,1
16,현 언론들의 조작가짜기사와 좌우기득권 적폐들에 대해 잘 비유,8,1
17,"내용좋고, 재미도 있고!  평점이 왜 낮은지 이유를 모르겠네...흠...",10,1
18,명작이군!,10,1
19,코로나만 아니었으면 대흥행 했을텐데 안타깝다,10,1
20,"상원사 고양이,  오대천 문수보살, 종로 원각사 증축 모두 세조 띄우기 관련된 설화들을 엮은거구만 ㅋㅋ 이 코드를 알고 보면 꿀잼",10,1
21,역사를 너무 기발하고 참신하게 각색하여 만든 훌륭한 영화  코로나19만 아니었어도... 흥행에 있었어도 너무 아까운 영화  시간 가는 줄 모르고 재미있게 볼 때마다 이런 영화 만들어주셔서 감사한 마음 듭니다.,10,1
22,영화 좋은데 보면서 찔리는 사람들있나?? 일부러 0점주고 가는 사람들이 이 영화는 희한하게 많네...언론 조작해서 나라 민심을 호도하는 세력들이 지금도 역시 존재하네!!,10,1
23,손현주배우 묵직함이 몰입도를 높혀주네요,10,1
24,지금 ocn에 나오는데 존잼일듯... 드라마로 만들어주세요  ㅠ,10,1
25,온가족이 함께 보면 좋은 영화입니다,10,1
26,시사하는바가 크네,9,1
27,"역사는 사실에 기반하여야 한다. 이 영화를 보면서, 얼마나 많은 역사를 기득권자들이 조작하고 은폐하는지 알 수 있을 것같다. 지금도 권력을 가진 자 들은 더욱 그 권력을 쟁취하랴 하는데...",7,1
28,부정부패끊자---⟩이 빙시니는 왜 여기서 정치적인 헛소리 지꺼리지..니가 지꺼리는 소리가 딱 자유일베당이 하는짖이다~,8,1
29,잘 보고 있었는데 막판에 왕 목을 조르질 않나 보살에 귀신에 갑자기 총출동하는게...잡탕이 되버리네,2,0
30,세월호 사건때  각종 기레기 언론들이 정권 찬양하던 상황이 오버랩 되네.... 더불어 독재자 명박산성도 추억돋고....,6,1
31,역사적 사실을 바탕으로 잘 만든 영화  막판 코믹코드만 빼면,7,1
32,이 영화 재밌다고 하시는분들 진심인가요? 진지하게 물어봅니다 전 지인의 추천으로 봤는데 도중에 꺼버렸습니다  전 진짜 못보겠어요  클레멘타인이나 성냥팔이소녀 이 급인데 평점 10점 주는 분들 장난으로 하는거죠? 맞죠?,1,0
33,손현주님 사극도 참 잘하시네요,10,1
34,와 그럴싸하다 ㅋㅋㅋ 상상력 기발. 쇼하는 기술이 너무 현대적이라는 게 흠.,9,1
35,과유불급 너무 많은걸 표현 하려다보니  이것도 저것도 아닌 작품이 된듯..........,5,0
36,평점이 안좋다는 소리만 듣고 별로인가 싶었는데 상당히 재미있는 구성으로 잘만들었네요. 영화 소개 프로그램에서 알려주지 않은 부분들도 흥미로웠습니다. 코믹과 진지함 사이였다는 건 조금 아쉽긴 하네요.,8,1
37,이영화 비추다,3,0
38,진지한 주제인데 코미디도 아니고 뭐도 아니고 ㅉㅉ,5,0
39,광대들  :  풍문조작단,9,1
40,완전 재미있어요 평점 이상하네,10,1
41,"몇가지 말이안되는 장면빼고는(공신들이 세조한테 대드는장면ㅋ),재미나던데~!!^^",8,1
42,씨리스물로 기대됩니다~ ^^ 숨은띵작 👍👍👏👏🙊🙊,10,1
43,후반에 좀 재미가 떨어지긴 했지만 나쁘진 않았음~,7,1
44,잼나네,7,1
45,재밌었음,9,1
46,"연출도 연출이지만, 배우들 참... 지겹지도 않나 신물 난다. 틀에 박힌 역활에 틀에 박힌 연기. 특히 덕호 역. 그냥 실망. 호기심 생기는 소재였는데 아쉽.",4,0
47,제목 때문에 관객수  절반 됀듯,6,1
48,잘 만들었구만……,8,1
49,오대산 상원사 다시 가봐야겠다..,3,0
50,"현대적 프로파간다에 대한 풍장, 온고이지신",7,1
51,꼭 보세요 재밋고  눈물이  ㅋㅋ,8,1
52,"생각보다 재밌고 지금 시대를 잘 풍자한 영화인듯,,,",9,1
53,설정은 과하지만 풍자적 요소는 날카롭다,6,1
54,기대감 없이 보기 시작해서 그런지 몰라도 잘 봤습니다. 엔딩 장면이 너무 강합니다.,10,1
55,재미없네요....,2,0
56,...,4,0
57,웃어야 되나?? 울어야 되나??? 스토리는 빈약하고 웃음은 억지고,3,0
58,충분히 잘만들었는데 평가가 박하네,9,1
59,역사에 남을만한 영화다. 이런 명화가 흥행치 못하는  것은 국민의 역사의식과 미래가 없기때문이다. 명작이다,10,1
