,document,score,label
0,아기자기 귀여운 영화  잼밌게 봤음  착한 휴머니즘 좋아,10,1
1,앞으로도 이런영화가 계속나와줘야됨.  한국영화가 코미디영화가 잘나오는편도아니고 소재의 다양성도 부족하다고 생각합니다. ,9,1
2,옛날에 유럽인들이 아프리카인들을 잡아다가 돈받고 전시한적이 있었다. 그거랑 사람들이 동물들 잡아다가 동물원에 가둬놓고 장사하는거랑 뭐가 다른가?  21세기에도 이런영화가 나오네.... 아이템 좋은데?,3,0
3,"그냥, 가볍게 보기도 좋고. 죽지 않기 위해 몸부림치는 요즘 서민 삶도 좀 있고.  ""잡초처럼 자란 놈이라 파이팅 있을거야. 귀하게 자란 애들은 이거 못 해"". 로펌 대표 대사.. 휘둘리고, 이용당하고, 아둥바둥하고. 하지만, 내 삶은 내가 채우는게지..",9,1
4,"난 재미있던데,,,",8,1
5,별 기대안하고 애들이랑 봤는데 중간중간 계속 하하 웃으면서 봤습니다. 애들이랑 볼만한 영화에요 강추합니다.,10,1
6,제밌어요!!,10,1
7,뭐 생각해보면 이게 무슨??  싶지만 나름 생각도 하게 되고 좋았네요 뜬금없이 끝나서 좀 그랬지만 괜찮았어요 평점이 너무 낮아서 좀더 주고 가요ㅎㅎ,10,1
8,괜찮은 영화인데. 누가 평점 테러한것같다. 평점 6.6은 절대아니다.그 이상이다,10,1
9,좋은 사람들을 위한 영화. 근데 까망코 씨지는 너무 티나서   1점 뺌..,9,1
10,자연이 아닌 시멘트 바닥에서 갇혀 지내야 하는 수많은 동물들에 대해 다시 한번 생각해보게 되는 유익한 영화였어요. 배우분들도 정말 고생하신 것 같고요!,10,1
11,동물원은 없어져야한다. 동물원 동물들은 너무나 고통스럽게 살다간다고한다. 인간도 더 상위종족이 나타나면 동물원에 전시될수도 있다. 이런 주제 자체를 칭찬하고싶다. ,10,1
12," 생각보다 영화가 내용면이나.. 대사나 연기나.. 사회적 쟁점이나??..    괜찮고 좋네요.. 평점이 근데 좀 생각보다 낮네...    영화관가서 볼껄 ~ 하는 후회가 .. 밀려오네요 ㅎㅎㅎ... 얼마전에 개봉한 ""카센타""도..    정말 재밋게 잘 봤는데.. 참 아쉽네요,.. 영화관에서 당시에 몰라서..ㅜ.ㅜ...  ",10,1
13,캐스팅 연출 내용 진짜 좋아하는 스타일인데 손익분기점 100만 이하로  했으면 얼마나 좋았을까?,8,1
14,정말재밋던데,10,1
15,이영화 비추다,3,0
16,원작대로 만들지.....,1,0
17,웹툰 10뭔치만 따라해주지 설정 하는데 너무길게 만든 내용 없음 엄청 좋아하는 웹툰이었는디 아꿉다 돈도 배우들의 열정도,1,0
18,"처음에는 웃긴 내용을 기대하고 봤는데 뒤에 보니 생각보다 묵직한 것이 숨겨져 있었네. 근데, 영화가 허구이긴 해도 너무 있을 수 없는 이야기를 해서 몰입이 덜 됐다. 차라리, 코미디로 생각했다면 거기에 치중하는 것이 나았을 텐데 하는 아쉬움은 들었다. 큰 인상 찌뿌리지 않고 볼 수 있는 그런 류의 영화다.",7,1
19,아주 잼있게 봤어요.. 예고만 재미있다고 하더니 아니네요... 결말까지 다 좋아요,8,1
20,재밌어요 보고나서 웃음이 계속 나더라고요. 재밌어서이기도 하고 기분도 좋아서이기도 하고!,10,1
21,정말 꿀잼,10,1
22,영화가 재밌으면 되지 뭘 더 바래요. 배우들도 던부 호감가는 배우들에 연기도 잘하고...전 만점 드립니다.,10,1
23,너무 재밌게 봤어요 엄청 웃었네요,10,1
24,기대를 안해서 그런가 재미있게 봤어요.,10,1
25,짜임새 있게 유치하지 않게 잘 봤음.,8,1
26,웃음을 참을수 없는영화 근데 후반부가 좀 딸림  마치 가속력 좋은 스포츠카인데 한참 달리다 보면 느려져서 실망시키는 자동차 라고 말하고 싶다  하지만 재미있음 8점 줌 ,8,1
27,정말 웃겨서 ~ 모두 좋아하는 배우들~,10,1
28,저는 기생충 같이 '노골적 불편함' 보다는 재밌던데요.,10,1
29,가족과 함께 보기 딱맞는  영화 소소한 유머도 있고 괜찬았습니다,8,1
30,넘 재밌게 봤는데 평점이 너무 낮은게 안타까워 10점 드립니다. 오랜만에 극장에서 행복한 기분으로 나왔네요 현실성은 없지만  진짜 웃기고  땨뜻한 영화입니다. 강추!,10,1
31,유치하지 않게 메세지를 잘 풀어냈는데 생각보다 평점이 낮네요? 내 취향 영화,9,1
32,헐리우드도 실제 북극곰과 싸울 수 있는 것도 아니고...CG로 하던데 다 티 나더라....그래도 영화자체가  코메디라 그냥 넘어가 줄만 하다. 코메디 장면은 아니었지만....탈 쓴거는 티 안나디? ㅋㅋ 암튼 꽤 웃긴 장면은 있었다만 그런게 많이 터져야 흥행이 됐을텐데 좀 아쉬운 영화...그래도 나름대로 주제의식도  있어서 영화라는 구색은 갖추었다....코메디 영화가 대부분 쓰레기인데 반해서 말이다.....,7,1
33,"동물원에서 동물본지  오래 됬는데... 영화로 재미있게 잘 봤어요~~^^ 놀이동산에서도 동물 탈 봐도 좋아하는데 ""너무 재미있게 잘 봤어요~~~^^  """,10,1
