,document,score,label
0,"말이필요없습니다...그리고 이 영화는 역사적 사실을 기반으로한 실화를 기반으로한 영화입니다, 이를 마음대로 오로지 영화의 흥행을위해서 내용을 바꾸는건 말도안되고 절대 일어나서는 안될일입니다.. 우리나라 군인이 아니라고, 미국이 미국을지킨건데 우리랑 무슨상관이냐고 할수도있지만 그런분들에게 반대로 물어보고싶습니다..과연 미드웨이해전이 승리하지않았다면 우리나라는 과연 대한민국이란 나라일수 있었을까요?, 설사 패전했다고 쳐도!, 대한민국을 지키거나 독립했더라도 지금과같은 성장을 이루어낼수 있었을까요?, 영화의 평가를하는건 좋지만 적어도 그전에  단 한번이라도 나라를위해 목숨을바친분들에게 감사한마음.. 그하나만큼은 가지고 이야기했으면 좋겠습니다... . . 역사를 잊은 민족에게는 미래란 없습니다",10,1
1,"당시 일본해군이 ‘무적’이라고 할만큼 그렇게 엄청난 규모와 화력도 아니었고, 미해군은 ‘절대적 열세’일만큼 일방적으로 작고 약하지도 않았다.  오히려 연합군이 더 컸지만 배치가 분산돼있고 수리중인 군함들때문에 ‘상대적으로 약간 불리’한 정도였을뿐이고 어차피 함재기 활약에 달렸었다.  근데 분위기를 일본전단은 과대하게 부풀리고 미해군력은 더더욱 약하게 축소시켜놨다.  그래야 골리앗에 맞서 이긴 다윗의 용맹한 투지와 영웅적 면모를 더 부각시킬수 있을테니까 말이다. 그 ‘영웅 집착증’ 때문에 일본이 멋진 군으로 미화되어진 느낌까지 난다.  쓸데없는 장면과 대화들까지 많아서 전개는 대충 축약된체 돌아가는 전체상황에대한 이해도와 긴박감은 떨어지고, 전투장면은 너무 게임보는것 같다. 고전명작은 그냥 리메이크 하지마라",6,1
2,"일본놈 죽이는 영화라 평점은 유지하겠지만,  롤랜드 에머리히 특유의 있는척, 멋있는 척 하다가 흐지부지 끝내는 건 여전했다... 이런 영화에 통쾌함과 감동이 없게 만드는 그 연출 능력만큼은 변함이 없었다.",7,1
3,"전쟁영화를 좋아하는 입장에서 진중하게 역사적 사실을 알리고 싶은건지, 주인공들의 서사를 극대화하여 캐릭터를 부각시키려한건지, 그냥 마이클베이스럽게 볼거리로 승부하려고 한건지 알수가없음. 정신없이 사건을 나열하며 등장인물들을 영웅화시키면서 이거저거 다 때려부쉬는 영화긴한데 줄거리와 캐릭터 그리고 사건들이 서로 연결고리가 부족하여 따로 노는 느낌임. ",7,1
4,기대를 너무하고봤나 생각보다 너무 영화가 시시했다. 차라리 이걸보느니 진주만을 보는게 훨 나을것이다.,5,0
5,전쟁씬이 볼게 많음. 전쟁영화로 볼만함.,8,1
6,전투신 빼면 볼게 없음.  스토리 전개도 연기도 아쉬움,1,0
7,뭔가 조급하게 만든 것 같다. 디테일도 너무 떨어지고...,7,1
8,"2차세계대전 관련된 전쟁영화는 대부분 재밌음... 인류 역사상 가장 많은 수천만명의 희생을 난 전쟁이지만...  공중에 뿜어되는 화력은 압권이네... 일본은 저리 당했으면서도, 지금도 전쟁국가로 회귀해 전쟁을 하고 싶어 하는듯...",9,1
9,전투씬은 좋지만 메인스토리나 전술부분이 좀 약해서 아쉬웠어요..... 그리고 너무 미국찬양영화..,7,1
