,document,score,label
0,북한 영토에서 한국군과 미국군이 작전을 편다는게 개연성이 없다는 이유를 들며 0점 준 사람도 있네ㅋ 그럼 뉴욕 시내에서 헐크와 아이언맨이 싸우는 건 개연성이 있더냐?ㅋㅋㅋ,8,1
1,미군의 정체성을 그나마   말해주려 노력했던 영화... 그동안  방송에서 추석날에도  볼수없었던 이유가 바로 이거다,10,1
2,한반도에 백두산 폭발이라는 큰재난이 생겨서 한국은 나름 자주적으로 백두산 폭발을 막으려는 작전을 수행한다. 미군은 한국을 떠나고 한반도 전체 막대한 피해를 입더라도 북한을 손대지 않고 무력화 시킬 수 있는 백두산 폭발을 좋은 기회로 생각한다  그리고 미군은 백두산 폭발을 막으려는 한국의 작전팀을 공격함으로 작전을 막는다. 결국 한국은 미국과 중국 강대국 사이에 끼어 자기들의 재난도 자의로 막을수 없는 상황에서 한국 작전팀장의 핵폭탄 기폭장치를 작동시켜 버린다.  한반도의 현실을 백두산 폭발이라는 재난 상황에서 보여주려는 노력이 보인다.,8,1
3,난  재밌게 봤다. 이병헌은 연기로는 깔  게 없는 듯...,10,1
4,하정우님이  중국이랑 미국한테  우리가 알아서할테니까 가~가~라고 소리치는 장면 속시원함! 굿👍,9,1
5,황당한 미국재난영화보다는 백배는 재밌다~~!!!!!,9,1
6,속히  평화 통일이 오리길 소망합니다..좋은영화 감사합니다,10,1
7,도저히 못볼 영화다!! 라는 혹평을 들을 수준은 아닌것 같고..  재미있게 볼 수 있는 영화인 듯.. 편집은 좀 아쉬웠음.,8,1
8,한국 재난영화만이 보여줄 수 있는 이야기.,8,1
9,굿굿,10,1
10,무거운 소재를 가볍게...하지만 느낌좋은 영화...이게  우리가 간과하는  현실일수도,10,1
11,스포주의  OCN에서 10분 늦게 보고 결제해서 봤어요 근데 얼마전에 승리호도 봤지만 K-SF 타이틀 먼저줘야겠어요. 스토리도 나름 현실 우리나라를 잘표현했고 특히 중국군 미국군에게 가!가! 다 꺼져 xx 사이다!,9,1
12,"재밌어. 한국감독들 진짜 대단하다. 흔한 얘기, 신파인줄 알았더니 중간중간 유머도 재밌고 감동도 자극하고 잘 버무림.",9,1
13,생각보다 웃겨서 볼만한데 평점은 별로네? 뭘 그리 기대한걸까? 영화 내용 다 거기서거기지 더이상 새로운걸 만들긴..,10,1
14,핵을 이용해 백두산 폭발을 막겠다는데 왜 미국이나 중국서 도와주지는 못할망정 남의 나라에서 총질하고 핵만 가져갈려하는지 정말 열받네.,7,1
15,우리나라 영화 수준은 최고다~,10,1
16,해운대 느낌의 영화다.. 난 재미있게 봤는데~평점이 넘 낮은듯,10,1
17,이병헌. 그리고 감독과 스텝진의 노력. 그리고 의외의 수지의 연기. 재미와감동. 한국영화 흥하기를~!,10,1
