,document,score,label
0,시종일관 억지스러운 스토리에 무의미한 대사로 가득한 영화. 우리가 타는 승용차로도 우주를 여행할 수 있다는 말도 안 되는 이야기는 빙산의 일각 수준.,1,0
1,액션  씬에서 너무 황당하고 스토리에 앞뒤 개연성 전혀 없고 주연배우 연기는 정말 못봐줌 함께 간 가족때문에 중간에 못나온게 아쉬울따름임 정말 보지 마세요,1,0
2,영화 보다 졸다가 나왔음...역대급 시리즈중 최악~~,1,0
3,지루해요,1,0
4,10편에서는 외계인과 싸울듯,7,1
5,갈수록 유치해서  짜증만나네 좀 말이돼게 만들어라..,1,0
6,시종일관 억지스러운 스토리~  무의미한 대사로 가득한 영화.  스토리가 얼마나 억지스럽고 내용이 허술한지 배우들이 계속 설명을 해주는 장면이 여러번 반복~ 우리가 타는 승용차로도 우주를 여행할 수 있다는 말도 안 되는 이야기는 빙산의 일각 수준~ 공짜로 본다면 모를까 절대 1만원 이상주고는 보지마세요.,1,0
7,선을 넘는 유치함과 황당한 전개,1,0
8,오늘 남편이랑 보고왔는데 역대 분노의질주 중 최악..  갈수록 내용이 산으로가고 있음 ㅠㅠ 각본이 진짜 😤,2,0
9,"예전의 분노의 질주가 아니다. 어이없는 스토리라인에  액션신도 예전만 못하고,  평점 8점은 너무 과하다. 영화는 보고 평점을 주는지 모르겠다.",2,0
10,분노의 질주 시리즈 기대 됩니다 그리고 아쉽네요 10편이 마지막이라니 ㅜㅜ ,10,1
11,달나라 가는거에서 황당함  전편보다 스토리 액션이 좀 약함  드웨인존슨 효과인가,6,1
12,분노의질주 최고사랑헤...ㅎㅎㅎㅎ드웨인존슨과빨리화헤헤서잘헸쓰면좋겠씁니다...ㅎㅎㅎ,10,1
13,"역시 믿고 보는 시리즈 분노의 질주👍 재미와 액션 보장👍 요즘 볼 영화 없었는데, 오늘 개봉하자마자 보길 잘했네요:)",10,1
14,"이번 작품은 분노의 질주 시리즈 중 최악인듯 하네요. 아무리 영화적 상상이라 하더라도 해도해도 너무한 설정입니다. 자동차를 타고 우주로 가다니..ㅠㅠ 그동안의 시리즈도 과장이 좀 심하지만 그래도 용서가 되는 수준이였지만, 이번 영화는 정말 말이 안나오네요. 조조로 보러갔다가 중간에 나오려 했지만, 어디까지 가나 보자 싶어 끝까지 보긴 했습니다만, 전작들에 비해 스토리 전개나 액션 장면들에서 너무 억지스러움이 넘치는 영화였습니다. 지금까지의 흥행은 마케팅과 전작에 대한 기대치로 성공한 것 같네요.",1,0
15,"슈퍼히어로가 판을 치는 세상이고 이건 다큐멘터리가 아니기 때문에 사실적이지 않은 장면도  괜찮게 보는 편인데, 이야기는 너무 산만하게 느껴졌고 그 이야기가 나에겐 재밌지도 않았다.. 시리즈 팬이라면 나보단 재밌게 봤을듯",4,0
16,지극히 주관적인 입장에서 쓴다  헛웃음밖에 안나오는 쓰레기같은 영화다 예고편만 볼만하다 주변에 욕안하는 사람 없던데 별점 알바들한테 돈 많이썼나보다,1,0
17,상영 나오자 마자 예매 했다 1편 부터  깊은 감명을 줬던 최고 드라이브 레이싱 영화  빈 디젤 성 강 다 좋아하는 캐릭터 주역 이다 미쉘 로드리게즈는 영화 다른 곳에 좀 더 출연 해 줘,10,1
18,무친영화  개연성은 죽쒀먹는 수준을 넘어 땅바닥에 흩뿌려놓은 밥알 주워 먹는 수준이다  영화적 허용이라고 이해해줄 수 없는 설정;  그냥 지들 하고 싶은거 뭐 멋져보이는거  코딩 해킹 인공위성 제트기 우주 다 갖다가 쓰려하니까 그냥 개밥이 되었다  아니 사실 갖다 써도 된다 잘만쓰면  근데 이건 좀 아니다 실현가능성이 ♪♪도 없는 기술을 그냥  와 개쩐다 이런거 첨봄~ ㅎㅎ 하고 그냥 지 필요할때만 능력이 발동된다;; 아마 코딩과 자석이 만능인줄 아는 연출자가 있나보다  어떻게 이걸 오케이하지? 피디가 정상은 아니다  죽이고 싶다 이건 문과감성이라고도 못한다 이건 미취학 아동수준의 각본이다  사실 개밥도 안된다 우리집 강아지도 손절한 것 같다  영화보면서 화난게 정말 오랜만이다,1,0
19,미셜 로드리게스는 처음이라 그렇다치더라도 도쿄드리프트에서 제임스 스타뎀에게 죽었던 성강을 부활시키는 클라스~ 계속해서 제작된다면 갤 가돗도 부활시키겠네~ㅎㅎㅎ,7,1
20,왔더헬이다... 극본을 초등학생이 썼는지... 에지간해야 봐주지... 액션영화가 아니라 아주 우주공상과학영화를 만들어놨네...,1,0
21,레슬러 출신들 하나씩 꼭 넣어야 함?? 과연 드웨인과 화해할까... 이상하게 존시나 나오면 뭔가 웃게 됨...,10,1
22,정밀 내용도 없고 기대 없이 갔는데도 ... 별루,4,0
23,뭔가 말도 안되게 잔쯕 집어넣어서 억지스럽고 산만하고 집중이 안된다.  물리 법칙을 벗어난 자기장 액션도 코웃음을 치게 만들고  미니카인지  CG인지 진짜 차인지 모르는 수백대의 차량이 부서지고 날라간다.  그냥 런닝맨 글로벌 편을 보는 것 같다.  이렇게 밖에 못만드나? 헐리웃은 이제 끝난다는 생각이 든다.  기생충같은 웰메이드 영화가 많이 나온다면 K팝처럼 세계 영화 시장 장악도  멀지 않은것 같다.,6,1
24,항상스트레스를날려주는액션의향연 믿고보는분노의질주입니다,9,1
25,본다,10,1
26,역시 실망을 시키지는 않는다. 그러나 전편에 비해 싸워야하는 당위성이 부족하다. 악당도 좀 약하고. 그러나 레이싱과 전투씬은 참 눈을 즐겁게 해준다,8,1
27,알바생들 뭐냐 진짜 수준낮음 돈아깝네...전작들과 비교도못험,1,0
28,"안 봐도 비디오!!! 최강, 최애 시리즈 컴 백~!! 예~~~",10,1
29,그나마 한때문에 1점 준다...  차로 우주가는 전개는 누구 생각인지... 집에와서 티비에서 하는 홉스&쇼 봤는데 훨씬 재미 있었다.,1,0
30,시작은 그럴 듯한거 같은데 갈수록 B급이 돼네,2,0
31,"액션이라기보단 코미디? 오글거리는 연기,  억지스런 스토리, 시종일관 선명하지 않고 뿌연 화면, 짙은 왜색... 제목값을 못하는 영화였음!",4,0
32,"이 시나리오로 제작을 감행한 제작진 및 투자자에게 경의를 표한다. 액숀 영화가 스토리나 개연성이 뭐가 필요있나? 뭐 물량 때려 넣고, 돈만 벌면 되는거니깐...  근데 언제부터 주인공들이 어벤저스급으로 업그레이드 된거냐?",1,0
33,갈수록 너무 황당하다.,6,1
34,"그들의 자본과 그들이 연출하면 어떠한 영화가 만들어지는지 다시한번 알게 되었다. 연결성 없는 대사, 개연성 없는 각본과 연출, 뭔가 이상한 연기력, 카메라 구도가 그마나 볼만해서 2점. 영화관에서 이 영화를 보시겠다고 하면????? 알바들이 많다는것!",2,0
35,역시 대작이네요. 볼만한 영화. 폭파한 자동차를 나에게 주시오~~~,10,1
36,"지루한 이야기에 황당한 액션, 그리고 웃기지 않은 유머까지 모든 게 실망스럽다. 예전 시리즈는 ""우와! 말도 안 돼!""라는 감탄이 나오는 액션이었다면 이번 작품은 ""에이, 말도 안 돼.""라는 코웃음이 나온다.",6,1
37,"액션, 격투, 카 체이스, 파괴, 폭발, S.F. ... 모든 흥행요소를 짬뽕하여 형제애를  양념으로 집어넣은 킬링타임용 헐리우드 블록버스터. 그냥 생각없이 보여주는 대로 즐기면 되지만 이런 영화에 쏟아붓는 막대한 제작비가 아깝게 느껴졌다.",7,1
38,액션만 보고싶은 사람은 굳 개연성없는 줄거리는 배드  다른영화보다 기대가컸는데 대실망,2,0
39,분노의질주 시리즈 너마저 배반을 때리는구나..,4,0
