,document,score,label
0,신민아 보러 간 영화 연기력과 여배우의 아우라가 느껴지는 신민아의 분량을 더 넣어 주셨으면 좋으련만... 신민아가 또 해내였네요~^^ 긴장감 있었네요 (알바생 아님) 그냥 볼만한 영화 그나마 신민아 때문에 별점 더 줌ㅋㅋ 댓글에 다들 신민아 보러갔대ㅋㅋㅋㅋ,9,1
1,"에휴,,너무 산만하고,,,,,연출력이나,,,,시나리오가,,,,실패다,,,,,,,,,,",3,0
2,쩝 이건 연기잘한다고 다가 아님 작품도 신중하게 고르셔야. 진심 시간이 아까웠음.,1,0
3,배우들의 노력과 연기력이 아까웠던 영화 정신병적인 망상들이 너무 많이 나와 매끄럽지 않았고 보는내내 이상해서 영화를 돈내고 보기가 억울합니다. 수영관련 영화라 다이빙 하는거 많이 노력한것이 느껴지는데.. 스토리가 문제인지 구성이 문제인건지 시간이 많이 아깝네요~~ㅠㅠ,1,0
4,코로나에 묻히기에 너무 아까운 영화...영상도 아름답고 다이빙도 멋있어요.신민아가 이렇게 연기를 잘했나 싶음..마지막까지 여운이... 간만에 좋은 관람 ,10,1
5,신민아 진짜 수영선수 같았고. 물을 다루는 영상미가 굉장히 뛰어났어요. 끝에 밝혀지는 진실도 충격적. 으스스한 스릴도 느낄 수 있어요. 재미나게 봤습니다. ,10,1
6,원래 이런영화 좋아하는데  잘봤습니다 ~신민아의 새로운 연기도 괜찮았지만 이유영연기도 좋았어요,8,1
7,그냥 쓰레기 영화  시간아까움   시간 널널한 백수만 보시길 왠만하면 보지마시길 알바들 판치내,1,0
8,한국판 블랙스완인가...... 줄거리보니까 내용 완전 똑같은거같은데.... 포스터도 얼추비슷하고...,5,0
9,이 정도면 상당히 잘만든 심리스릴러인데~~ 흥행결과가 넘 아숩네요;;;,8,1
10,끝까지 본 내가 자랑스럽다....,0,0
11,대학 졸업작품도 이정도는 아니겠다...어떻게 긴장감이 1도 안드냐...,0,0
