,document,score,label
0,첨으로 영화평을 남기는..얼마나 화가났으면.. 희대의 역대급 망작. 둘째는 아무도 신경안쓰는 살다살다 이런영화 첨봄,1,0
1,왜 둘째는 아무도 신경 안쓰냐 ...,1,0
2,어떻게 180만이 봤지 감독이 완전 무뇌인데 연기자들이 아깝네요 개연성도 뭣도 아무것도 없는 변 신이 아니라 병 신이라고 수정하고 싶네요 별1개 주기도 아깝다지만...,2,0
3,둘때가 희생당했는지도 모르고 한창동안 찾지않는 이상한 가족들 그게 더 공포스럽다,2,0
4,헐 .... 한시간까지는 그런대로 볼만했다. 근데 영화가 점점 이상하게 흘러간다.  감독이 마무리를 어찌할지 몰라서 아몰랑 ~~ 하며 마구잡이로 끝낸거 같다.  정말 궁금한게 옆집 아저씨랑 백윤식은 왜 등장 한건가여?  정말 영화가 개연성이 없다.  한시간까지는 8점 그이후로는 0점 아 내돈......,3,0
5,연기천재들 모아 놓고는 ..... 아깝네요 필리핀인지 로케는 무엇 성당 멋있더라,3,0
6,배우들의 연기가 아깝네요 ㅠㅠ 괜시리 무섭기만하고 동시에 웃기기도하고...기가차기도 하네요,1,0
7,백윤식은 왜 나왔지,1,0
8,"시나리오는 내가 써도 이것보다는 잘 쓸 거 같다..  일부러 이렇게 만들어라해도 못 만들 정도로 처참한 수준..   이건 단순 호불호, 취향의 문제가 아닙니다.  이 정도면 영화판에 대한 모독임.",1,0
9,허접한 영화 이사하고 짐 푸는데 초반 40분 잡아먹고 메인 빌런인 악마는 변신해서 장난질 치자마자 들킴ㅋㅋ,1,0
10,"방금 오씨엔에서 하는거 보고왔는디, 엑소시즘 같은 영화나 오컬트한 그런 내용을 좀 즐겨봤던  내소견은 배우들이 아깝지만, 스토리 각본 등 조금더 탄탄하게 만들어서 나왔다면 괜찮았을텐데 너무 재미없지는 않음  다만 이런 종류의 영화는 널리고 재밌는게 너무 많아서 비벼볼순 없다 봄",5,0
11,사제 동생 마지막에  죽음  너무 안타깝네요,8,1
12,초반부는 상당히 무섭고 재밌다 배우들 연기도 상당히 뛰어나서 몰입도가 높음 후반부가 허숳하고 개연성이 억지스로워져서 아쉽다 왜 창고에 혼자 내려보냇는지 부터 슬슬 불길한 조짐을 느낌  그래도 공포가뭄인 한국영화에서 볼만한 작품 ,6,1
13,"조금 아쉽다.  옆집, 백윤식 씬을 없애고 스토리를 더 넣었으면... 이런 장르 많이 나오길 기대합니다. 시도에 점수를 좀 더 줍니다.",7,1
14,"그닥 개연성이 떨어지는 부분도 없고, 국내 엑소시즘 영화로는 내용면에서도 참신한데 왜 이렇게 평가절하하는지 모르겠네...깜짝깜짝 놀라며 잘 봤고, 엔딩도 그렇게 비난할 정도가 아님. 둘째를 왜 아무도 안찾냐 하는데 분위기상 찾을 생각 못 할 법한 상황임.",9,1
15,감당하지 못할영화를 왜만든거냐? 배우들은 무슨죄냐? 변신?♩♪인듯...,2,0
16,잉? 저러고 끝남? 헐 이게 뭐밍!!!,2,0
17,"정말 정말,,,이게 영화냐?! 개 쓰 레 기 다!!",1,0
18,결말이 엉성,2,0
19,추석더럽 제목바꿔  병. 신,1,0
20,옆집은? 둘째는? 백윤식은? 관객수180만?,5,0
21,근데 둘째는 평소 행실이 많이 밉보였는가 가족들이 아무도 케어를 안하네,5,0
22,간만에 스릴 체험....,10,1
23,시간 질질 끌다가 어설프게 신파로 끝난다,6,1
24,스토리는 개판 그래도 몰입도는 있었네  동일이형님의 연기로 그나마 케어했네,6,1
25,오컬트는 늘 기분 나쁘다. 배우들의 노력에 박수를.,9,1
26,소녀가 묶여있는 첫장면부터 어디서 많~이도 본 영상.     신부가 나올때부터 신부가 죽을줄 예상가능.     여기저기 참 알차게 갖다 붙였으니  결말까지 뻔한영화이고  한국영화에 필히 들어가는 신파 한국자도 들어있다,3,0
27,뭐냐 이게...,5,0
28,초반 : 아.. 오늘 잠 다잤다. 후반 : 오늘 잠 잘 오겠다.  시도는 좋았으나 구성이 너무 아쉽다. 회수 못한 떡밥이 한두개가 아니고 초중반에 긴장감 조성하는걸 좀 짧게 가져갔으면 이렇게 조급하게 마무리하지 않아도 됐을 것 같다. 아쉽다.,6,1
29,초반의 분위기와  배경의  매력을 살리지 못하고 중반이후 너무 쉽고 안일하게 무너진다,5,0
30,러닝타임 길게 해서 스토리 좀 더 짜임새 있게 만들었으면 하는 아쉬움은 있지만 악평받을 정도는 아님. 이런 영화 많이 만들어지면 좋겠음.,7,1
31,천주교와 신부와 구마의식에 대한 이해가 전혀없다 비윤리 비도덕에다 가학석이고 더러운 장면들까지 ᆢ 기라성 같은 배우들을 캐스팅해놓고 대체 ㅠ ㅠ 스토리도 내용 전개도 편집도 완전히 시간아깝다 공포가 아니라 황당 코메디 시츄에이션이라고 해라 감독과 작가의 정체성이 정말로 의심스럽다. 영화라고도 말하지 않았으면 ᆢᆢᆢ,1,0
32,"성동일, 장영남, 배성우 같은 연기파 배우들을 써서 제목처럼 변신같은 영화를 만들어 내는것 또한 감독의 능력이라고 봄",1,0
33,이게 왜 7점대지?ㅎㅎㅎㅎ,1,0
34,하...다음 댓글보고 볼걸... 네이버 댓글알바들아 니들 구마 의식좀 하자,1,0
35,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0
36,"누구나 감독, 작가를 꿈꾸게 하는 영화다. 이렇게 엉망이어도 180만을 찍을 수 있다는.",1,0
