,document,score,label
0,어디서 보냐 ㅠ 보여주고 평점 달라고해라 ㅠㅠ 너무 보고싶다 ㅠㅠ,10,1
1,우리는 이미 완벽한 존재지만 시선은 우리를 부족하게 만든다. 세상은 이미 완벽하지만 우리의 시선은 세상이 불완전하다고 말한다. 장애인에 대한 어떠한 변호보다 더 많은 것을 이해시키는 영화. 그리고 그보다 더 보편적인 아름다움에 관한 영화. 아무것도 나오지 않는 엔딩 크레딧마저 감동적이다. 차갑게 가슴시린 동화같은 이야기. ,6,1
2,이렇게 멋진 네덜란드 영화가 있었다니,10,1
3,시력을 잃었던 덕분에 사람보는 눈을 얻었도다.,7,1
4,10년전에 봤는데 아직도 여운이 남는 영화네요 이런 사랑은 세상에 없겠죠...ㅜㅜ,10,1
5,나도저런 진짜 사랑을 하고싶다... ,7,1
6,팬들이 왜 국내 개봉을 원했는지 알거같다 시린겨울 보기 좋은 로맨스 영화. 분위기만으로 감성적인 아름다운 영화,10,1
7,꼭 다시 보고싶은 영화. ,10,1
8,이 영화 꼭 보세요.2번 보세요.,10,1
9,시각보다 촉각의 기억을 만끽하는 엔딩씬이 인상깊다 !,9,1
10,진짜 이거 외않봐..??? 여운이 가시질 않네요ㅠㅠ 저도 저런 사랑하고 싶어요,10,1
11,넘 보고싶어서 뉴질랜드 사는  친구한테 부탁해서 불법으로 본 영화 넘 잼있었요,10,1
12,렛미인 봤을 때와 비슷한 느낌. 주인공의 순수함과 계산없는 무모함에 맘이 아프다.,9,1
13,"루벤의 마지막 행동은 정말 예상치 못한 만큼 충격적이지만...마리가 떠나지 않았으면,두려워 하지 않았으면 결국 루벤에게 눈은 '쓸모없는것'이 되어버렸네요...마지막에 루벤이 자신의 동화속에 마리의 모습을 완성시키는 것 정말 순수한 사랑이 느껴졌어요..안타깝고,애달픈 마리 그리고 루벤의 순수한 사랑 이야기...",10,1
14,"내 인생 영화.. 진정한 의미의 사랑이 뭔지, 극복하기 힘든 트라우마에 갇힌 여성의 시선으로 사랑에 가 닿기까지의 힘듦을 전달한다. 별점 열 개가 절대 아깝지 않다.",10,1
15,참.. 마음이 아픈영화입니다.,10,1
16,두근 거림과 아름다움으로 가득찬 감성영화,7,1
17,참으로 오랜만에 깊은 여운을 주는 영화를 만난 느낌이다.......보여지는게 다가 아니란것을.....현실에 눈을 뜬 어지러운 세상보단...가려진 어둠속에 빛이 더욱 아름다울수 있다는것을....,10,1
18,웬만해선 잘 안우는데 실컷 울었음. 그들의 사랑이 잔잔히 내 마음을 적시다가... 통곡하게 만듬.,10,1
19,"여운이 많이 남는 영화. 빨간 머리를 가진 미녀 마리로 기억 되고 싶은 마리와, 어떤 마리라도 좋다고 생각하는 루벤이 슬픔T.T 사실 남주가 잘생겨서 본 건데(ㅋㅋ) 이렇게 진지하고 찡할 지 몰랐다T.T [어떤영화][요즘왕오탁구]",10,1
20,초반엔 지루하고 평점이 너무 높다고 생각했는데.. 그건 이 영화를 제대로 못느꼈기 때문이었던듯.. 진짜 뒤로 갈수록.. 최고.. 다른 영화에 비해 대화나 등장인물도 거의 없는데.. 영화보고 이런 느낌받은건 처음임,10,1
21,내면 속 진정한 사랑이 무엇인지 처음으로 가르쳐준 영화 이런 명작을 볼 수 있었던 것이 정말 행운이다.보이지 않을때가 보일 때 보다 더 가치있는 내면의 사랑이 얼마나 아름다운지 알 수 있었다.꼭혼자봐야될영화,10,1
22,쓰레기영화라니요? 아무의미 없고 재미를 추구하는 영화보다 우리의 삶에 교훈을 주는 이런영화가 진정한영화 아닌가요?,10,1
23,영상이 아주 아름다운 영화. 절대 지루하지 않아요. 출연하는 배우가 많지 않아도 충분히 흥미롭고 매력있는 영화이네요. 마지막 주인공이 스스로 시력을 잃는 것이 좀 가슴 아프네요. 좋은 영화입니다.,9,1
24,"슬프도록 아름답네요. 심도 있는 메시지. 외모지상주의에 일침.  ""사랑이란 앞을 볼 수 없는 장님과 같은 것"" 참사랑 아는분들은 잠못이룰듯.",10,1
25,꼭 다시한번 보고싶은 영화,10,1
26,너무 아름다운....평생 잊지못할 인생영화,10,1
27,"시각이 아닌 손끝과 소리, 향기로 그려지는 사랑 그런데 이거 결말 정말 와.........",8,1
28,"계절은 차갑지만, 마음은 따뜻해지는 사랑 영화",10,1
29,눈을 감을수록 깊어지는 사랑과 더욱 생각나는 사람. 이영화 역시 그렇다.,10,1
30,이게 이제 ㄱㅐ봉하네요... 엄청 예전에 다운로드 받아서 봤던 기억이.. 어렸는데 그 당시에도 인상깊었습니다. 마음을 울리는 영화!,10,1
31,보이지 않는 것이 영원함,10,1
