,document,score,label
0,영화소개로 보고 평점 1점 박고 시작하는놈들 진짜 어이없네 ㅋㅋㅋㅋ 보고 나서 평가하고 박던가 ㅋㅋㅋㅋㅋ 이건 그거에 대한 방어다,10,1
1,볼만합니다   속편은 마동석납치로  ㅋㅋㅋ,5,0
2,"낮에 이 영화보고 방금 악마를보았다 봤는데 어떻게 10년전에 만든영화가, 다섯번도 넘게 본 영화가 날 더 몰입하게하고  손에 땀을 쥐게 하는지...  이건 뭐 ..... 밑에 댓글 공감.. 3류영화에 1류배우로 문대기.. 시간 아까움",1,0
3,허술하고 엉성하다,4,0
4,방금  보고 왔는데 나쁘진 않다  그러나 좀  짜증난다   뭔가 그냥 바보 경찰들 당하는게 짜증,3,0
5,3류 영화에 1류 배우가 출연한 느낌 황정민 빼고 모든게 어색하고 오글거림,1,0
6,응 안봐 .....만2천원 아까워 ㅋㅋㅋㅋㅋ,1,0
7,연기는 볼만하나 사실 스토리 자체는 언제나처럼 예상되는대로 전개됐다,6,1
8,식상한 캐릭터들과 대사 낯익은 장면들의 섞어찌개 베스트셀러극장의 스크린버전,2,0
9,인질이라는 영화를 보는 내내  내가 인질이되었다.,1,0
10,"유덕화 냡치... 그래 [세이빙 미스터 우]까지는 바라지 않는다. 워낙 잘 만들었으니까. 최소한 비슷하게라도 어? 흉내는 내줘야지. 뭐냐 이게? 보는 내내 뒤지는 줄 알았다. 연결은 튀고, 대사는 따로 놀고, 스토리는... 니들은 시나리오 토론 이런 거 안 하냐?",3,0
11,13000원 내고 볼 영화는,1,0
12,각색이나 스토리는 나름 신선했다. 대체적으로 재밌었지만 억지스러움이 좀 있어서 아쉽다. 그 수 많은 경찰이 범죄자 1명을 감당 못하고  결국 ㅇㅇㅇ이 잡나? ㅋㅋㅋ 그리고 폭탄이 터졌는데 그 많은 경철이 다 다쳤는데 범죄자만 멀쩡~  그래서 4점 뺀다~,6,1
13,"선하고 인간적이며 용감무쌍한 배우 황정민의 단독 플레이를 위해 볼모로 잡힌 단순하고 납작하며 멍청한 악역 캐릭터들. (배우들의 연기력과 무관하게 감독의 연출은 욕설과 고함치는 것 말고는 악당을 표현할 줄 모르는 듯하고, 한동안 한 배우를 'C컵 배우'로 낙인찍히게 할 것 같은 장면은 불쾌하며, 게다가 결말 부분은 대한민국 경찰의 위상을 너무 떨어뜨리지 않나 싶을 정도다.)",5,0
14,사실상 조금씩 흐를수록 뒷부분 내용은 짐작하기 쉽다. 그래도 실명을 내세우니 좀 더 실감나고 배우들의 연기도 좋았다. 영화 같지도 않은 싱크홀 보다는 훨씬 낫다. 실제로 일어나면 엄청난 트라우마가 생길 듯...,7,1
15,..,6,1
16,.,6,1
17,추천하고 싶을 정도는 아닙니다.,4,0
18,쵝오다!! 대작들 다 제치고 1위!! 악플은 무슨 의도로 다는지 다들 알겠지,10,1
19,황정민님 광주 무대인사 도 보고 영화도 잘 봤습니다 마지막에 몰입도 굿  ㅎㅎ,10,1
20,각자의 취향이지만 저는 재미나게 보고 왔습니다. 추천,10,1
21,잔인한 영화는 이제 그만... 내 뇌세포 다죽는다.. ㅠ,1,0
22,재미만 있더만,9,1
23,개봉 날 봤는데 황정민 주연빨로 어느 정도의 관객동원은 하겠지만 진심으로 재미가 없었다 ㅠㅠ 도대체 뭘 보여주고 싶단 영화인지 모르겠고 경찰의 무능함을 표현하려고 한 영화인가? 기억에 남는 장면도 없고 특별히 인상적인 배우도 없고 그저 실제이름을 처음으로 쓴 작품인 것 외엔 딱히 별 볼일 없는 영화였다!!,1,0
24,이영화 비추다  이야기도 저렴 식상하고 뻔하고 엔딩결말도 예상 그대로이고 특별히 연출도 연기도 너무너무 실망스럽다  성의없는 90분 이건뭐 아니다  순 엉터리였던 공유+박보검의 서복(비추) 만큼이나 탄식 한숨이 다 났다  바란스가 완전 깨져서 황정민이 혼자서 돋보여도 너무 돋보인다  자 우리가 마블 히어로 캐릭터들을 좋아하는데는 빌런인 대척점인 타노스를 잘 살렸기 때문이다  황정민의 이전작 다만악(강추)에서도 그야말로 카리스마 넘치는 이정재가 있었다  모가디슈(절대강추)에서 어깨에 힘을 뺀 조인성이나 싱크홀(강추)에서의 차승원이 힘을 잔뜩 뺀 이유는 주조연의 고른 앙상블 하모니 아니겠는가  연출자가 외면 모른척 한것인지 조연급 바춰주는 연기자들이 애초 역량이 문제인지 이건 아니다,3,0
25,골목 차량 액션씬 잘 만들엇어요,6,1
26,이정재가 구출해줘야 하는데...,9,1
27,"2점은 순수하게 황정민 출연해서 2점. 핸드헬드가 쓰잘데없이 과하게 들어가서 화면이 흔들려 몰입을 전혀 할 수 없었고, 괜히 멀미만 유발한다. 스토리도 식상 그자체.",2,0
28,2020년에 제일 보고 싶은 영화!!!!!,10,1
29,"황정민이 황정민을 연기 빠른 호흡으로 몰입감,간장감은 좋다. 황정민의 연기야 말 할 필요가 없는 최고의 연기지만 대배우와 호흡을 맞춘 신인들의 연기가 인상적이었다. 특히 김재범,류경수. . . 잘 성장할 배우가 될듯",9,1
30,너무너무 기대됨....,10,1
31,빨리나왔ㅅ으면좋겟당 황ㅇ시ㅣㅠㅠ,10,1
32,괜히봤음.,4,0
33,쫄깃하면서 재밌었어요. 현실감 있어서 더 몰입하면서 봤네요. 믿고보는 배우,9,1
34,역시 황정민 배우 믿고 갑니다. 젤 보고싶어요,10,1
35,"영화 열심히보고 평점 남기는데요. 스토리, BGM, 연기력 다 1점이네요.  아닌건 아닌거지 이건 감독의 자질문제에요.  캐스팅실패부터 런닝타임때문에 억지로 장면들을 넣은거같고 다른 인질범부터 안 나와야할 인물들 등장시키고  아무리 리메이크영화라고 해도 그냥 황정민이란 배우만 출연시키고 홍보하려고 했단 느낌만 드는 영화. 진짜 최악 그냥 최악.",1,0
36,초반엔 뭔가 기분 나쁘지만 보다 보면 빠져 드는?  나쁘지 않았음.,8,1
37,악당들의 몰락이 익숙한 작위적이지만... 그래도 황정민 영화는 늘 재미있다..,8,1
38,흔한 스토리...실망.. 싱커홀보단  재미없음...,4,0
39,황정민이 황정민을 연기하는 황정민 주연의 영화. 그래서인지 더 실감 나고 몰입된다.,7,1
40,영화 속 인물이 아니라 내가 아는 사람이라는 설정이 공포감과 몰입감이 최고였습니다. 황정민 배우님 연기는 두말하면 잔소리~ 강추합니다!,9,1
41,딱히 새로운 스토리가 아니지만 그 안에서 느껴지는 긴장감이 영화 몰입하는데 좋았습니다.,10,1
42,8점입니다 조조로 봤는데  볼만합니다 몰입도도 좋구요 적어도 돈이 아깝진 않습니다   딱 킬링타임용인데 솔직히 굳이 극장에서 볼 필요는 없어요   나중에 다운받는 사이트에서 다운받아봐도 될 영화에요,8,1
43,손땀 난다,7,1
44,너무 현실적이라는 점에서 너무 무섭다.,9,1
45,그냥 싱크홀 보는게 돈이 덜아까울거야,1,0
46,"아니 여기 댓글 알바 왤케 많은거야,,, 보시면 알게 될껍니다. 시사회 보고왔는데 장담컨대 2021년에 나온 영화 중 가장 긴장감 넘치고 스릴 넘친 영화가 아닌가 싶습니다.",10,1
47,배우 황정민씨의 자전적인 영화 같네요. 황정민x류승완은 송강호x봉준호와 같다는거 기억하시죠?,10,1
48,모가디슈⟩ 싱크홀 ⟩  인질 3편 다 본 나로서 황정민 연기 거기서 기기 송강호가 왜 업계 탑인지 이해가 된다 항상 새로운 인물 같은 연기가 없으니 황정민 발성 톤 거기서 거기야 변화가 없다.,1,0
49,"악역이 너무 억지스럽고, 오버스러움. 그 어색함에 황정민 연기마저도 어색할 지경... 그나마 황정민 아니였음 중간에 나올뻔했다...",6,1
50,"황정민을 제외하고는 거의 모든 배우가 처음보는 분이라서 ..기본적으로 리얼리티가  살아있다. 새로운 시도라는 점에서 먼저 박수를 보내드립니다. 한국 영화가 다양한 시도를 하고 있는데 .. 시국이 어려워서 안타까울 뿐입니다. 런닝타임이 조금 짧지만, 전개가 늘어지지 않고 긴박하게 흐른다는 점에서 좋은 선택인 것 같습니다. 모두들 권해드립니다. 돈 시간 전혀 아깝지 않습니다.",10,1
51,재밌네,8,1
52,영화 잘 나왔다.,9,1
53,몰입감 최고! 거친 표현이 계속 나와서 자녀랑 보기에 다소 민망했지만 시간 가는줄 모르게 봄. 리얼한 캐릭터와 빠른 전개로 인해  긴장감 높음.,10,1
54,"싱크홀 보다 10배는 재밌고,,,모가디슈보다 어떤면에서는 잼나다...암튼 요즘들어 본 영화중 젤 재밌었음...",10,1
55,너무 기대돼요~,10,1
56,너무 기대되는 영화라 얼른 보고 싶어요!!!,10,1
57,너무 보고싶어요,10,1
58,드루와 드루와 한번만 해주세요 ㅎ 기대된다,10,1
59,너무 보고싶어요,10,1
60,2021년 최고의 인질 영화!! 정말 보고 싶어요. 주인공이 황정민으로 대표되는 최고의 범죄 영화!!!,10,1
61,부라더 함부로 건드리면 안되야.,7,1
62,역시 황정민  조연들 연기가   소름 쵝오,10,1
63,극도의 공포상황에서 주인공의 기지와 액션저항이 눈부시다 !   엔딩곡 The  Passenger ~  관람의 긴장감을  덜어준다.^^,8,1
64,다만악처럼만 연기해다오,10,1
65,.,10,1
66,"넘 리얼하고  잔인했어요 그만큼 연기자분들이  연기를  잘하심, 나쁜넘들  진짜 소름 돋음.",10,1
67,전 재밌게 봤네요~~처음은 넘 잔인하고 끔직했지만... 인질..일찍 인질이 되어버린 스토리가 무슨  스토리로  전개될까  기대안하며  봤는데...지루하지않게 시간가는줄 모르고  배우들의 연기력도   좋고 전 잘봤습니다 ~~ 황정민 역시  믿고  봅니다~~최고👍,10,1
68,평점때문에 안 보려고 했는데… 엄청 재밌었음,10,1
69,"배우 황정민 역할이었다가  메인 빌런 최기완(김재범)과의 최후의 육박전 때는 서도철 캐릭터가 되어버린 게 살짝 아쉽다. 기자 최철기, 서도철 어쩌구 하는 대사 땐 순간 빵 터진..(황정민 배우의 필모그래피를 잘 아시는 분들이라면 이해하실 듯.^^)   이왕 배우개그를 칠거 에필로그에서 살인범 역할 신인배우 역으로 유아인씨 카메오 출연했더라면 어땠을지 싶다.",7,1
70,드루와! ? 감독 제정신이야?  쪽팔린 줄 알아야지!  오마주도 아니고!  그냥 묻어가기지 이게 뭐야!,1,0
71,지겝,1,0
72,예고편 나와봐야 알겠지만. 믿고보는 배우 10점주고 갑니다 ~~,10,1
73,너무 보고싶습니다ㅠㅠ,10,1
74,정민이 형님 ㅈㅅ합니다 아직 극장에서는 안봤지만.  예고편 도 보고. 영화소개 프로에서도보고 했는대 . 원작의 유덕화 포스보단 안되는듯하네요.,5,0
75,빨리 개봉했으면 좋겠습니다 보러가야지,10,1
76,잼휬겠다..,10,1
77,황정민 배우님 사랑하면 보세요 더욱 더 사랑합니다♡ 흥해랏!! 실제가 아니라 연기가 맞겠지..? 할정도로 너무나 멋있습니다ㅠㅠ 맞을때 진짜  화나서 욕이;;  감히 배우님을!!,10,1
78,믿고보는 배우~ 재미있을수 밖에 없다.,10,1
79,영화가 주는 몰입도와 긴장감에 영화 보는 내내 몸에 힘이 들어간 상태로 관람했네요 ^^;; 황정민은 역시 황정민이었고 상대하는 악역 배우들의 연기도 아주 인상적이었습니다.,9,1
80,너무 잔인해서 1점 없앰.. 근데 황정민이 다 한 영화.. 지루할틈 없었오,9,1
81,재미있어여,10,1
82,재밌게 잘 봤습니다,8,1
83,잼나다,10,1
84,"기대를 별로 안하고  극장에 갔는데, 생각보다 재미있었다. 개인적으로는 모가디슈보다 재밌게 본듯.. 황정민 영화의 맛이 그대로 묻어나는 영화..",8,1
85,몰입해서 봤네요. 천만배우가 괜히 천만배우가 아니네요,10,1
86,코로나로 인해 극장을 찾는 게 어려운 시기이지만 황정민 배우 주연 영화이기에 고민하지 않고 관람하였습니다. 역시나 황정민 배우구나.. 시간 가는 줄 모르고 관람하였습니다. 영화 인질로 인해 극장가의 활성화를 기대해 봅니다.,10,1
87,킬링타임으로 좋은 영화...,9,1
88,초반의 스릴은 경찰 개입 이후 퀄리티가 떨어지고 오직 황정민 이라는 배우의 힘으로 끌고 가내요,8,1
89,황정민 나오는 영화 빨리 보고 싶어요,10,1
