,document,score,label
0,재즈같은 영화다. 무언에든 미쳐야 경지에 오른다는 것을 다시한 번 뼈저리게 느꼈다.,10,1
1,"열정으로 둔갑한 폭력성과 광기, 그리고 그 안에서도 꽃피우는 예술에 대해.",10,1
2,10점 준 적이 없는데 이건 줘야한다. 긴장감과 몰입감 굿,10,1
3,물질만능주의와 결과지상주의로 가득찬  미국에 잘 어울리는 영화이다.  모로가도 서울만 가면된다. 어떠한 희생이 따르더라도.....,5,0
4,영화 자체의 몰입도는 높은데 변태같은 지휘자를 만나 인간의 영혼이 파괴되는 걸 보는 느낌이어서 반감이  든다. 악보에 맞게 완벽하게 연주하는 것에만 의미가 있을까? 악기 연주하는 사람들의 표정은 경직되어 있고 행복해 보이지 않은데..,5,0
5,"가슴은 시원한데, 머리는 복잡한 결말  https://sp017.tistory.com/336",7,1
6,공포와 예술은 있지만 인간은 없다,9,1
7,열정과 노력 뭐 다 좋은데 그 대머리 선생의 교육 방식에 전혀 찬동할 수가 없네요. 실제로 그로 인해 자살한 제자가 나왔으니까요. 남에게 즐거움을 주는 음악을 저런 식으로 배울 필요는 없다고 봅니다. 게다가  타악기인 드럼 갖고...,6,1
8,드러밍이 너무 경이롭다....모든 걸 배우가 친 건 아니지만.... 텔러 역시 엄청난 드러밍 실력을 가지고 있었다....숨 가쁘게 이어지는 트레몰로와 롤....실력이 없으면 롹밴드에 처박혀있으라는 명언....롹에도 아트롹이란 분야가 있는데 너무 롹을 폄하한 건 아닌지....그러나 역시 드러밍의 꽃은 재즈에서 나온다고 본다....롹은 베이스 드럼의 강한 킼과 페달질의 스펙타클함이 있고 재즈는 패달을 소프트 하게 밟으면서 기교를 넣고 그 예 손목 스냅에선 즉흥적으로 나오는 최고 난이도의  기술들이 난무를 한다.....내용이 주는 메시지는 차치하고 드러밍만 즐기기에도 충분한 영화....시몬스의 그 괴팍함의 끝판왕을 보여준 연기도 놀라왔다...암튼 그런 놈 밑에서 남들은 10년 고생할걸 단기간에 다 겪은 주인공은 ,10,1
9,연기 음악 반전시나리오 등  간만에  영화다운 영화를 감상했다 화살코. 스몬스 연기ㅎ 리얼 연기력 최고인듯하다 모두 연기력 최고다 ㅎ,10,1
10,인생영화 중 하나.. 영화가 끝났는데도 광기어린 숨소리가 들려오네요.... ,10,1
11,내 인생 최고의 음악영화  몰입감이 남다름,10,1
12,학대와 모멸 속에 마침내 피어난 광기.... 거기까지,5,0
13,최고의 몰입도.... 이런 줄거리로 이런 몰입을? 긴장감을?.....난 감독이 천재라고 생각한다,9,1
14,뭐 목숨걸 일이라고 연주를 저리 살벌하게.. 스트레스 유발한다,1,0
15,왜....? 나랑은 안맞아... 내가 약간 정신 이상자가 되는 듯한 기분,3,0
16,솔직히 별로네...광기가 별로 와 닿지를 않는다.,5,0
17,내용은 최악 마지막 10분만 따봉,5,0
18,"몰입감은 좋았으나 그 외 비인간적으로 성공만을 추구하는 삶을 미화한 것이 마음에 들지 않는다. 피가 나는 노력, 차에 치여도 공연을 위해 몸 사리지 않고 뛰어가는 광기, 그것이 관객을 감동시킨단 말인가?",2,0
19,이래서 다들 위플래쉬 위플래쉬 했구나,10,1
20,어렵다..딴따라~,5,0
21,노력하는 저 주인공의 모습을 반이라도 닮고싶다,9,1
22,최고의 음악 최고의 소재 최고의 배우 최고의 감독 이 영화는 명작중 명작,10,1
23,나도 성공을 위해 저렇게 노력해본적이 있었는가에 대한 후회가 생각나게 되는영화.,9,1
24,나도 저렇게 피 터지고 심장 터지게 노력하고 싶어진다,8,1
25,"서열주의, 기합, 소수자 비하(여성, 게이, 아일랜드인, 한부모 가정, 유대인 등), 거짓(제자의 죽음), 능력주의로 얼룩진 대머리 중년(?)  남교수의 밴드가 보여주는 남성중심적 사회생활 생태계 교과서.  주인공의 순수한 예술적 열정으로 마침내 늙은 남교수는 처음으로 땀을 내보이는 ⟨음악인⟩이 되고 눈빛이 살아난다",10,1
26,이거 또 배껴서 만들 궁리하고 있을 한국 감독 있을 거 아는데.......아서라   한국인 정서에서 될 게 아니다,10,1
27,광기가 있는 피빛 음악영화. 마지막 연주장면이 좀 과한 면이 있어도 이 영화의 백미다.,6,1
28,.,10,1
29,"작품성이 뛰어나고, 플레처를 화나게 하고 자극하면서도, 본인 본업을 잃지 않고 해내는것에 통쾌함을 느끼지만, 한편으로는 플레처는 그런 모습을 보고 본인 교육이 옳았다고 주장하는 클리쉐로 스토리가 가서 그 부분은 조금 아쉽다. 무슨 의도로 표현하는지는 알겠지만 혐오 발언이 영화에 나오는것도 아쉽다고 느껴진다.",10,1
30,LaLa land  인줄 알았더니    펜트하우스  네~  마지막 플레쳐 의 진심은 무엇이었을까,10,1
31,극장에서 집중하면서 봤다면 좀 더 몰입해서  즐겼을거 같은데....뒤 늦게 왓챠를 통해 본 영화인데  그럼에도 영화는 잘짜여진 한편의 소설처럼  멋진 구성과  가끔 사람을 놀래는 장면들이 있다  뭔가에 미치고 싶은 열정을 가진 사람들이  보면 좋을 영화,9,1
32,..,7,1
33,공식무대에서 제자에게 망신을 주는걸로 복수하는 인간이 스승인가? 싸이코패스 같은 영화,1,0
34,.,8,1
35,딸이랑  서울숲  메가박스에서 봤는데  진짜 잼있었어요 음악과 함께 몸으로 느끼며 정말 짜릿하게  신나게  ~~~ 리클라이너 두다리 쭉뻗고 진짜 편안하게 봤습니당^^ㅎ,10,1
36,굿,10,1
37,최고라고 말할 수밖에,10,1
38,"처절한 노력. 그래도 쎄컨. 좌절. 자신과의 광기어린 싸움. 쟁취. .....개떡같은 마에스트로의 성질과 천재적 음악성은 어디가나 비례하나부다. 적정선의 자기한계를 경험한자만이 누리는 허탈한 성취감 ! 끝없는 열정이 동력되야 하는데 ....포기로 끝나버린 나에게 자기연민되어 휘몰아 친다. ‘참 잘했다’는 칭찬의 마지막이 아니란다 음. .... 사회 어디서건 플레쳐효과가 꼭 대미를 장식하진 않는다. 그러나 음악에 있어선  위플래시가 반드시 필요하다. 멋진 연기와 플룻 ,조화로운 블렌딩의 하모니 인생작!",9,1
39,미쳐야 성공한다.   대충은 누구나 한다.,9,1
40,"이런 류의 영화를 좋아해서 더 재밌게 봤다. 몰입도가 최고였고, 메시지도 좋았다.",8,1
41,김태호PD가 컴백작으로 유플레쉬를 왜 선택했는지 이해가된작품 10점도 모자를정도의 숨막히는 러닝타임 인생작 만났네요,10,1
42,시작부터 흥분되는 전율,10,1
43,.,8,1
44,박진감 넘친다,10,1
45,보는 내내 피가 끓어오르게 하는 영화! ,9,1
46,음악의 광기와 피의 열기로 스크린을 뜨겁게 채우는 영화.,10,1
47,"영화 끝나고 나서도 계속해서 ""딴 따다다다 딴 따다다다..."" 음악의 여운이 남는다... 그 카리스마 짱인 교수님의 손끝 연기도... 자꾸 신동엽이 생각나거 큰일 ㅋㅋ  음악과 연기만으로 대단한 영화... 그러나 시나리오는 쫌.... 자~ 우리 모두 드럼을 배워봅시다...",8,1
48,음악영화중 굿,8,1
49,음악에 미친 두 사람,8,1
50,"열정, 광기, 헌신, 긴장이 잘 드러난 음악 영화",10,1
51,아직도 못잊음... 인생영화급,10,1
52," 좋아하는 일에 빠져들고, 최선을 다한다.  그것이 너무나 잘 보여서 좋다.  군더더기 없이 쭉 빠진 연출이 답답함을  풀어준다.",9,1
53,미친 영화. 이 문장이면 된다.,10,1
54,달리는 말에 채찍질하듯,8,1
55,미친영화,9,1
56,와..................,10,1
57,라스트 드럼연주 원더풀 ,9,1
58,드럼이 매력적인 악기라는 것을 처음 알게된영화. 나도 저렇게 미칠수 있을까,8,1
59,"천재들은 노력이 99%, 1%의 천재성이라더니.. 할말을 잃게 만들고 이 정도면 됐겠지 하던 내 모습이 한 없이 작아보이고 부끄러웠다",10,1
60,.,10,1
61,영화 전반의 전율을 이길 수가 없다. 악기부터 그 교수님의 찰진 욕설까지.,9,1
62,"그래도 너무 심한 선생이 아닐까 하면서도, 그렇게 최고의 제자가 탄생했다! 라스트 연주씬은 정말 손에 땀을 쥐게하는 흥분과 전율이다",9,1
63,재밋어욤 덩기덩 쿵덕덕,10,1
64,나도 모르게 몸이 반응했던 영화다. 스승이 스파르타식 가르침에 감동도 있었지만 자기 사익을 추구함에 있어 뒷맛이 씁쓸했지만 영화 자체로는 대단한 영화다.,10,1
65,노력해라!! 나에게 교훈을 주는 영화,8,1
66,영화가 허접함,0,0
67,진짜 재밌네요,10,1
68,최고의 결말! 미쳐야 이룰 수 있다.,10,1
69,나도 한번 무언가에 열정을!,10,1
70,몇번을 봐도 뜨거워지는 영화다  대단하다 최고다 진짜,10,1
71,최고는 그냥 만들어지지 않음. ,10,1
72,휴~정신 못차리게 몰아친다.,10,1
73,인생영화 이걸 볼려고 태어남,10,1
