,document,score,label
0,"자전차왕엄복동,클레멘타인,성냥팔이소녀의재림에 맞붙을 수 있는 훌륭한 영화",0,0
1,이런 영화 결말은 해피엔딩 뻔하지만 이런 뻔한 결말을 어떻게 통쾌하게 마무리하는지가 중요함~ 배우들의 개성 있는 캐릭터가 코믹하게 재미 있었고 카메오 보는 재미도 있었음~ 다만 악역들이 좀 허술하고 중후반 유치한 감이 있었음~ 마지막 결투씬은 베테랑 보는듯 했음~,9,1
2,걸복동,1,0
3,1.시작부터 남경이 물통 못 꽂는데 그걸 여경이 한손르로 꽂음 2.일단 남경들이 여경들한테 뭐라함(남자들이 여자를 구박하는 장면 즉 남자들은 여자들에게 편견이 있다고 생각한는 편견이담김;;결국 편견을 까려다가 다른 편견을 말하는것) 3.여경이 혼자다함 4.남자범인밖에 없음 5.성추행범이 또남자임(이건쫌 그럴수 있음) 6.남자 범죄자가 오줌을 쌈 7.여경이 그럼 바지벗으라는 말을 함 8.남자들한테만 쌍욕박음 ㅡㅡ 이게 모두 합쳐져 그냥 남자들의 장점을 다 없에고 남자들은 단점을 극대화하고 여자들의 단점을 없에고 여자들의 장점을 극대화시킨...이게 실제로 일어난 상황이라는게 믿겨지지 않을정도네요.가장 최악인건 오줌싼 남자한테 바지벗우라는 말을 한겁니다.아니 여자가 바지벗으라고하면 성추행이 아니고...최악..,1,0
4,케이블로 보았어요. 요즘 텔레그램 사건과 많이 비슷해 보였어요. 힘없고 약한 사람들만 범죄의 대상이 되어야 하는 현실. 이런 사건을 보면 경찰 친구 하나 없는게 서럽기도 하고요. 성범죄 몰아냅시다.,9,1
5,ocn.재밌게봄ㅋㅋ,9,1
6,예전에  볼때는  픽션인줄  알았는데  이게   현실이라니..  아니  현실이   영화보다  더하다니... ,9,1
7,"사회적 주제말고는 여형사들의 모습이 현실성이 전혀없다, 소설인가?",4,0
8,이 영화가 개봉한지 꽤 지났는데 아직까지도 비슷한 일들이 일어나고 있다는 것이 안타깝습니다. 뭔가 찔리는 게 있는 사람이 아니라면 피해자들의 아픔에 공감하고 나쁜 사람들을 보고 분노하는 것이 당연하지 않을까요?,10,1
9,나쁜놈들 잡는 평범한 영화인데 어디서 기어들어온 찌질남들이 마구마구 열폭하는 영화 ^^,10,1
10,개그코드가 맞았다 열연과 스토리 굿!,10,1
11,근래에 티비보며  이만큼 웃은적이 없음. 웃긴포인트가 좀 다른데 재미져요^^,10,1
12,너무 재밌고 서사도 대박!,10,1
13,왜케 수영이 인상깊지 ㅋㅋㅋ 일상연기같았음 ㅋㅋㅋㅋ,8,1
14,재미있었어요. 현실감 있고 코미디 요소도 있고 무슨 이야기를 하고 싶고 이야기 전개가 어떤식으로 흘러가는지 잘 이해가 됐습니다. ,10,1
15,현실을 설명한 영화,10,1
16,영화보다 더한 현실세계,9,1
17,오바스럽지 않게 유쾌했다. 라미란 염혜란 배우 ㅋㅋ그리고 깨알같앗던 까메오들 ㅋㅋ,9,1
18,최고,10,1
19,이성경 경찰쪽팔리다고할때 울컥하고 영화는 존잼,10,1
20,명절 마지막 날 ㅠㅠ 걸캅스덕에 실컷 웃었네요! 잘 봤어요~,10,1
21,난 생각보다 재밌음,10,1
22,속이 시원해서 8점 준다,8,1
23,꿀잼,10,1
24,최고 정말 멋져요,10,1
25,진짜 현실반영 오져서 속상하네요 영화는 개꿀잼,10,1
26,걸캅스2도 만들어 주세요,10,1
27,재밌어요ㅎㅎ ,9,1
28,존잼이에요!!,10,1
29,박장대소 했어요,10,1
30,재밌어요 ㅋㅋㅋㅋㅋ,9,1
31,배꼽빠져요 진ㅉㅏ ㅋㅋㅋㅋㅋㅋ,10,1
32,재밌게 봤어요 ,10,1
33,재밌어요,10,1
34,보고 너무 웃겨서 계속 빵빵 터졌네요 ㅎㅎ,10,1
35,잼남,9,1
36,갸존잼,10,1
37,재밌게 잘봤어요!,10,1
38,블랙독보려다가 이거 계속 시청했어요,10,1
39,재밌네요~,10,1
40,존잼ㅋㅋㅋㅋㅋㅋㄱㅋㄱR탕 영화도 이런 소재던데ㅋㅋㅋㅋㅋㅋㅋ재밌는건 매한가지~,10,1
41,깔깔 웃으면서 재밌게 봤다,8,1
42,설 마지막 날에 재미나게 웃었습니다! 배우들 모두 연기 좋았어요! Good~,10,1
43,라미란 ... 믿고 보는 배우,10,1
44,시사성.코믹성.시대성있음.,10,1
45,웃고 즐길 수 있는 영화 간만에. 많이 웃었네요,10,1
46,평점이 낮아서 별로인가했는데 재밌어요.  코믹하면서 얼마전 강남 그 사건처럼..,9,1
47,최고~~,10,1
48,"설특선으로 봤어요 기대이상으로 재밌어용 영화관에서 볼 걸,,,,,",10,1
49,이거 클럽에서 약물강간 하는 남자들 경찰이 잡는 내용,10,1
50,재미있어요.,10,1
51,기대이상,8,1
52,잼,10,1
53,이픈ㅋㅋㅋ김동사람했어요,10,1
54,쪽팔린다 짭 새들 민중의 지팡이 는 개뿔,7,1
55,진짜 존잼 이시대를 딱 반영한 영화였네요^^,10,1
56,"성냥팔이 소녀의 재림,클레멘타인을 이을 걸캅스는 가히 최고의 명작이라 해도 과언이 아니다",10,1
57,기대하지않았는데 재밌네요. 재밌으면서도 뭔가 싸하네요.,10,1
58,이런,9,1
59,ㅇ,10,1
60,아마 평점테러 한 사람들은 남자일거라 생각함,10,1
61,왜봣을까 기분씹똥망 라미란 아줌마는 주연급 아님을 증명한 영화 (19.5.17 파주이채메박),2,0
62,좋은 영화네요^^,10,1
63,재미있습니다.,10,1
64,라미란 배우님과 이성경 배우님의 케미가 돋보였고 스토리도 좋았어요!,10,1
65,지루하지 않네요,10,1
66,우연히 ocn에서 영화를 보았다. 정말 두번이나 보았다. 또 보고 싶다. 요즘 누구랑 딱 맞는 경찰이야기이다.,10,1
