,document,score,label
0,전투장면을 상상하고 본다면 실망 스럽겠지만 보는내내 내가 한가운데 서 있는 느낌이었어요 초반에 들것 들고 배에타는게 뭐라고 그렇게 긴장 되던지... 연출과 음악의 힘이겠지요 이 영화 알게해준 설민석의 벌거벗은 세계사 고마워요~,10,1
1,절제한 감정선과 눈부신 화면으로 비장함을 이토록 잔잔히 표현 하다니 과연 놀란 감독이다 아이맥스로 못 본 것이 아쉽다....,8,1
2,"2차세계대전 초반 독일군 공세에 밀린 연합군이 프랑스 덩케스트에서 영국으로 철수하는 과정을 그린 실화, 내용은 좀 단순하지만 전쟁의 장면 잘 묘사하고있다.",10,1
3,"후퇴작전도 영화가 될 지 궁금했는데, 시퀀스마다 산자와 죽은자를 대립시키는 냉혹함을 보여주더니 어느 새 수십만이 산자로 바뀌는 희열을 터뜨린다.",9,1
4,"총알이 빗발치는 전장터 한복판이 아닌, 후퇴를 준비하는 뒷모습, 전쟁의 이면이 오히려 더 주요할 수 있다. 덩케르크라는 역사 한 토막이 참 흥미롭다.",7,1
5,70mm대화면으로 직관하지 못한 '아라비아의 로렌스'를 봤다고 해도 봤다할 수 없듯이 이 영화를  아이맥스에서 감상하지 못했다면  '덩케르크'의 진면목을 모른다고 해야할 것이다.  그것은 전혀 다른 영화가 된다.  아이맥스 상영의 시작은 자연다큐였다.  이 작품엔 바다와 하늘이 끝없이 펼쳐진다.  아이맥스가 본원을 찾은 것이다.  그 화면은 실로 황홀하다.  이야기 구조는 다만 조연일 뿐이다.  ,9,1
6,군인들의 감정을 정말로 잘 표현해준 영화.,10,1
7,덩케르크 철수작전을  육ㅡ일주일의시간 해ㅡ하루의시간 공ㅡ한시간 으로 보여주기때문에 세가지의 시간이 다 다르다 하늘은시간이천천히가고 땅은빨리간다 육해공의 시공간이 딱 만나는부분이 클라이막스다 연출이천재다 역시놀란,10,1
8,전쟁중엔 말이 필요없겠죠? 아마 말이 안나올지도.. 대사가 별로 없지만 현장에 있는듯 실감나는 표현이 2시간 내내 집중하게 되더이다,8,1
9,전쟁영화중 최고가 아닐까 싶은영화 한스짐머의 배경음악이 영화에 더 잘 몰입하게해주는것같다,10,1
10,병사들을 구하기 위해 민간인 배가 수백 척 덩케르크 해안으로 들어오는 장면이 인상적이었다. 세월호 때 학생들을 구하기 위해 해경보다 민간 잠수사와 배들이 와서 적극 살려낸 일이 생각났기 때문이다. 영화 '다키스트 아워'에서 처칠 수상의 갈등과 결단을 내린 이야기와 함께 보면 더 잘 이해가 된다. 영국인들에게는 긍지와 애국심을 불러일으키겠지만 다른 나라한테는 전 세계에 식민지나 넓히던 나라가 무슨... 생각하기에 따라 씁쓸한 영화이기도 한다.,7,1
11,색다르네요 ,10,1
12,2차대전의 배경의 영화들이 늘 그렇듯 덩케르크또한 독일은 침략자이고 가해자이며  영국은 피해자이자 조국을 수호하는 정의로운 편이란 걸 심하게 드러낸 영화들의 한 부류일뿐.  처칠을 영웅시하고 영국군인들의 처신을 미화한 부분에선 넘나 심기불편했다.   영국이란 나라가 아시아와 미주 호주 대륙 인도등 전세계에 끼친 잔인무도한 침략을 한번이라도 이해한다면 그들의 피해자 코스프레는 심히 가증스럽기만하다.. 영국의 정당성 이런것들이 쌓이면 세계인들은 자연스레 그들이 만든 영화에 의해 거짓도 진실처럼 받아들이게된다.  과연 독일은 잔악한 가해자이며 전쟁광들인가. 이는 누가 누구의 편에서 말하는가에 달린것.  지금도 영연방 52개국이 여전히 영국의 정치적 군사적 영향력아래 commonwealth 라는 이름으로 묶어져 있,5,0
13,이야~  철수하면서 파괴도 안 시킨 그 수 많은 무기와 탄약들은? 영화에 안 나오네? 그게 모두 독일군 수중에 들어갔을텐데..... 영국도 국뽕  지리는구나.,2,0
14,정도를 지나침은 미치지 못함과 같다.,3,0
15,눈보라가 휘날리는 바람 찬 흥남부두 쯤은 봐야지 아~ 이 정도는 돼야 철수작전이구나 하지.,8,1
16,관객들이 덩케르크를 체험하게 만드는 놀란,9,1
17,시작부터 끝까지 시간가는 줄 모르고 봤습니다,10,1
18,처음부터 끝까지 쫄깃쫄깃하네요~~^^ 음악까지 긴장감을 엄청 고조시켜줘서 너무너무 좋았어요~,10,1
19,말이 별로 않나오지만 집중된다,9,1
20,기름기를 싹 뺀후 초창기 메멘토 만들던 시절로 돌아와 만든 놀란 필모중 최고작이자 정점으로 남을듯한 영화 작품들에서 가끔씩 지적받았던 단점들은 최소화되고 장점들은 극대화되며 놀란 특유의 편집능력까지 정점을찍은 작품이지 않을까 싶음,10,1
21,ㄱ,10,1
22,.,10,1
23,..,5,0
24,볼만한 영화,7,1
25,잠깐보는데도 일단 음악과 장면연출에서 일단 내취향이란 감이온다,8,1
26,평식이 형이 7점을 준 영화다.,10,1
27,큰 틀에서의 색다른 접근.  하지만 부분들이 별개로 흐르는것 같아 아쉽다.,6,1
28,.,5,0
29,시간과 생존이 대립하는 놀란의 독창적 서사,8,1
30,스피릿 조종사의 연료 계측을 계기판에 적어놓으면서 눈동자의 흔들림. 군인은 감성적이지 않고 충동적이지도 않지. 모두 계획이 있어서 나온 결과는 그 해변의 불꽃으로 다른이름이 될것이다. 다시돌아올것이다 젊은군인은 군모를 놓지않아.,5,0
31,.,10,1
32,하늘 땅 바다 살기위해 목숨을 바친다,6,1
33,"아주 만족입니다. 음악이 너무  영상과 딱 들어맞기에 음악감독이  누구인가 했더니! 역쉬, 제가 제일 좋아하는 한스짐머더군요^^",10,1
34,"영국국뽕 들먹이며 불편을 호소들 하시는데... 내가 보기엔 어느국가나 이념을 떠나 전쟁터에 내몰린 어린군인들  그리고 그들을 구하기 위해 목숨걸고 헌신하는 사람들 그냥 그런 인간애에 초점을 맞춘 것 같다 .. 영상미 , 등장인물들의 심리를 기가막히게 표현하는 음악... 그리고 스토리까지 완벽한영화 흥행에 성공하지 못한 이유가 의문이다",10,1
35,감동적이고 놀랍네요 구출작전이다보니 전쟁부분은 거의없음 긴장감도 부족,8,1
36,놀란 짱,10,1
37,..,7,1
38,결국 끝날때까지 응가는 못했다는..ㅋㅋ,5,0
39,"너무나 사실적이고, 부자연스러운 장치나 의도를 최소화하고 있는 그대로 표현해냈다. 그렇기 때문에 약간의 지루함이 있었다. 하지만 때때로 이런 영화를 보는 것도 좋다.",8,1
40,기대만큼은 아니다. 그냥 한번 보고 말 정도,7,1
41,재미씀!!!!,10,1
42,촬영기법이 아깝다 내용은 볼거없고 별감흥도  전투씬은 거이 없고 도망가는 내용이라  굳이 영화화 필요했을까  ,1,0
43,마블세계관과는 다른 처절한 현실 그것이 바로 전쟁! 전쟁은 바로 이런 것이다라고 말하고 싶었겠지만 도버해협과는 동떨어진 삼면이 바다로 둘러싸인 동양의 작은 나라 사람으로썬 조금 불편한 그들만의 애국심! 그래도 영화는 퍼펙트,10,1
44,대한민국 영화감독 이고  자금만 있다면 아무나 만들수 영화,2,0
45,모두를 위한 위대한 선택,8,1
46,기대안하고 봤는데 전쟁영화치고 잔인한   장면도 그다지 없어서 잔잔하게 볼만하네요,9,1
47,지루하다는 평이 있어 별로 기대안했는데 역시 놀란... 전쟁터 한복판에 있는듯 감정이입... 정말 재밌게 봄,10,1
48,소리없는 아우성으로 수십만 대군의 목숨이 달린 전장의 일주일을 돌파하는 장엄한 서사,9,1
49,일본과의 경제 전쟁. 대통령 담화문까지 나왔다. 이제 잡혀먹히느냐 아니면 따돌리고 도약하느냐의 생존 싸움이 시작됐다. 당장은 우리가 당할 수밖에 없다. 하지만 국민들은 싸울 준비하고 기꺼이 맞서겠다고 힘을 모우고 있다. 다시는 일본한테 당하지 않겠다는 게 우리들 모두의 마음이다. 아베는 기어코 과거 제국의 태양이 되기 위해 개헌을 할 작정이다. 전쟁을 원한다면 피하지 않는다. 확실히 말할 수 있다. 분명 아베가 먼저 바다에 쳐박힐 것이다.,7,1
50,해리♡,10,1
51,역시 놀란은 놀란!,2,0
52,지루할수도 있는거지 영화 볼줄 모르네 타령하며 난체하는 인간들이 가장 한심.. 음악은 좋았다.,6,1
53,생존을 위한 40만명의 숭고한 사운드...,9,1
54,전쟁은 싸움이 아니라 생존이 목적.,10,1
55,전쟁영화를 이렇게 높은 수준으로 올린 영화도 드물듯 놀란이라는 감독의 명성이 그냥 얻어진게 아닌걸 알겠음,8,1
56,놀란은역시 천재인걸 다시확인한영화,8,1
57,"""단지 살아돌아왔을 뿐이예요"" ""그거면 충분해""",9,1
58,품격있는 영화 ,10,1
59,소수의 시각으로 담담하게 표현한 듯하지만 놀란 특유의 긴장감으로 평탄한 듯 굴곡이 있던 작품입니다. 영화 볼 줄 모르는 사람들에겐 아까운 영화... 부디 날아다니며 뿅뿅뿅하는 SF판타지만 보시길...,8,1
60,내가 영화를 끝까지못본거는 처음 ㅈㄴ지류하네,1,0
61,"역대급 서스펜스,공포 그리고 전쟁액션영화가 아닌 전쟁체험영화",10,1
62,역시 뛰어난 연출 그러나 조금 늘어진다,9,1
63,최악으로 지루한 졸작 영화   0점도 아까움   끝까지 못본 영화는 최근엔 처음이네요,0,0
64,눈뽕만 맞다가 아날로그식 촬영 필름 보니까 다르구만 졸잼  극장에서 못본게 실수다.,10,1
65,"당시 군인들의 심리를 이해 할 수 있는 유일한 방법은 아마도 당시의 상황을 카메라로 비춰주며 적절한 음악효과를 넣는 것이다. 크리스토퍼 놀란 감독은 화려한 전투씬을 버리고 묵직하게 당시의 상황을 표현한다. 어떻게 보면 이 영화는 단순한 전쟁영화 같지만, 조금이라도 자세하게 들여다보면 그 속에는 놀라운 발상이 들어있다. 또한 부자비하게 떨어지는 폭탄들은 그 당시 전장의 모습을 더욱 더 생생하게 채험 할 수 있고, 더불어 관객들의 공포심도 배로 늘려주는 장치이다. 따라서 한줄평은, 전장 한 가운대에서 피어난 인간미 -2017. 8. 9 롯데시내마 대전 둔산점 관람",8,1
66,핵노잼~ 전투씬도 허접,0,0
67,진짜 재미없음 별 1개도 아깝고 지루함 정녕 인셉션 감독이 만든작품맞는지 의문,1,0
68, 잘 표현함,7,1
69,말이 필요없는 최고,10,1
70,역사적 내용을 알고 봐서인지 재미는 그닥,6,1
71,재밌고 긴장감 넘쳤다. ,10,1
72,보이지않는 긴장감이 느껴지는 영화,7,1
73,"꼭 영화관에서 봐야하는 영화,  감독은 마치 전쟁터 한복판 같은 사운드 효과로 관객을 전쟁터로 밀어부친다.  다시 평화롭고 조용한 영화관 밖으로 나올때 느낀 안도감은 어떤 영화에서도 느낀 적 없는 느낌. 평화는 중요하다. 전쟁을 경험한적 없는 세대에게 평화의 소중함을 느끼게 해줄 영화. ",9,1
74,전쟁에서 빠져나오려는 자 ! 전쟁속으로 들어가는 자 !! 전쟁속에 있는자!!!,8,1
75,큰 감동은 없지만 당시의 어린군인들이 얼마나 학살됐었는지 알수있었음... 덩케르크 패잔병들의 부끄러움은 오히려 전쟁의 승리라 말하는 것에서 감동했음,8,1
76,좋은 전쟁 영화,8,1
77,영상미와 전개는 좋았지만 다소 영국 중심적인 포인트가 많이 보였다,10,1
78,"흔히 보아왔던 전쟁물에서의 리얼한 액션, 혹은 전쟁영웅의 애국심같은게 주제가 아니라 생존을 위한 몸부림이란 점에선 꽤 신선했지만 영화가 집중이 잘 안되는군요. 별로 재밌는지도 모르겠고.",4,0
79,최고다.,10,1
80,"너무나도 사실적이고 절제된 영상을 통해 무방비 상태의 관객을   전쟁터로 끌어 들이는듯한 묘사와  전쟁 상황에서의 인간 군상들의 생존욕과 이기심을 적나라 하게 묘사했더군요..  전쟁은 배경일 뿐, 본질적으로는 인간 본능에 대한 분석과 역사적 사실의 극히 현실적인 재현이 마음에 들었습니다.",7,1
81,우리나라는 가끔 이상하게 열풍이 부는 거 같다 고증은 철저 했는지 몰라도 재미는 없는데,7,1
82,ㆍ,6,1
83,뭐 이런 삼류영화가 다있어 전쟁씬이 진짜 허접하다. 누가 왜 평점을 이렇게 높게 준거냐? ,1,0
84,크리스토퍼 놀란이 오직 인간에 집중했을 때 벌어지는 경이로움,9,1
85,"존경심과 숙연함에 치중하느라, 재미와 스펙터클을 담는 걸 잊은 듯 하다. 지루하다. 스케일 크다더니 낚인 느낌.",5,0
86,믿보,8,1
87,전쟁은 소재일뿐. 마음 속 잔잔한 드라마,10,1
88,영화를 한편에 대서사시로 표현하면 이런 걸까...엄청난 스케일에 전쟁씬과 영화내내 압도하는 사운드가 장관을 이루는...하지만 중반부터 엄청난 졸음에 견뎌야하는...,6,1
89,전쟁에서의 비극과 삶에 대한 집념을 잘 묘사한 영화 입니다.,9,1
90,품격이 다른 전쟁 영화,7,1
91,놀란감독이라서 사람들이 의미부여가 큰듯.,3,0
92,"너무 기대를 했나? 사실적,심리적 묘사는 훌륭하나 맥빠지는듯한 스토리 전개는 흠이다!",6,1
93,전반 1시간 가량은 무시무시할 정도로 완벽했는데...,8,1
94,재개봉했으면 좋겠다‥또보고싶다,10,1
95,"살아남고자 하는 의지, 공군이나 민간인이나 각자의 위치에서 마지막까지 최선을 다한 사람들... 후반부 들어선 계속 눈물났음 ㅠㅠ 역시 크리스토퍼 놀란. ",9,1
96,수면제,4,0
97,난 이거정말만족 아이들도볼수있게 피도안나오고 감동적이었다,10,1
98,소문난 잔치에 먹을게 없다.공중전 빼고 철수작전의 하이라이트인 민간인등의 대규모 철수영상이 없음. 철수작전의 하이라이트에서 핵심이 빠진 맥빠짐,5,0
99,스토리는 부실한거 같으나... 공중전 묘사는 진짜 잘해놨다,9,1
100,언론에서 하도 띄워서 너무 기대하고 봤나... 이건 전쟁 영화는 아니고 그냥 드라마다,3,0
101,역시! 크리스토퍼 놀란 감독이었습니다. ^^ 연출력이 좋았어요. 배우들 연기가 살짝 아쉬웠던 것 빼고는 다 좋았어요. ^^ ,9,1
102,"3번이나 봤다...피튀기는장면 하나 없이 전쟁의 잔혹함을 느낄 수 있다는 게 놀랍다...날 것의 영상미와 한스짐머의 음악, 각본이 잘 어우러진 수작.",10,1
103,92/0,9,1
104,역대급 개쓰레기 이걸 굳이 만든 이유가?,0,0
105,감독의 의도가 고스란히 들어났으나 내 기대는 이런게 아니었다규.,7,1
106,각본이 좀 부실했지만 보는재미 듣는재미가 커서 카타르시스를 느낄수 있는 묘미,9,1
107,전쟁 끔찍하네요 이 영화 처럼,4,0
108,시시각각 다른인물들의 상황을 보여주는데 몰입해서보면 정말재미 있는영화다.톰하디 짱~,10,1
109,전쟁에 내몰려진 어린 젊은이들의 공포와 삶의 욕망,8,1
110,살다보면 종지부라는게 필요하다.  부칸한테 돈 바쳐가며 노예로 살것인가?,9,1
111,덩케르크 철수작전의 묘미는 해안을 통해 철수하기 위해 벌어지는 영국과 프랑스 벨기에 육군의 피튀기는 과정이 주된 것인데 그런건 다 생략하고 철수작전의 마지막 부분만 보여주는군 덩케르크 철수작전은 이런게 아니야 막힌 퇴로를 뚫으며 수많은 공격을 받으면서도 해안까지 퇴각하는 육군의 처절함을 보여줬어야 함,4,0
112,위대한 철수 작전!! 이 작전의 성공으로 인해서 다시 반격할수 있는 계기가 된 작전 ,10,1
113,전쟁은 어떤 이유로든 일어나지 않아야 한다.  전쟁 앞에서 어떤 개인도 어떤 존재도 어떤 의미도 아무 것도 아닌게 되니깐.....우리가 지켜왔던 어떤 것도 무너지게 되니깐  ....제발 정신차리자,9,1
114,"거대한 소용돌이 같은 전쟁속에 던져진 작고 힘없는 개인들이 단지 살아남기 위해 하늘과 땅(해변), 바다에서 펼치는 생존을 위한 몸부림을 절제된 사운드와 함께 보여준다. 죽음의 공포 앞에 드러나는 인간의 한계와 때론 그 한계를 넘는 위대한 인간성에 대해 이야기하는 수작. 놀란의 작품 답게 시간을 뒤섞어 놓는 편집이 교차지점에 이르고 모든 아귀가 맞아가는 그 순간에 몰아치는 한스 짐머의 음악이 영화의 감동을 완성한다.",9,1
115,아 이건 무슨 보는 내내 울었다 내가 이상한건가? 군시절 폐소공포증 비슷한것이 온적이 있는데 그 경험이 그대로 느껴졌다  살고자 하는 의지 극단적 상황  그들을 살리려는 아버지와 형제 독일군은 한번도 나오지 않았지만 충분히 공포스러웠고  삶과 죽음앞에 정의는 의미가 없었지만 그게 오히려 공감가는것이 미안할 뿐 전쟁앞에서 국가와 개개인 가족이 느끼는 바를 모두 보여준 대작이었다고 생각한다,10,1
116,사운드가 너무 좋았어요 긴장감을 북돋아주는 사운드. 역사적 배경을 알고보니까 더 흥미롭게 볼수있었구요 3개의 공간이 겹쳐 하나가 되니까 감동도 3배가 되는거같아요 전쟁영화 좋아하시는 아빠께 추천드릴래요!,10,1
117,사피엔스라는 종이 보여준 동족에 대한 잔혹함과 사랑.,9,1
118,21세기 무성영화 라는 말이 맞는거 같다. 화려한 언어유희와 자극적인 묘사가 없이도 충분히 내가 전쟁터에 있는 듯한 체험을 할수 있는 영화. 역시 놀란 감독과 한스짐머의 조합은 엔딩 크레딧이 올라간 후에도 계속 그 감동을 연장시키며 지금도 생각나게 만든다.,9,1
119,이게 뭔 영화냐 그리고 조국조국하는데 뭔 국뽕이 심허냐,0,0
120,아이들 구하러 간 소형 선박들을 내쫒던 그 날과.. 참. .오버랩 됩디다.,9,1
121,사실감 있는 실제의 사건을 잘 봤습니다.,8,1
122,톰 하디가 수용소 탈출하는 스토리로 속편을 제작해야 한다.,8,1
123,잔인하지 않은 전쟁영화이지만 몰입된다 이번 영화는 놀란이 담백하게 만들어서 색다른 전쟁영화였던것 같다.,8,1
124,논란 없는 놀란의 최고작!!,9,1
125,사전지식 없이봐서 중반까지 무슨영화인지 무슨상황인지 몰랐다. 밋밋하네,6,1
126,"크리스토퍼 놀란 감독 작품 3개를 봤었다. 다크나이트, 인터스텔라, 인셉션. 한 번도 실망한 적 없었는데 덩케르크는 실망이 크다. 해외사람들이 우리나라영화 명량을 보면 이런 기분일까 싶기도 하고...이 영화가 말하고자 하는 바는 알겠다. 전쟁의 양면성을 그린 영화다. 참혹하지만 그 이면에 숨겨져 있는 국민의 애국심, 합동심을 볼 수 있는 전쟁의 또 다른 이면. 하지만 영화라는 것은 스토리가 있어야 한다. 등장인물들의 색채나 색깔없이 그저 탈출의 욕구나 애국심이라는 미명 하에 행동하는 캐릭터를 보고 있노라면 이게 다큐멘터리인지 영화인지 사실 분간이 안 간다. 크리스토퍼 놀란 좋아하지만 이번 영화는 확실히 별로라는 생각이 든다. 실망이 크다. 이 영화는 5점이 적당하다.",1,0
127,뭔가 시간을 꼬아놨는데 딱히 .....,5,0
128,끊임없이 이어지는 전쟁의 긴장과 공포. 너무 멋진 파일럿과 뜬금없는 구세계와 신세계 타령만 아니었어도...,8,1
129,히어로도 없고 숭고한 희생을 크게 부각시키지도 않은 실제와 가까운 묘사 #씨9네마,9,1
130,"생존의 의미,우리 곁의 영웅",8,1
131,역사적 사실과 놀라운 편집이 만들어낸 신기원 ,10,1
132,흥남철수의 시간은 각기 다르게 흘러간다. 살아 남은 자가 강한 것이다.,7,1
133,좋은 소재에 쓸때없는 연출과 제작비를 퍼부은 느낌. 지루하기 짝이 없다.,5,0
134,잘 만든 것 같긴한데 솔직히 몰입이 잘 안되네,6,1
135,"다른 나라의 역사이긴 하지만, 감동이 있다. 그리고 그 긴장감을 잘 엮어냈다",7,1
136,놀란 감독~ 영화 잘 만드네.,8,1
