,document,score,label
0,"감독이 화면마다 포인트를 지나치게 많이 심어둠.  후반부 애잔한 클래식 배경음악도 너무 넘치고. 계절적으로 그림엽서 풍 장면들도 과해서, 원작영화와 같은 과부족 없는 감동은 잘 오지않음.  많이 어둡고 남루한 소도구들이 넘치고... 독특한 청춘 남녀 애정물이 사회물의 경계로까지 번져가다니... 조제,호랑이는 어떻게 사랑에 빠질까 못지않게, 어떻게 사랑을 놓쳐야 하는가의 두 기둥이 중요했는데, 본 조제는 뒤쪽을 과감히 버림으로써 패착임.  사랑의 시작은 모든 영화가 가지고 있으나, 이런 사랑을 버려야 하는 남주, 혹은 버려지는 여주의 지점에서 관객이 격하게 눈물 쏟던 원작을 기억하자니 몹시 결핍된, 서글픈 느낌임.",7,1
1,눈이 부시게 남주혁 연기가 너무 인상적이어서 남주혁의 조제 남자주인공 연기도 정말 기대가 많이 됩니다. 그리고 눈이부시게에서 남주혁 한지민 케미가 좋았기에 더더욱 빨리 보고싶어요!,10,1
2,"명작하나가 또 이렇게 맛가겠네.. 일본 감성을 그대로 가져오면 그냥 망한다, 여태 일본 좋은 작품들 한국에서 리메이크해서 제대로 되는 꼴을 못봤다",5,0
3,올해 본 영화중 가장 재미없는영화 입니다,2,0
4,영화를 아주 조제버렸네,4,0
5,댓글들..너무 티남...ㅋ,6,1
6,눈이부시게 보고 한지민 남주혁 주연 영화 기다리고 있습니다~ 너무 기대되네요~,10,1
7,한지민이 조제로 나온다고 해서 10점 만점에 10점! 믿고 보는 한지민,10,1
8,"별점 알바 풀어놨는가 싶네요.  원작 영화 보신 분들이라면 이번 한국판 리메이크가  얼마나 겉멋만 들어 때깔만 좋게 만든 개살구 같은 영화임을 아실 겁니다.  원작에서 조제와 남주인공 그리고 남주인공의 원래 여친은 완전히 공감할 수 있는 인물들,  그들의 아픔과 기쁨, 분노, 상실감이  전부 영화를 통해 느껴지고 공감할 수 있었습니다.  반면 이번 한국판은 배우들이  '우리 이렇게 슬퍼요~' ;우리 이렇게 아름답지만 애잔해요~' 라고 떠들기는 떠드는데, 공감이나 감정 이입이 안됩니다.  그냥 얘네 왜 이러나 싶네요.   왜 궂이 완벽한 작품을 리메이크 해서 스스로 먹칠을 하는지 이해가 안됩니다.",1,0
9,원작 망치지마라  제발  손예진 소지섭도 말아먹었는데 무슨깡으로 만들었냐?? 자비로제작했나?,2,0
10,와...다음 영화 아주 망했네. 시스템 개편으로 알바판을 화려하게 짜놨어.,1,0
11,댓글알바....노답 진심지루하고 감정선 이해할수없음...,1,0
12,귀만 자르면 고흐라고 생각한 감독이  자신도 아닌 남의 귀를 자른 영화...아..아니지...관객의 기대를 죽이고..배우도 죽이고..지은도 뜬금없이 또 죽이고,1,0
13,원작을 보지 않았다면 6점이라도 줬을걸.... 원작의 다양한 에피소드를 너무 축소해서 지루하고 지나치게 어둡게 만들어 실망. 원작에서 깊은 감동을 받았던 내 추억 돌리도~~,5,0
14,최고의 여배우 한지민!!조제도 대박 응원해♥,10,1
15,남주혁 기대 많이 하고 있습니다. 언제 개봉 하나요!,10,1
16,기대됩니다~~,10,1
17,기대중입니다 빨리 보고싶어요,10,1
18,초반에 긴장감이 좋았는데 점점 지루해지더군요.,6,1
19,너무너무 지루.우울. 내돈 13000 아까비,1,0
20,지루하고 지리하고 지루하다. 이상한 인과관계는 덤.,3,0
21,아~ 이걸 영화라고 ... 해도 너무하네 세상이 어려워도 우리 이러지는 맙시다.,1,0
22,엄청 기다리고있어요 남주혁 화이팅,10,1
23,"돈 주고 보긴 아깝네요. 감독이 뭘 말 하려는 건지도 모르겠고, 남주는 가식적인 인물,악어의 눈물. 멜로적인 부분은 거의 없음.",4,0
24,"바닥 수준 영화입니다. 무얼 말하고 싶은건지,,,?",2,0
25,굳이 일본 영화를 리메이크 해야했나.,1,0
26,조제 호랑이 그리고 물고기를 따라갈수 있을까.....,2,0
27,통통 튀는 원작을 졸리는 영화로... ㅠㅠ,3,0
28,도대체 끝은 이게 뭔가요?? 남주의 감정선도 대체 이해하기 힘들고.. 쓰잘데 없이 여교수 관련 내용은 뭔지..,4,0
29,"원작을 안봤다면 모르지만 많이 부족한 느낌. 명작을 리메이크 했을때의 리스크가 고스란히 보여진 작품. 사랑따윈 필요없어, 지금 만나러 갑니다 와 다를게없음.",3,0
30,지루함의 극치네 이것두 영화라구 찍엇냐? 평점을 남기는건 첨이다. 오죽하면...,1,0
31,12월 10일  넘나 기다려집니다,10,1
32,아니 굳이 왜 완벽한 영화를..? 일본의 과거의 악행들은 정말 용서할수없는 추악하고 악랄한짓이지만 영화만큼은 잘만든다. 일본영화의 특유의 느낌과 정서. 웰메이드 영화를 왜건드림..? 보나마나 뻔하다. 안봐도. 원작의 반도 못따라감.,1,0
33,내용이 무얼 말하고 싶은 건지 이해 못하겠고 보는 내내 너무너무 지루 했음. 올해 본 영화 중 당연 최악.,1,0
34,지루하고 지루해요 막 슬프지도 않고 그저그래요,4,0
35,일본영화를 이미 예전에 봤기 때문에 비교가 될수밖에 없는데....  일본영화는 좀더 솔직하게 감정을 드러냈다면 한국영화는 왠지 좀 있어보이려는 분위기로 간것 같다.  리메이크는 쉽지 않다 역시. 잘해야 본전인 경우가 태반.,4,0
36,이건 조제 리메이크가 아니다. 강약 조절 없이 너무 가라앉은체 끝까지 간다.  도대체 무얼 이야기하고 싶은건가...  원작 단편을 읽는걸  몇백배 추천한다.,5,0
37,"원작을 보고 봤으면 이거보고 다시보게 만드는 영화 , 원작을 안보고 이걸보면 원작은 어떨까 하면서 보는 영화 , 원작 홍보영화, 영화를 볼뗴 영화감독 보고 봐야겠음 , 나랑 안맞음, 영원히 안맞을꺼같음,  내가 무슨 캔디도 아니고 참고참고 또 참고 봐야했는지 시간이 아까움 이거 그냥 보지말고 원작보셈, 한 백만배는 더 잼있고 감동있음 난 지금도 내가 좋아하는 영화를 이따구로 만든것에 화가남!! 자신없음 만들지를 말던가,",1,0
38,엄청 기대했는데 실망이예요. 한지민씨 정말 열심히 잘하셨는데 원작을 다 담아내지 못하더라구요. 영화가 너무 어둡고 지루하고..안타깝습니다.. 남주혁씨도  잘하긴 했는데 뭔가 아쉬운.. 너무 축축 늘어져서  보는내내  ..ㅠ,2,0
39,극장에서 영화보고 뭔가 개운치 않다 생각했어요. 방금 넷플릭스에 2003년 조제 호랑이와 물고기 봤더니 이제 그 모든게 확실해지네요.. 일본은 극혐인데 영화는 20년이상 뒤처진 느낌..,1,0
40,넘 별로‥ ㅠ 영화가 일본영화보다 칙칙하고 노잼이에요,3,0
41,갈피를 못잡네요.,3,0
42,지루하고  어둡고  너무  늘어진다  보다가  빨리감기가 절로된다    꼭 이렇게  재미없게  만들어야했는지,3,0
43,조합 너무 기대된다 😍,10,1
44,"무슨 말도 안 되는 소리를 하느냐던 나는 너를 뒤로하고 떠나왔어. 꽃잎이 그러하고 낙엽이 그러했듯이 예쁘게 조용히 죽어간 우리의 과거, 사랑 그리고 이제 남은 건 미안함의 눈물뿐이네. (조제보다 영석의 영화가 된 점이 아쉽다. 그래도 한지민은 옳다!)",5,0
45,최악의 영화,1,0
46,진짜  어떻게 원작10퍼도  못살리냐 남주가 왜 여주에 떠나야하는 감정1도 못살리고 한지민때문에 걍끝까지 봤지만 최악이네ㅡㅡ,1,0
47,이 영화는 리메이크하지 말았어야 했다,2,0
48,원작을 보자 뭔가 있어보이는 암것도 없는 쓰레기영화,1,0
49,알바...,1,0
50,"이누도 잇신의 원작은 인생 영화인데, 리메이크판은 이정도면 원작 파괴 수준. 감독에게 도대체 뭔 생각을 하며 이따위로 각색한건지 묻고 싶다.",1,0
51,갈길을 잃어버리다.,2,0
52,조제 원작을 보고 10점을 준다고?????,1,0
53,죄송합니다. 예술이고 뭐고 50년살면서  이런 지루한 영화 처음봅니다,2,0
54,"진심 보지마세요. 영화 스토리도 없고, 원작⟨조제 물고기 호랑이⟩의 의미또한 무색해진. 어떠한 의미를 찾을 수 없는 영화임. 극본이 문제인지 감독이 문제인지 모르겠지만, 전달되는게 하나도 없습니다. 단순 장애인과 비장애인의 사랑의 어려움에 대해서만 나오고  내평생 이렇게 지루한 영화는 처음 봐요. 영상미도 없고, 스토리도 없고,  그렇다고 감동을 찾기에는 특출난 사건도 없이 잔잔히 흘러가느라... 찾는사람은 감정능력이 진짜 높으신거임. 하나부터 열까지 인물들 행동의 개연성도 없고  그나마 캐릭터성으로 끌고 가는 영화인데 남주혁은 특징없는 캐릭터고 한지민이 캐릭터로 밀고나가야되는데 너무지루하고....  주절주절 많았지만 진짜보지마세요..",1,0
55,클로즈업된 한지민도  일본영화 특유의 지루함을 상대하기 버거웠다. 잦은 풍경씬 또한 영화와 잘 녹아나지 않음.,5,0
