,document,score,label
0,뮤지컬을 런던에서 뉴욕에서 서울에서 본 적 있고 영화는 오늘 집에서 티비로 봤는데  그리 욕먹을 영화는 아닌 듯하네요. 혹평이 유행을 탔었나 봅니다. 전 남자지만 올드 듀터러너미 여성화는 굿센스라고 생각되네요.  관람 순서는 뮤지컬-⟩영화가 맞을 거 같아요. 저는 뮤지컬에서 놓친 디테일을 챙겨서 좋았던 관람이었습니다.,8,1
1,뮤지컬에서는  볼수없는 세세한 표현과 감정선 난 잘봤는데   웬 혹평이 이리 많은지이해안됨. 선입견없이 한번  보심 어떨까요~,9,1
2,"잘봤습니다.  뮤지컬 영화가 아닌 시네마틱 뮤지컬이라고 본다면 좋은 작품이었습니다.  약간 루즈하게 느껴질 수도,  스토리가 빈약하게 느껴질 수도 있지만 이 작품이 말하고자 하는 바는 그 줄기 위가 아닌 바깥에 있었다고 생각합니다.  혹평이 많아 궁금하지만 도전하지 않으신 분들, 생각보다 괜찮을 수도 있습니다.  고양이를 싫어하지 않으신다면, 추천합니다.",9,1
3,사람얼굴 바퀴벌레에서 훅 감 ㅠㅠ,7,1
4,재밌었는데 평점 왜이러지 뮤지컬을 본 사람과 아닌 사람들의 차이인가,10,1
5,이정도로  욕먹을 작품은 아니것같은데... cg가 조금 보기안좋긴해도 뮤지컬을 그대로 영화화한것같아서 보는내내 귀가 즐거웠어요!,10,1
6,뮤지컬의 생생함은 없지만 상상력을 가미한 넘  좋았던 영화.,10,1
7,"뮤지컬 무대의 현장감이 가진 아우라를 살릴 수 없는 게 아쉽지만, 나쁘지 않았다. ",9,1
8,동작 하나하나가  멋지고 아름답습니다 감동도 있고 한편의 멋진 공연 감상한기분,10,1
9,뮤지컬을 보신 분들이라면 내용을 더 잘 이해하실 수 있을 거 같습니다. 음악에 어깨가 절로 들썩이네요. 고양이들을 소중히!,10,1
10,"분장도 좋고, 배우들 진짜 고양이 같네요^^",8,1
11,바퀴벌레 빼고는 뮤지컬보다 영화가 나은 것같아요 ,9,1
12,뮤지컬보다 괜찮다고 느껴짐,10,1
13,오리지날 내한팀 뮤지컬 2번보고 오늘 영화보러갔는데 어차피 내용은 고양이 소개인거 알고 간거고 ..아는 노래와 고양이 나올때마다 흥분되고 노래 따라불렀어요~~노래 알고 가면 더 재미있어요~~뮤지컬에서 놓친 내용 다 알게되서 넘 좋았고 럼텀터거와 그리자벨라가 좀 아쉬움이 남는거 빼고는 전 만족스러웠답니다~~,10,1
14,인문학을 본듯해서 아주 좋았습니다.간만에 작품을 봤어요,10,1
15,이야옹~~~!!!!,4,0
16,악평이 많은 캣츠. 냇플릭스에서 봤습니다.  뮤지컬은 영상으로 두번 봤는데.....  저는 좋았습니다. 익숙한 노래들이 나와서 좋았구  뮤지컬과 다르게 춤외적인 부분도 알기 쉽게 영화로 보며 이해할수 있어 좋았구....  비판만 할 작품은 아닌것 같은데요?  뮤지컬을 너무 사랑한 나머지 이 영화를 과도하게 폠하하는건 아닌지.....,10,1
17,야옹~!^^,0,0
18,사람들이 왜 졸았다는지 알겠네.  그냥 분위기가 엄청 졸리게 함.  그리고 Memory같은 명곡을 R&B로 만들어 망쳐놓음. ,2,0
19,그래픽이 너무 많이 가미되어있어서  대실망,4,0
20,평점 4.9정도일줄 알았는데 . 테일러스위프트보려 꾹참고 봤는데 토쏠렸음 고양이들을 묘사해놓은 분장이 얼굴이 너무 이상,3,0
21,애들과 함께봤는데 좋아함..,10,1
22,"몰입감👍 메모리 노래할 때 전율, 소름 대박ㅠㅠ 뮤지컬도 꼭 볼 거임!",8,1
23,노래도 좋고 저는 고양이중에  마술사 고양이가 눈에 들어왔습니다.,10,1
24,현실이나 tv가 보여 줄 수 없는 기괴함에 박수.,4,0
25,"보다가 몇 번을 졸았는지... 그나마 제니퍼 허드슨 때문에 6점 줌. memory와 제니퍼 허드슨과는 잘 안맞을 거라 생각했었는데, 와... 진짜 대박이었습니다. ",6,1
26,캣츠가 객석에서 앉아보는 뮤지컬이라면 뛰어난 연출이라 하겠지만 뮤지컬영화로서는 정말 이해가 안될 정도의 연출이다. 영화라는 장르는 뮤지컬이나 연극보다 훨씬 더 많은 효과와 에디팅을 거칠수 있음에도 뮤지컬을 그냥 옮겨놓은듯한 느낌으로 오히려 진짜 오리지널 뮤지컬보다 못한 느낌을 선사하였다. 이 정도의 자본과 배우들을 투입하고 이렇게 만들기도 쉽지는 않은것 같은데 말이다.,5,0
27,후반부는 좋은편 그리고 단체 곡보다 솔로곡이 더 듣기 좋음 혼자 부르는거,7,1
28,평이 안좋아 갈까 말까 망설였는데 기대 않고 봐서 그런지 괜찮은데요.,8,1
29,♥♥♥,10,1
30,"영화를 기대하고 가셨다면  3점.    음악을 기대하고 가셨다면 마지막 근처에서 9점.   노래가 많아서,  우리 정서와는 많이 다를 것 같습니다.   아이들 데리고 왔는데 허탈하실 것 같습니다.    새로운 분야를 경험하는 정도면  될 것 같습니다.  ",4,0
31,한번더 봐도 안아까울 영화 눈앞에서 브로드웨이 공연 캣츠 뮤지컬이라니...또보고 말것이다,8,1
32,"너무 감동적인 영화입니다~ 진심!~ 소외된 고양이를 위로해주는 모습속에서 따뜻함을 느꼈으며,  용기를 잃은 마술사에게 용기를 주는 캣츠들의 아름다운 화음에 그 멜로디에 감격했습니다~ 인생 영화!~   꼭봐야할 영화입니다~",9,1
33,평점을 보니 불면증에 좋다고해서 꼭 가려고 한다  부디 헛말이 아니길 바라며...,10,1
34,죄다 졸았다고 하는데  어떻게 앞에서 노래 하고 춤추고  하는데 잘수 있는지 이해가 안됨...,10,1
35,이렇게악평받을정도는..아닌데..,8,1
36,어렸을 적  트럼프 카드의 킹과 퀸 카드를  처음 보았을 때 참  기묘하다는 느낌이 든 적이 있다. 아마도 루이스 캐롤이  그  기묘하고 이상한 느낌을 문학적으로  표현한게 '이상한 나라의 엘리스'일 것이다.  그  꿈의 세계는 곰돌이 푸우처럼 푸근하고 정감있는 곳이 아니라  불편하고 주인공에게  살짝 적대적인  세계다.  이 영화에서 받은 인상도  그와 비슷하다.  이 고양이 인간의 세계는 처음엔 매우 불편하고 기묘하게 다가온다. 하지만  영화의  중반 이후 (이안 맥캘런의 춤과 노래가 등장하는 즈음)이 춤추는 고양이들이 뭘 말하는지 이해하게 된다.  이게  그 유명한 캣츠였구나를 알게 되는 순간이 찾아오면  이 꿈나라에  동조하게 된다.  야릇해지는 연말연시엔 기묘한  고양이 인간들의  세상을  구경하,6,1
37,이목구비는 붙박에 옷도 움직이고 배경도 움직이고 얼굴도 움직이는 안경을 쓰지 않아도 3d를 저렴한 값에 볼수있는 최고의 영화이다,10,1
