,document,score,label
0,해저 10km의 울트라 극수압을 견디는 헬멧인데 소화기 2방에 깨지다니...,7,1
1,볼거리도 없어.  이야기도 없어.  스릴도 없어.  뭐냐? 이게? ,4,0
2,6점 생각했는데 평균 5.8이네 영상 좋고 쫀득함 좋고 긴장 좋은데 내용이 너무 뻔하고 뻔해서 아쉽다. 대사나 상황도 좀 진부하게 흘러가서 좀 그랬다 이런 영화는 하나둘 등장인물이 죽는데 그 타이밍이 너무너무 뻔해서 아쉬웠다,6,1
3,이 정도면 킬링타임용으로 딱이죠..어비스 에일리언 짬뽕인데 소품과 cg의 디테일이 너무 훌륭해서 사실감이 있습니다. 출연하는 여자배우들의 몸매도 좋아요. ,10,1
4,댓글이 형편없어서 재미없는 줄 알았는데 그럭저럭 볼만했음 평점 올리려고 7에서 8점줌,8,1
5,이정도면 볼만한  SF영화다 평점이 너무 낮게 나오는 듯,7,1
6,너무 뻔한 스토리...크리스틴 스튜어트 혼자 다한 영화... 특수효과 좋아하는 분들은 보기 괜찮음,7,1
7,"화석연료란 남성적 가치, 욕망의 경계에서 비체를 잉태시키다",7,1
8,하... KT포인트로 봤는데.... 포인트가 아깝다.  1.화면이 너무 난잡해서 집중도 안되고 무슨일이 벌어졌는지도 모르겠고...  2.주인공이 이런심정이었으려나? 3.돈냈으면 진짜 짜증났을뻔 4.취향은 존중하지만 재밋다는 사람들은 왜인지 궁금하다...,0,0
9,"괴물이 해저용 고질라?ㅋ 글구 짱깨자본들어간겄같은데~~~ 무튼 딱 5점짜리 그이상,그이하도 아님.... 해저에서 어찌그리 행동이 빠른지....???ㅋㅋㅋ ",5,0
10,강추라고 하는분  진짜 양심은 있나요?  보는 내내 지루해서리,0,0
11,"이건 완전 한국 영화 7광구 + 클로버필드 1편을 섞어만드는 느낌..  빛도 닿지않는 어두컴컴한 해저 표현은 잘 됐는데, 괴생명체는 찔끔질끔.. 그렇게 긴장감 안느껴짐. 우주와 더불어 아직 덜 밝혀진 깊은 해저에 대한 느낌은 잘 살렸지만, 액션 스릴러물로는 그다지...",4,0
12,"심해 괴생물체와 사투를 벌이는 액션, 스릴러영화다. 한글 제목의 동명 영화가 2016년에 나왔지만 원제가 ' The Shallows'로 국내엔 언더워트로 붙여진바 있다. 영화가 주는 메세지는 간단 명료하다. 지나친 자원개발로 인한 환경파괴를 경고하는 영화다. 10km의 심해에서 펼쳐지는 괴물과의 사투와 탈출과 희생정신을 이야기하고 있다. 심해의 어둡고 방향성을 상실한 화면에서 어디서 튀어 나올지 모르는 괴생명체에 대한 공포감은 스릴감을 주었으나 액션은 그저 그런 걸 크러쉬한 여주인공의 활약만이 돋보이는 평범한 심해 공포영화다. 어디가 어딘지 모르는 것은 화면속의 인물뿐만 아니라 관객조차도 모를 정도로 방향 감각을 상실한 느낌이 든다. 그것이 공포감을 극대화 시키는데 일조했다면 할말은 없겠으나 그래도 SF영화",6,1
13,5점 드릴께요 몰입감은 그나마 있지만 pc가 너무 묻었으며 재난시 인간의 본성을 너무 미화 시킴 ㅋㅋㅋㅋㅋ 거기다 일부러 페미가 묻은것과 동시에 여자들을 벗김으로 시선도 끌고 싶어서 바지 벗어야한다고하고 팬티와 브라만 입고 다님  거기다 흑인의 희생과 여성의 희생으로 pc냄새 너무나고 그러다보니 정작 심리적인 부분 전부 개줌 ... 뭐 pc가 일부러 넣는게 아니라 여성이던 남성이던 각 케릭의 특성에 맞춰서 이타적인면 이기적인면 감성적인면 이성적인면을 강조한것도 아니고 크리스틴 혼자 다 해먹고 ㅋㅋ 남자는 그냥 생각없이 나가고 정신병있으면서 아무런 도움 못되는 존재로 만듦  성차별적인부분은 좀 맥락상 그렇다고 넘어가더라도 pc때문에 어쩔 수 없이 넣은 아시아인과 흑인  그중 아시아여성은 항상 유약하고 ,4,0
14,제작비 아끼려면 심해sf는 찍지말아야지요.,7,1
15,심해공포증도 볼 수 있는 에일리언의 답습,5,0
16,꼭꼭 씹어 먹으려는데 독창성 포기하면 아슬아슬 최악은 면함,4,0
17,그냥.저냥 킬링타임용 영화.. 잠수함에서 탈출하는.과정들. 괴수들이 너무 사람형이라서 아쉬웠음... 바다 깊숙한곳의 괴수를 굳이 저런 모습들로 만들었어야 했을까...이상하지는 않았지만 아쉬운건 사실...그리고 주인공 여자 혼자 희생하여 괴수들과 함께 자폭하는건 멋지게 나옴...,6,1
18,여성 전사 짐덩어리 남친 심연에서 구출하다  2020.08.22.,7,1
19,실망 ㅠ,1,0
20,사람형상의 괴물때문에 약간 유치하게 느껴지긴 했음. 근데 스릴도 나름대로 있고 주인공이 멋있게 나와서 만족함. 하지만 주인공이 살아남는 엔딩이 좋은데 아쉬움,7,1
21,여러소재를 어설프게 짜집기한 수준 처음엔 재난영화인줄 알았더니 왠걸 괴물영화였다 재미는 진짜 없다,3,0
22,"심해 괴수 영화인데.... 너무 괴수의 등장빈도가 낮음.... 게다가 이 괴수는 심해에서만 살다보니 뭐 기지 안에서라던가 이런 부분에서의 긴장감은 거의 없다고 보면 됨.... 거의 영화 중간까지는 나오는게 아무것도 없고, 쓸데없는 긴장감만 조성... 그러다가 아무것도 없게되니 나중에는 그냥 짜증만 났던 영화... 돈내고 보면 좀 본전 생각이 날듯 하다....",1,0
23,명작처럼 보이려고 대단히 꾸며댄 영화. 얄팍함은 가릴수 있는게 아니다. 연출도 엉망이지만 조연보다 표정연기가 안되는 여주인공에게 끊임없는 클로즈업은 거의 고문에 가깝다. 이리저리 뛰어다니지만 남는 장면은 없다. 전반적으로 수준이 낮은 영화. ,3,0
24,감압복을 입고 심해에 나와 있는데 물속 같은 느낌이 안듬... 점점 지쳐가는 건 당연한데 극복하려는 의지에 비해 인물들이 컨디션 변화 없이 영화 끝까지 똑같...  집중은 힘들고 미지의 공포 조차 느끼기 힘들었다.,1,0
25,과학적으로 로직이 안맞긴 하지만 너무 따지지 말자..어차피 뻥으로 시작한 영화이니까...그 와중에  자연을 훼손해가면서 욕심을 채우려는 인간들에 대한 비판도 있고 그에 대한 복수가 해양 괴물이 침 입자들을 죽이는 건데 그 괴물의 형상이 어디서 많이 본 골룸을 닮은 괴물들이라니...진짜 뭔가를  모방한 뻥이라 소재 자체가 전혀 신선하지가 않았다....그 괴물이 무대를 우주에서 해저로 옮겨간  것일뿐...달라진게 별로 없네 ..시간과 공력을 상당히 들인 건 인정하지만...여주를 보면서 시고니  누나가 오버랩 되는 이유는 뭘까? 여기 저기서 얻어내 뒤섞어 놓은 잡탕을 먹은 기분이다...그래도  그나마 조금 스릴은 있었다....,7,1
26,심해어종이라 바닷가에는 안오겠네 다행이다,8,1
27,나름 재미있었음 이런류  좋아하는 사람은 재미있게 볼수있음,10,1
28,바다 11km까지 들어간 사람들. 갑작스레 기지의 붕괴가 시작되고 대원들은 대피하는데 거기에 정체를 알 수 없는 생명체의 습격까지 받는다. 깊은 바다속에서 벌어지는 일이라 보는 내내 답답한 느낌이 나지만 몰입감은 나쁘지 않다.,7,1
29,"보는 동안은 몰입하게되는데, 엔딩을 보고나면 뭔가 ...뭔가...",7,1
30,.,8,1
31,이거 오늘 우연히 54번에서 보게됐는데 여주가 다리 다친채로 고래위에 엎드려있는 장면부터 보았다. 재밌어서 동물농장 본방사수도 못하고 끝까지 봄. 앞장면은 담에 기회되면 봐야겠다. 흰기러기  귀엽고 정답고 백상아리 웬지 불쌍..,10,1
32,ㄱㅊ,10,1
33,그럭저럭 긴장감도 있고 괜찮음,7,1
34,이런영화 별루ㅠㅠ 어둡고 침침하고 내용은 그럭저럭 괜찮은데 화면이 별루예요,4,0
35,심해라는 장소에서 나름  그런대로 만든영화... 킬링타임..정도... 그렇게 나쁘지는 않은 영화다...  \,7,1
36,정신이 하나도 없음 ,4,0
37,마지막이 참...  고질라도 아니고,1,0
38,어비스와 에일리언을 동시에 보는 기분 숨막히는 긴장감과 더불어 찾아오는 답답함,8,1
39,이 정도면 만족한다. 오랜만에 만나는 수준급 심해 스릴러물,8,1
40,긴장하면서 보게 되는 영화이지만  그긴장에 부합하는 한방이 없네. 그래도 적당히 만족,7,1
41,꿀잼임,10,1
42,에일리언+딥라이징+프레데터,6,1
43,이정도면 잘~ 만든 심해영화!!라 생각함 아쉽다면 조금 짧았다 생각이 듬 스토리가 약간 빈약! 처음부터 마지막까지 쉴쉬간이 없이 긴장되는 느낌이 좋았음,8,1
44,간단한 스토리를 담았지만 시각적 청각적으로 뛰어난 특수효과와 빠른 전개로 인해 몰입도는 높았다.  다만 심해호러물이고 빠른전개로 인해 본인이 노안이거나 산만하다면 이 영화에 몰입하기 어려울 수 있다는 단점이 있다.  sf장르를 좋아하는 자는 정말 재미있게 볼 수 있지만 영화보면서 딴짓하는 사람은 정말 재미없게 볼 수 있다,7,1
45,크툴루 신화 기반인걸 알고봐서 그런가???? 진짜 역대급 재밌었음 ㅋㅋㅋㅋ 거기다가 잠수복의 그 중후함....... 테란 마린이 연상되서 보는 내내 감동 ㅠㅠ,10,1
46,역시 보는게 아니었다...,3,0
47,본게 없어요. 뭘 보라는건지? 5손가락안에 드는 재미없는 영화~,1,0
48,"스토리가 탄탄하거나 인상깊다는 생각이 들지는 않았지만 처음부터 끝까지 몰입감이랑 긴장감은 확실히 있었고 , 결말도 여주인공이 너무 멋져서 좋았음. ",8,1
49,시간때우기 좋은 심해스릴영화,6,1
50,"보기드문 심해 스릴러 영화, 단 폐쇄공포증 있는 사람은 비추",8,1
51,재미있게 봤는데 끝이 조금 아쉬움  ,8,1
52,완전 잼있음.! 강추,10,1
53,"집에서 보는 것도 비추. 내용도 없고, 공포도 없고 감동도 없음. 깜짝깜짝 놀라게하는 사운드? 만 있다. 6천원 할인쿠폰으로 위로가 된다~",5,0
54,장난 하자는거유??,3,0
55,"한마디로 재밌다, 감독 연출도 좋았으며, 심해 공포는 이 이상 표현할수 없을것이다..",10,1
56,출몰한 것 모양땜에 A급에서 갑자기 B급으로...아쉬움.  ,4,0
57,보통 영화와는 다르게 서론이 길지 않고 바로 액션감 넘치는 장면들이 바로 나와서 좋았고 끝까지 재미있게 봤는데 왜 평점이 낮은지 모르겠음,8,1
58,아니이거재밌는데 평점 왜이리낮냐 ㅡㅡ,9,1
59,끝판은 최후보단 대전붙음으로 했음 좋겠다..,6,1
60,그냥 빤스런 영화,1,0
61,또 에일리언....그게 안나오면 영화가 안되나?...에휴~~ 그노무 에일리언.,5,0
62,깜짝깜짝놀라서 심장마비걸릴뻔.. 개무서움 스릴있고  좋았읍니다    ,9,1
