,document,score,label
0,영화일때 볼만 했으나 현실로 겪을땐 한없이 슬펐으며 영원히 남겨진 상흔을 알아줄 이 없어서 고독하다  그대는 행복하게 살고 있는가.  이 영화를 가장 좋아 한다던 그대는 진정,8,1
1,"내 20대 절대 이해 못했던 영화, 다시 보니 최고의 명작!",10,1
2,"그리워하는데도 한 번 만나고는 못 만나게 되기도 하고, 일생을 못 잊으면서도 아니 만나고 살기도 한다.",10,1
3,올해 개봉 20주년...BIFF에서 처음 본 기억이...방구석1열 나오면 좋겠네요,10,1
4,어릴 때 몰랐지 차우와 첸이 왜 그랬고  그랬을까  이제야 조금은 알겠다 ,10,1
5,"영화 보는 내내 애절하고 감질맛 난다. 요즘 영화에서 흔하디 흔한 스킨쉽 한번 없이, 사랑이라는 것을 거의 완벽하게 표현하였음. ",9,1
6,재개봉 방금 보고 왔어요. 20년 전과 지금이 또 다른 느낌이에요. 음악 의상 미술이 인상적인 스타일리쉬한 영화라고 생각했는데 이번에는 억누르는 감정을 완전히 이해할수있게 된 것 같아 너무 좋았습니다.,10,1
7,애틋하고 어렵고 불륜이지만 불륜이라 말할수 없고 사랑이지만 사랑이라 말할수 없음을..,7,1
8,"이 영화가 재개봉하는구나. 왕가위의 마지막 불꽃이 아닐까 싶다. 물론 그 후에도 일대종사 같은 훌륭한 작품을 내놓긴 했지만 난 2000년에 내놓은 이 작품 이후, 왕가위 영화들은 뭔가가... 뭐랄까...  뭔가가 빠졌다고 해야 할까, 뭔가를 잃어 버렸다고 해야 할까, 하여튼 그런 생각이 든다.",9,1
9,글쎄 다시봐야  영화를 제대로 느낄수   있을까? 장만옥 옷 멋짐,5,0
10,딱 스무살이던 해 남영동 성남극장에서 개봉일보고.. 이십년이 지나 마흔살에 서울극장에서 개봉일에 봤다. 스무살에는 절대 이해할 수도 이해도 안 갔던... 마흔이 되니 이제야 조금 보이는 영화.. 이거 39금이다.,10,1
11,아.. 보는 내내 연출은 이렇게 하는거구나 싶었다. 배우의 연기력도 너무 좋았지만 그 연기를 빛나게 해준 연출은 정말 보는 내내 감탄을 자아냈다,10,1
